#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           13.704138      0.0936726        11.046689      0.0758480        16.426934       0.112061       -19.39%     19.87%
           5          10           9.2075342      0.0754531        7.6616453      0.0631393        10.740363      0.0877820       -16.79%     16.65%
          10          15           4.8117771      0.0532747        4.1608897      0.0465233        5.4265168      0.0596676       -13.53%     12.78%
          15          20           4.4174066      0.0520745        3.8784260      0.0461115        4.9147936      0.0575656       -12.20%     11.26%
          20          25           4.7803251      0.0550419        4.2159174      0.0488887        5.2971584      0.0606689       -11.81%     10.81%
          25          30           5.0021287      0.0555892        4.4179172      0.0494500        5.5358052      0.0611886       -11.68%     10.67%
          30          35           5.1655217      0.0556810        4.5682148      0.0495290        5.7101645      0.0612882       -11.56%     10.54%
          35          40           4.8616847      0.0525653        4.3101781      0.0469165        5.3631335      0.0577031       -11.34%     10.31%
          40          45           3.1517226      0.0402380        2.8172581      0.0362248        3.4528177      0.0438563       -10.61%      9.55%
          45          50           1.4510733      0.0285354        1.3193470      0.0260424        1.5666670      0.0307385        -9.08%      7.97%
          50          55          0.82512814      0.0227432       0.76319547      0.0212103       0.87778319      0.0240605        -7.51%      6.38%
          55          60          0.57148068      0.0187379       0.53298627      0.0175528       0.60349046      0.0197260        -6.74%      5.60%
          60          65          0.46554964      0.0170800       0.43589897      0.0160658       0.48995367      0.0179154        -6.37%      5.24%
          65          70          0.41403440      0.0162541       0.38782079      0.0152972       0.43552732      0.0170393        -6.33%      5.19%
          70          75          0.37604341      0.0155559       0.35403238      0.0146850       0.39383643      0.0162645        -5.85%      4.73%
          75          80          0.35022730      0.0151815       0.32947913      0.0143035       0.36702567      0.0158961        -5.92%      4.80%
          80          85          0.30752712      0.0144885       0.28970252      0.0136723       0.32193213      0.0151572        -5.80%      4.68%
          85          90          0.21831797      0.0115336       0.20622511      0.0109159       0.22800159      0.0120327        -5.54%      4.44%
          90          95          0.16968442      0.0106460       0.16101036      0.0101165       0.17652435      0.0110677        -5.11%      4.03%
          95         100          0.10970050     0.00904296       0.10508129     0.00891588       0.11323301     0.00914195        -4.21%      3.22%
         100         105         0.065935598     0.00525990      0.062790977     0.00502446      0.068362621     0.00544158        -4.77%      3.68%
         105         110         0.049591735     0.00490393      0.047566523     0.00473054      0.051107438     0.00503132        -4.08%      3.06%
         110         115         0.039551684     0.00401809      0.038371737     0.00392435      0.040364379     0.00408119        -2.98%      2.05%
         115         120         0.031683900     0.00360264      0.030799165     0.00352811      0.032274901     0.00364831        -2.79%      1.87%
         120         125         0.029980340     0.00437200      0.029143772     0.00432536      0.030544168     0.00438975        -2.79%      1.88%
         125         130         0.021800423     0.00287592      0.021244585     0.00280476      0.022162107     0.00292386        -2.55%      1.66%
         130         135         0.016238147     0.00285567      0.015837502     0.00280924      0.016493393     0.00287958        -2.47%      1.57%
         135         140         0.015676604     0.00241526      0.015193261     0.00233091      0.016012002     0.00247718        -3.08%      2.14%
         140         145        0.0093175504     0.00140527     0.0091643094     0.00138665     0.0093982803     0.00141445        -1.64%      0.87%
         145         150         0.012739578     0.00251865      0.012663185     0.00250658      0.012739578     0.00251865        -0.60%   0.00000%
         150         155        0.0097031914     0.00186273     0.0094980973     0.00181815     0.0098254875     0.00189233        -2.11%      1.26%
         155         160        0.0068682529     0.00127150     0.0067278178     0.00124197     0.0069504871     0.00129042        -2.04%      1.20%
         160         165        0.0077675844     0.00178203     0.0077051725     0.00176141     0.0077751762     0.00178970        -0.80%       0.1%
         165         170        0.0067242518     0.00155332     0.0066179157     0.00152036     0.0067758544     0.00157321        -1.58%      0.77%
         170         175        0.0051985651     0.00109654     0.0051813556     0.00110199     0.0051985651     0.00109654        -0.33%   0.00000%
         175         180        0.0033226633    0.000757361     0.0032535017    0.000726680     0.0033831139    0.000791136        -2.08%      1.82%
         180         185        0.0034377319    0.000779762     0.0034191943    0.000775449     0.0034377319    0.000779762        -0.54%   0.00000%
         185         190        0.0036424897     0.00108588     0.0035924815     0.00106911     0.0036752133     0.00109803        -1.37%      0.90%
         190         195        0.0028517399    0.000842604     0.0028313475    0.000825260     0.0028528456    0.000853383        -0.72%      0.04%
         195         200        0.0045501980     0.00123904     0.0044624808     0.00120517     0.0046259539     0.00127599        -1.93%      1.66%
         200         205        0.0023916032    0.000575027     0.0023599108    0.000566606     0.0024116520    0.000581263        -1.33%      0.84%
         205         210        0.0021608373    0.000891231     0.0021428616    0.000901433     0.0021680231    0.000874971        -0.83%      0.33%
         210         215        0.0012933214    0.000449897     0.0012888081    0.000447537     0.0012933214    0.000449897        -0.35%   0.00000%
         215         220       0.00090901053    0.000289040    0.00089644352    0.000285849    0.00091715130    0.000290863        -1.38%      0.90%
         220         225       0.00098735972    0.000289536    0.00096638331    0.000281445     0.0010057582    0.000298023        -2.12%      1.86%
         225         230       0.00059380788    0.000211854    0.00057914837    0.000205429    0.00060662674    0.000217806        -2.47%      2.16%
         230         235       0.00077252991    0.000325451    0.00074217973    0.000304969    0.00080302161    0.000347813        -3.93%      3.95%
         235         240       0.00090110745    0.000305842    0.00087648165    0.000298258    0.00092396306    0.000312724        -2.73%      2.54%
         240         245        0.0015605857    0.000489174     0.0015315656    0.000485607     0.0015842451    0.000490547        -1.86%      1.52%
         245         250       0.00049097278    0.000185445    0.00048023012    0.000182820    0.00049997163    0.000187135        -2.19%      1.83%
         250         255       0.00074531073    0.000287486    0.00073973759    0.000286053    0.00074631465    0.000287118        -0.75%      0.13%
         255         260       0.00079187971    0.000223644    0.00076758058    0.000215610    0.00081510217    0.000231754        -3.07%      2.93%
         260         265       0.00029740181    0.000107018    0.00029434513    0.000106360    0.00029881286    0.000107022        -1.03%      0.47%
         265         270       0.00066654426    0.000266573    0.00065307681    0.000262565    0.00067761940    0.000269406        -2.02%      1.66%
         270         275       0.00085321722    0.000626102    0.00082988389    0.000610690    0.00087475443    0.000639730        -2.73%      2.52%
         275         280       0.00036306339    0.000188123    0.00034217443    0.000176901    0.00038547830    0.000200255        -5.75%      6.17%
         280         285       0.00074095771    0.000280656    0.00071808649    0.000272490    0.00076265028    0.000288292        -3.09%      2.93%
         285         290       0.00045793920    0.000212098    0.00045034476    0.000211065    0.00046354832    0.000211874        -1.66%      1.22%
         290         295       0.00098928608    0.000688724    0.00096404144    0.000675091     0.0010124832    0.000699782        -2.55%      2.34%
         295         300       0.00019224095    8.63332e-05    0.00018760465    8.50705e-05    0.00019631671    8.72140e-05        -2.41%      2.12%
         300         305       0.00032172762    0.000241305    0.00030431008    0.000227886    0.00034008828    0.000255450        -5.41%      5.71%
         305         310       0.00025411708    0.000141387    0.00024283764    0.000135611    0.00026551375    0.000147164        -4.44%      4.48%
         310         315       3.0937440e-05    1.58089e-05    3.0060086e-05    1.53321e-05    3.1742455e-05    1.62535e-05        -2.84%      2.60%
         315         320       0.00031479024    0.000192644    0.00030495416    0.000184545    0.00032415290    0.000201043        -3.12%      2.97%
         320         325       0.00024883513    0.000106963    0.00024242665    0.000103691    0.00025454847    0.000110127        -2.58%      2.30%
         325         330        0.0012009624    0.000853167     0.0011468274    0.000817738     0.0012564237    0.000888621        -4.51%      4.62%
         330         335        0.0016362071     0.00157039     0.0015641875     0.00150099     0.0017107000     0.00164225        -4.40%      4.55%
