#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           10.359561       0.203090        9.8611783       0.184543        10.778061       0.222042        -4.81%      4.04%
           5          10           9.3739164       0.208005        8.8247874       0.176352        9.7232101       0.220754        -5.86%      3.73%
          10          15           5.8248815       0.152042        5.4740086       0.135687        6.0594925       0.167349        -6.02%      4.03%
          15          20           5.3256675       0.183984        5.0486684       0.165155        5.5110847       0.201127        -5.20%      3.48%
          20          25           5.4256452       0.232789        5.1697982       0.207949        5.5917906       0.255360        -4.72%      3.06%
          25          30           5.6319192       0.242863        5.4072712       0.217317        5.7626082       0.265953        -3.99%      2.32%
          30          35           5.6427366       0.309120        5.4060324       0.275559        5.7867833       0.339522        -4.19%      2.55%
          35          40           5.2928077       0.294925        5.0759515       0.262532        5.4277528       0.324386        -4.10%      2.55%
          40          45           3.7994034       0.139378        3.6323679       0.125842        3.9139751       0.151713        -4.40%      3.02%
          45          50           2.1766136       0.168775        2.0863991       0.149952        2.2617554       0.188043        -4.14%      3.91%
          50          55           1.6771073       0.164240        1.5880826       0.145781        1.7770867       0.183162        -5.31%      5.96%
          55          60           1.0531067      0.0543841        1.0075437      0.0498778        1.1096253      0.0600439        -4.33%      5.37%
          60          65          0.78338480      0.0551616       0.75331683      0.0504669       0.82068261      0.0610440        -3.84%      4.76%
          65          70          0.75669860      0.0519557       0.72428174      0.0475441       0.79691008      0.0574845        -4.28%      5.31%
          70          75          0.56208954      0.0443109       0.54448912      0.0406590       0.58392196      0.0488998        -3.13%      3.88%
          75          80          0.54502013      0.0435549       0.52659226      0.0399578       0.56787898      0.0480741        -3.38%      4.19%
          80          85          0.53272749      0.0448310       0.51142300      0.0410533       0.55915465      0.0495685        -4.00%      4.96%
          85          90          0.32117893      0.0356351       0.31144803      0.0326334       0.33324961      0.0393996        -3.03%      3.76%
          90          95          0.30463633      0.0233882       0.29186955      0.0216526       0.32047287      0.0255883        -4.19%      5.20%
          95         100          0.19871388      0.0275297       0.19029300      0.0252193       0.20915956      0.0304282        -4.24%      5.26%
         100         105          0.16002738      0.0243294       0.15112607      0.0221407       0.17106900      0.0270577        -5.56%      6.90%
         105         110          0.13673768      0.0165316       0.12782264      0.0152363       0.14766262      0.0181691        -6.52%      7.99%
         110         115          0.10475175      0.0223679      0.098400783      0.0203911       0.11240295      0.0249124        -6.06%      7.30%
         115         120         0.092446432      0.0217892      0.086698150      0.0197871      0.099576887      0.0242799        -6.22%      7.71%
         120         125         0.067868139     0.00845194      0.063859491     0.00784922      0.072885246     0.00920985        -5.91%      7.39%
         125         130         0.040552076      0.0210042      0.038778124      0.0190563      0.042752573      0.0234252        -4.37%      5.43%
         130         135         0.082832803      0.0295956      0.075841805      0.0264349      0.091018251      0.0333093        -8.44%      9.88%
         135         140        0.0036280811      0.0256055     0.0018959359      0.0285127     0.0050805954      0.0231202       -47.74%     40.04%
         140         145         0.044238573      0.0150891      0.040590746      0.0138097      0.048513860      0.0165410        -8.25%      9.66%
         145         150         0.039374537     0.00539867      0.036583629     0.00496585      0.042673390     0.00591903        -7.09%      8.38%
         150         155         0.035094737     0.00811386      0.032692636     0.00738871      0.038074423     0.00901834        -6.84%      8.49%
         155         160         0.018254530     0.00531916      0.016826877     0.00480968      0.020029274     0.00592623        -7.82%      9.72%
         160         165         0.015920511     0.00666828      0.014803555     0.00614367      0.017292880     0.00726743        -7.02%      8.62%
