#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           3.9910207       0.544890        3.7784809       0.444633        4.1398166       0.651663        -5.33%      3.73%
          10          20           4.8914431       0.483407        4.6903140       0.398408        5.0572165       0.610512        -4.11%      3.39%
          20          30           1.8175282       0.256481        1.7407902       0.300691        1.8638085       0.207128        -4.22%      2.55%
          30          40           1.6039002       0.198974        1.5440475       0.172665        1.6676153       0.252870        -3.73%      3.97%
          40          50           1.2426192       0.186968        1.1889424       0.237521        1.2756839       0.151049        -4.32%      2.66%
          50          60           2.1519007       0.240129        2.1047449       0.271739        2.1957679       0.213502        -2.19%      2.04%
          60          70           3.6212942       0.366908        3.5825596       0.328348        3.6479000       0.325073        -1.07%      0.73%
          70          80           4.2772786       0.373013        4.2215036       0.472839        4.3386506       0.331687        -1.30%      1.43%
          80          90           3.2507483       0.290183        3.2340357       0.261866        3.2659496       0.256494        -0.51%      0.47%
          90         100           3.2160792       0.326804        3.1978247       0.416267        3.2232669       0.280409        -0.57%      0.22%
         100         110          0.55513618       0.132097       0.53714961       0.106268       0.57799232       0.168491        -3.24%      4.12%
         110         120          0.42161544      0.0976180       0.40269103      0.0917639       0.43695756       0.102746        -4.49%      3.64%
         120         130          0.38456175      0.0895549       0.37728822      0.0850238       0.38999815      0.0936610        -1.89%      1.41%
         130         140          0.31684038      0.0788329       0.30804533      0.0667956       0.32904152      0.0947113        -2.78%      3.85%
         140         150          0.25745436      0.0848417       0.25561744      0.0699751       0.26100854       0.104890        -0.71%      1.38%
         150         160          0.32883093      0.0651113       0.30782673      0.0520985       0.35654491      0.0835616        -6.39%      8.43%
         160         170          0.28029806      0.0647275       0.26822621      0.0522311       0.29543666      0.0823785        -4.31%      5.40%
         170         180          0.23310717      0.0596185       0.22281594      0.0479595       0.24604813      0.0729047        -4.41%      5.55%
         180         190          0.25036116      0.0525730       0.22447633      0.0433505       0.28409959      0.0648671       -10.34%     13.48%
         190         200         0.092693818      0.0482305      0.081484010      0.0587797       0.10253112      0.0405340       -12.09%     10.61%
         200         210          0.15126080      0.0482148       0.14427084      0.0383565       0.16033479      0.0622282        -4.62%      6.00%
         210         220         0.091297559      0.0493796      0.085314459      0.0625830      0.095049243      0.0399860        -6.55%      4.11%
