#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           19.127815      0.0115081        16.067301     0.00970140        22.144381      0.0133387       -16.00%     15.77%
          10          20           7.0837279     0.00886372        6.2596858     0.00784046        7.8365973     0.00981522       -11.63%     10.63%
          20          30           2.3363600     0.00525831        2.0998695     0.00471811        2.5481494     0.00575629       -10.12%      9.06%
          30          40          0.74632267     0.00271508       0.69574279     0.00254388       0.78852352     0.00286080        -6.78%      5.65%
          40          50          0.47484245     0.00227752       0.44694497     0.00214976       0.49745466     0.00238373        -5.88%      4.76%
          50          60          0.33434511     0.00201012       0.31604105     0.00190272       0.34898271     0.00209935        -5.47%      4.38%
          60          70          0.23121622     0.00171157       0.21910288     0.00162260       0.24082207     0.00178462        -5.24%      4.15%
          70          80          0.15001600     0.00140210       0.14236599     0.00132837       0.15605933     0.00146311        -5.10%      4.03%
          80          90         0.067492479    0.000934435      0.064401352    0.000887967      0.069886335    0.000972435        -4.58%      3.55%
          90         100         0.014990471    0.000344473      0.014663976    0.000335619      0.015195590    0.000351316        -2.18%      1.37%
         100         110        0.0071633077    0.000203728     0.0071224903    0.000203448     0.0071633077    0.000203728        -0.57%   0.00000%
         110         120        0.0039864544    0.000143356     0.0039656939    0.000142818     0.0039864544    0.000143356        -0.52%   0.00000%
         120         130        0.0025418989    0.000108026     0.0025139509    0.000107293     0.0025576689    0.000108294        -1.10%      0.62%
         130         140        0.0019551719    0.000118370     0.0019169186    0.000114244     0.0019872425    0.000122725        -1.96%      1.64%
         140         150        0.0012682010    9.17889e-05     0.0012322550    8.69817e-05     0.0013026926    9.71926e-05        -2.83%      2.72%
         150         160       0.00097219335    6.78760e-05    0.00094968416    6.63910e-05    0.00099236870    6.92772e-05        -2.32%      2.08%
         160         170       0.00066295265    5.13056e-05    0.00064266098    4.96247e-05    0.00068253985    5.30182e-05        -3.06%      2.95%
         170         180       0.00049977624    4.59703e-05    0.00048081463    4.35708e-05    0.00051914985    4.86297e-05        -3.79%      3.88%
         180         190       0.00036174441    3.30089e-05    0.00034759874    3.15349e-05    0.00037627739    3.46150e-05        -3.91%      4.02%
         190         200       0.00031033058    3.47553e-05    0.00029501716    3.27888e-05    0.00032679163    3.69468e-05        -4.93%      5.30%
         200         210       0.00026487883    3.51892e-05    0.00025161293    3.27684e-05    0.00027915764    3.79649e-05        -5.01%      5.39%
         210         220       0.00013033295    1.33845e-05    0.00012452319    1.27664e-05    0.00013642964    1.40511e-05        -4.46%      4.68%
         220         230       0.00017208494    3.02611e-05    0.00016368897    2.89652e-05    0.00018111381    3.16496e-05        -4.88%      5.25%
         230         240       9.5286066e-05    1.53940e-05    9.0228576e-05    1.45092e-05    0.00010078907    1.63730e-05        -5.31%      5.78%
         240         250       9.3708799e-05    1.84177e-05    8.7585179e-05    1.70623e-05    0.00010061763    1.99851e-05        -6.53%      7.37%
         250         260       8.1939891e-05    1.49403e-05    7.7178160e-05    1.41163e-05    8.7241153e-05    1.58612e-05        -5.81%      6.47%
         260         270       5.2534743e-05    9.85343e-06    4.9568095e-05    9.38556e-06    5.5788504e-05    1.03482e-05        -5.65%      6.19%
         270         280       4.5384486e-05    8.95005e-06    4.2260079e-05    8.30268e-06    4.8930799e-05    9.69676e-06        -6.88%      7.81%
         280         290       4.4889180e-05    1.10867e-05    4.2381736e-05    1.05106e-05    4.7670612e-05    1.17280e-05        -5.59%      6.20%
         290         300       2.1770561e-05    3.76476e-06    2.0301067e-05    3.52217e-06    2.3434126e-05    4.04189e-06        -6.75%      7.64%
         300         310       2.1524841e-05    4.19942e-06    2.0208822e-05    3.98468e-06    2.2991803e-05    4.43235e-06        -6.11%      6.82%
         310         320       2.1490641e-05    5.51105e-06    1.9637660e-05    5.00277e-06    2.3679676e-05    6.12127e-06        -8.62%     10.19%
         320         330       2.4087317e-05    9.86701e-06    2.2130729e-05    8.92340e-06    2.6358565e-05    1.09880e-05        -8.12%      9.43%
         330         340       1.5899557e-05    5.41892e-06    1.4934626e-05    5.15717e-06    1.6970898e-05    5.69733e-06        -6.07%      6.74%
         340         350       2.9610788e-05    1.63800e-05    2.7071764e-05    1.49192e-05    3.2574138e-05    1.80867e-05        -8.57%     10.01%
         350         360       1.2006262e-05    5.69735e-06    1.1123531e-05    5.29023e-06    1.3019582e-05    6.16210e-06        -7.35%      8.44%
         360         370       6.4776437e-06    2.74854e-06    5.9371976e-06    2.51991e-06    7.1021833e-06    3.01307e-06        -8.34%      9.64%
         370         380       1.0883023e-05    3.77303e-06    1.0225397e-05    3.56324e-06    1.1610254e-05    4.00022e-06        -6.04%      6.68%
         380         390       3.3675950e-06    8.90484e-07    3.0574805e-06    8.08169e-07    3.7350705e-06    9.88409e-07        -9.21%     10.91%
         390         400       6.9863194e-06    2.55510e-06    6.2794137e-06    2.26429e-06    7.8518631e-06    2.92186e-06       -10.12%     12.39%
         400         410       4.7797043e-06    3.33295e-06    4.3369392e-06    3.02087e-06    5.3052103e-06    3.70349e-06        -9.26%     10.99%
         410         420       3.9324681e-06    1.76137e-06    3.6447763e-06    1.67383e-06    4.2664639e-06    1.85849e-06        -7.32%      8.49%
         420         430       6.7226501e-06    3.25704e-06    6.1055269e-06    2.94895e-06    7.4549390e-06    3.62428e-06        -9.18%     10.89%
         430         440       1.2638916e-06    4.75708e-07    1.1094731e-06    4.11640e-07    1.4591195e-06    5.58834e-07       -12.22%     15.45%
         440         450       1.5390744e-06    7.93548e-07    1.4031496e-06    7.36610e-07    1.7012867e-06    8.59804e-07        -8.83%     10.54%
         450         460       1.3242586e-06    5.32245e-07    1.1926799e-06    4.81017e-07    1.4821542e-06    5.93499e-07        -9.94%     11.92%
         460         470       3.4845367e-06    1.84264e-06    3.1187358e-06    1.65842e-06    3.9307866e-06    2.06445e-06       -10.50%     12.81%
         470         480       5.0550817e-06    3.44349e-06    4.6030769e-06    3.13297e-06    5.5889736e-06    3.81049e-06        -8.94%     10.56%
         480         490       1.9726606e-07    1.49880e-07    1.7226233e-07    1.31864e-07    2.2851647e-07    1.71974e-07       -12.68%     15.84%
         490         500       5.9248321e-06    4.06561e-06    5.4768686e-06    3.82382e-06    6.4406354e-06    4.32818e-06        -7.56%      8.71%
