#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           19.758970       0.122258        19.105345      0.0988128        20.151899       0.142468        -3.31%      1.99%
           5          10           11.126454       0.112574        10.559719      0.0975854        11.413971       0.127302        -5.09%      2.58%
          10          15           6.0667219       0.133061        5.7505463       0.118738        6.2717414       0.146101        -5.21%      3.38%
          15          20           4.4045276       0.132078        4.2051692       0.117508        4.5315910       0.145348        -4.53%      2.88%
          20          25           3.7771673       0.149123        3.6084584       0.133785        3.8882220       0.162949        -4.47%      2.94%
          25          30           3.5168860       0.152286        3.3776679       0.136687        3.6035735       0.166272        -3.96%      2.46%
          30          35           3.3242381       0.133695        3.2030273       0.119747        3.3982379       0.146215        -3.65%      2.23%
          35          40           2.8987147       0.131840        2.8078478       0.118624        2.9484140       0.143690        -3.13%      1.71%
          40          45           2.3208615      0.0896391        2.2679362      0.0810443        2.3507914      0.0993028        -2.28%      1.29%
          45          50           1.5238593      0.0485234        1.4601739      0.0444637        1.5941040      0.0538112        -4.18%      4.61%
          50          55          0.98681508      0.0321215       0.94963359      0.0294777        1.0329368      0.0354440        -3.77%      4.67%
          55          60          0.69496813      0.0251617       0.66835811      0.0230301       0.72797651      0.0278337        -3.83%      4.75%
          60          65          0.55552549      0.0271137       0.53069075      0.0247167       0.58633174      0.0301066        -4.47%      5.55%
          65          70          0.36973923      0.0272513       0.35651835      0.0250376       0.38613906      0.0300364        -3.58%      4.44%
          70          75          0.30343315      0.0211048       0.29122622      0.0193719       0.31857522      0.0232831        -4.02%      4.99%
          75          80          0.25681189      0.0232776       0.24608857      0.0212064       0.27011362      0.0258621        -4.18%      5.18%
          80          85          0.22826319      0.0317000       0.21741786      0.0287892       0.24171626      0.0353212        -4.75%      5.89%
          85          90          0.12763358      0.0268066       0.12362726      0.0243658       0.13260321      0.0298457        -3.14%      3.89%
          90          95          0.14205735      0.0207436       0.13496919      0.0188323       0.15084985      0.0231206        -4.99%      6.19%
