#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.81243431      0.0897804       0.76116707      0.0799286       0.87385858       0.102305        -6.31%      7.56%
         0.1         0.2           5.4271654       0.179763        5.1082908       0.167960        5.8227132       0.194476        -5.88%      7.29%
         0.2         0.3           18.557772       0.554295        17.654689       0.504072        19.534895       0.608191        -4.87%      5.27%
         0.3         0.4           32.370682       0.931559        30.852500       0.829175        33.486315        1.03163        -4.69%      3.45%
         0.4         0.5           40.238993        3.37068        38.403831        2.96223        41.417242        3.74827        -4.56%      2.93%
         0.5         0.6           47.619719        3.97322        45.276760        3.50276        49.168961        4.40426        -4.92%      3.25%
         0.6         0.7           56.097074        3.41305        53.086788        3.00540        58.198914        3.78641        -5.37%      3.75%
         0.7         0.8           60.590109        3.44779        56.916314        3.04504        63.307394        3.81757        -6.06%      4.48%
         0.8         0.9           52.497063        3.21007        49.779495        2.86360        54.303065        3.52452        -5.18%      3.44%
         0.9           1           60.466623        3.45581        56.943429        3.05447        62.953412        3.82521        -5.83%      4.11%
           1         1.1           60.654427        3.29543        57.076775        2.91482        63.191344        3.64563        -5.90%      4.18%
         1.1         1.2           57.595210        4.40429        54.487531        3.99787        59.642091        4.76585        -5.40%      3.55%
         1.2         1.3           65.164014        4.56491        61.415273        4.13064        67.739122        4.95597        -5.75%      3.95%
         1.3         1.4           73.077890        8.21567        68.529019        7.41968        76.328810        8.92071        -6.22%      4.45%
         1.4         1.5           61.287171        10.2651        57.752480        9.17436        63.601626        11.2475        -5.77%      3.78%
         1.5         1.6           63.786271        7.82547        60.602280        6.89931        65.591068        8.69202        -4.99%      2.83%
         1.6         1.7           70.547974        4.97507        66.842999        4.37635        72.791630        5.55924        -5.25%      3.18%
         1.7         1.8           71.195398        4.29302        67.036355        3.75992        73.878587        4.80414        -5.84%      3.77%
         1.8         1.9           70.124543        4.69660        66.754870        4.03417        71.854411        5.34861        -4.81%      2.47%
         1.9           2           80.689466        4.99801        76.096876        4.26633        83.559090        5.73058        -5.69%      3.56%
           2         2.1           90.307512        5.31746        84.758140        4.47946        93.947796        6.16734        -6.14%      4.03%
         2.1         2.2           88.317106        5.56836        83.601423        4.64060        90.951209        6.50894        -5.34%      2.98%
         2.2         2.3           81.070673        5.71331        78.077816        4.81610        82.625989        5.99904        -3.69%      1.92%
         2.3         2.4           102.89460        5.59948        97.839588        4.81580        105.40816        6.38915        -4.91%      2.44%
         2.4         2.5           102.89248        6.39379        97.850181        5.65311        105.39287        7.09762        -4.90%      2.43%
         2.5         2.6           108.70710        8.17002        103.88495        7.07513        111.03709        8.39557        -4.44%      2.14%
         2.6         2.7           126.37191        10.3520        119.57140        8.53527        130.08066        12.2420        -5.38%      2.93%
         2.7         2.8           128.25761        11.4121        123.38674        9.70130        130.66115        11.9428        -3.80%      1.87%
         2.8         2.9           157.59080        10.5078        150.50999        9.34645        160.62373        11.6194        -4.49%      1.92%
         2.9           3           172.82603        9.39027        166.55756        8.22457        175.80731        9.52899        -3.63%      1.73%
           3         3.1           188.15143        19.8142        181.27351        17.0910        193.91611        20.3067        -3.66%      3.06%
         3.1         3.2           174.66035        20.0143        169.21878        19.2730        180.06709        20.5177        -3.12%      3.10%
