#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.13533441      0.0397511       0.11536608      0.0337661       0.14788335      0.0433987       -14.75%      9.27%
          10          15           2.7968847      0.0299651        2.6306886      0.0290959        2.9308652      0.0307446        -5.94%      4.79%
          15          20           3.6626263      0.0370395        3.4507779      0.0347816        3.8398504      0.0393787        -5.78%      4.84%
          20          25           2.9776893      0.0345500        2.7929905      0.0324487        3.1163527      0.0362822        -6.20%      4.66%
          25          30           2.3859402      0.0292027        2.2219274      0.0267556        2.4985188      0.0310368        -6.87%      4.72%
          30          35           1.7784052      0.0317884        1.6569318      0.0290638        1.8540618      0.0336486        -6.83%      4.25%
          35          40           1.4284636      0.0263286        1.3276235      0.0239194        1.4894026      0.0282165        -7.06%      4.27%
          40          45           1.1276324      0.0274419        1.0493497      0.0256468        1.1771002      0.0287418        -6.94%      4.39%
          45          50          0.90249909      0.0349081       0.84276154      0.0317596       0.94034424      0.0372477        -6.62%      4.19%
          50          55          0.82036833      0.0161271       0.76902077      0.0149222       0.85274153      0.0171878        -6.26%      3.95%
          55          60          0.75650799      0.0215884       0.71035181      0.0202126       0.78651208      0.0226704        -6.10%      3.97%
          60          65          0.76911969      0.0164367       0.72239170      0.0150667       0.80040475      0.0176967        -6.08%      4.07%
          65          70          0.89271017      0.0375130       0.84429415      0.0346658       0.92307752      0.0396760        -5.42%      3.40%
          70          75          0.97522038      0.0395722       0.92326170      0.0365315        1.0089557      0.0419439        -5.33%      3.46%
          75          80           1.4517908      0.0306224        1.3822212      0.0288311        1.4933316      0.0321275        -4.79%      2.86%
          80          85           2.5609963      0.0340297        2.4330546      0.0321878        2.6420579      0.0355927        -5.00%      3.17%
          85          90           8.6456835       0.152321        8.2425023       0.149707        8.8939124       0.152885        -4.66%      2.87%
          90          95           10.481163       0.156990        9.9752314       0.153832        10.803529       0.157984        -4.83%      3.08%
          95         100           1.7672267      0.0586638        1.6891384      0.0565416        1.8164738      0.0599576        -4.42%      2.79%
         100         105           1.2506027      0.0293146        1.2001802      0.0281512        1.2814464      0.0301199        -4.03%      2.47%
         105         110           1.1075698      0.0930000        1.0596886      0.0888657        1.1394923      0.0958450        -4.32%      2.88%
         110         115          0.84514607       0.107260       0.80936881       0.102600       0.86906777       0.110481        -4.23%      2.83%
         115         120          0.76536485      0.0767342       0.73070014      0.0730130       0.78951229      0.0794179        -4.53%      3.16%
         120         125          0.50298554      0.0703878       0.48280655      0.0670706       0.51671653      0.0727794        -4.01%      2.73%
         125         130          0.54053895      0.0174809       0.51762582      0.0169409       0.55673146      0.0178808        -4.24%      3.00%
         130         135          0.49758158      0.0168328       0.47788626      0.0162684       0.51110569      0.0172513        -3.96%      2.72%
         135         140          0.48345227      0.0286209       0.46303269      0.0273192       0.49832951      0.0296094        -4.22%      3.08%
         140         145          0.41975903      0.0603590       0.40497043      0.0597773       0.43127338      0.0620325        -3.52%      2.74%
         145         150          0.28950294      0.0605375       0.27710538      0.0599854       0.29834421      0.0605485        -4.28%      3.05%
         150         155          0.32774647      0.0249867       0.31470287      0.0237585       0.33747219      0.0257581        -3.98%      2.97%
         155         160          0.27900054      0.0254904       0.26896766      0.0242685       0.28810076      0.0263559        -3.60%      3.26%
         160         165          0.28830848      0.0179791       0.27896915      0.0173160       0.29736592      0.0185938        -3.24%      3.14%
         165         170          0.26789075      0.0141959       0.25981828      0.0137048       0.27670744      0.0147152        -3.01%      3.29%
         170         175          0.27260549      0.0155540       0.26335686      0.0152531       0.28162273      0.0161216        -3.39%      3.31%
