#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           12.459553      0.0989173        11.800415      0.0973438        13.093425       0.100083        -5.29%      5.09%
          10          20           8.9687871       0.118104        8.4108561       0.106218        9.3903570       0.128837        -6.22%      4.70%
          20          30           4.4886379      0.0759032        4.1953691      0.0689655        4.7276299      0.0839303        -6.53%      5.32%
          30          40           2.3934528      0.0648504        2.2248458      0.0608673        2.5684732      0.0706435        -7.04%      7.31%
          40          50           1.2087089      0.0328669        1.1400196      0.0302217        1.2939147      0.0361643        -5.68%      7.05%
          50          60          0.82275442      0.0271562       0.77664467      0.0248536       0.87995125      0.0300239        -5.60%      6.95%
          60          70          0.57784032      0.0242912       0.54446811      0.0222201       0.61923688      0.0268697        -5.78%      7.16%
          70          80          0.41098184      0.0212206       0.38653671      0.0194081       0.44130479      0.0234765        -5.95%      7.38%
          80          90          0.30478150      0.0169329       0.28267804      0.0155695       0.33219972      0.0186274        -7.25%      9.00%
          90         100          0.20363364      0.0965520       0.18582178      0.0881034       0.22572835       0.107032        -8.75%     10.85%
         100         110          0.13898188      0.0501318       0.12651733      0.0456348       0.15444352      0.0557101        -8.97%     11.12%
         110         120          0.14350792      0.0170146       0.13050281      0.0154678       0.15964010      0.0189334        -9.06%     11.24%
         120         130          0.12989594      0.0132786       0.11803462      0.0120607       0.14460930      0.0147893        -9.13%     11.33%
         130         140         0.083253920      0.0130014      0.075666079      0.0118131      0.092666255      0.0144755        -9.11%     11.31%
         140         150         0.058148447     0.00662082      0.052818759     0.00601074      0.064759657     0.00737764        -9.17%     11.37%
         150         160         0.060089032     0.00965847      0.054569588     0.00876841      0.066935623      0.0107626        -9.19%     11.39%
         160         170         0.033292793     0.00381947      0.030224930     0.00346579      0.037098323     0.00425821        -9.21%     11.43%
         170         180         0.045019767     0.00706989      0.040846046     0.00644894      0.050170908     0.00788378        -9.27%     11.44%
         180         190         0.031574169     0.00479121      0.028124107     0.00420139      0.035655468     0.00552449       -10.93%     12.93%
         190         200         0.032649404     0.00726841      0.029134141     0.00643028      0.036746418     0.00825500       -10.77%     12.55%
         200         210         0.013112457     0.00251930      0.011794187     0.00223857      0.014635178     0.00285589       -10.05%     11.61%
         210         220         0.014278343     0.00212805      0.012694983     0.00190589      0.016146531     0.00238817       -11.09%     13.08%
         220         230         0.010446835     0.00277297     0.0093837252     0.00243995      0.011671493     0.00317816       -10.18%     11.72%
         230         240          0.10276707      0.0928927      0.093170136      0.0842141       0.11467158       0.103658        -9.34%     11.58%
         240         250        0.0088477172     0.00329272     0.0077286446     0.00291019      0.010211317     0.00374788       -12.65%     15.41%
         250         260        0.0051079732     0.00260086     0.0046335692     0.00235912     0.0056964475     0.00290073        -9.29%     11.52%
         260         270        0.0097818377     0.00324602     0.0083249710     0.00260992      0.011671643     0.00414504       -14.89%     19.32%
         270         280        0.0069298542     0.00211405     0.0061673394     0.00190426     0.0078332100     0.00235657       -11.00%     13.04%
         280         290        -0.028810958      0.0372466     -0.035159084      0.0448613     -0.023932434      0.0313266        22.03%    -16.93%
         290         300        0.0087803393     0.00371400     0.0076670134     0.00322164      0.010138268     0.00432122       -12.68%     15.47%
         300         310        0.0025017104    0.000971466     0.0021477899    0.000821364     0.0029480148     0.00116525       -14.15%     17.84%
         310         320        0.0041317571     0.00276602     0.0037448308     0.00250672     0.0046117197     0.00308765        -9.36%     11.62%
         320         330        0.0013212293    0.000216801     0.0011274792    0.000182563     0.0015666102    0.000261424       -14.66%     18.57%
         330         340        0.0016666265    0.000169621     0.0014134230    0.000143162     0.0019919806    0.000204588       -15.19%     19.52%
         340         350        0.0013036586    0.000187205     0.0011077671    0.000158018     0.0015539956    0.000225242       -15.03%     19.20%
         350         360        0.0034218942     0.00189596     0.0030029731     0.00170443     0.0039332747     0.00211788       -12.24%     14.94%
         360         370        0.0040060808     0.00249051     0.0034536617     0.00214939     0.0047044938     0.00292670       -13.79%     17.43%
         370         380        0.0011689129    0.000149368    0.00099843437    0.000126731     0.0013871771    0.000179537       -14.58%     18.67%
         380         390       0.00075323653    0.000277973    0.00062684889    0.000236202    0.00091799969    0.000331898       -16.78%     21.87%
         390         400       0.00094137904    0.000166511    0.00078092520    0.000136442     0.0011544894    0.000207613       -17.04%     22.64%
         400         410       0.00099677983    0.000368522    0.00086029596    0.000309182     0.0011650025    0.000447670       -13.69%     16.88%
         410         420       0.00057386734    8.59179e-05    0.00048342235    7.19871e-05    0.00069034393    0.000104050       -15.76%     20.30%
