#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           9.2670757       0.130425        8.8420359       0.124341        9.6266460       0.135898        -4.59%      3.88%
           5          10           9.0840136       0.138322        8.5157168       0.121693        9.4547332       0.142223        -6.26%      4.08%
          10          15           6.1120939       0.115254        5.7456032       0.103518        6.3578621       0.125771        -6.00%      4.02%
          15          20           5.4099443       0.134725        5.1220219       0.120935        5.6050361       0.147205        -5.32%      3.61%
          20          25           5.2910570       0.189498        5.0462066       0.169285        5.4494935       0.207812        -4.63%      2.99%
          25          30           5.5534822       0.187819        5.3062728       0.168462        5.7117349       0.205273        -4.45%      2.85%
          30          35           5.1839834       0.251383        4.9778280       0.224504        5.3153500       0.250284        -3.98%      2.53%
          35          40           4.7017276       0.236958        4.5072942       0.211481        4.8247751       0.260081        -4.14%      2.62%
          40          45           3.2976381      0.0979109        3.1529815      0.0894717        3.3979930       0.105411        -4.39%      3.04%
          45          50           2.0330919      0.0809790        1.9429165      0.0739482        2.1186336      0.0895956        -4.44%      4.21%
          50          55           1.7074183       0.205071        1.6276423       0.193717        1.8063763       0.219254        -4.67%      5.80%
          55          60          0.75179721       0.177289       0.71628798       0.173604       0.79304248       0.187278        -4.72%      5.49%
          60          65          0.76221098      0.0383236       0.73372554      0.0350160       0.79754573      0.0424487        -3.74%      4.64%
          65          70          0.72154859      0.0355927       0.69005057      0.0325668       0.76062029      0.0393667        -4.37%      5.41%
          70          75          0.54913839      0.0400342       0.53107648      0.0365353       0.57154328      0.0443963        -3.29%      4.08%
          75          80          0.49177952      0.0409689       0.47516868      0.0376391       0.51238442      0.0451351        -3.38%      4.19%
          80          85          0.41720195      0.0347606       0.40112031      0.0321255       0.43715043      0.0380633        -3.85%      4.78%
          85          90          0.26367000      0.0257214       0.25650641      0.0235420       0.27255607      0.0284449        -2.72%      3.37%
          90          95          0.25288261      0.0238993       0.24056176      0.0221261       0.26816600      0.0261167        -4.87%      6.04%
          95         100          0.19958136      0.0273286       0.19070462      0.0252812       0.21059250      0.0298911        -4.45%      5.52%
         100         105          0.12292489      0.0186793       0.11614812      0.0173420       0.13133114      0.0203482        -5.51%      6.84%
         105         110         0.091660726      0.0139807      0.086935785      0.0127952      0.097521778      0.0154576        -5.15%      6.39%
         110         115          0.11000105      0.0168577       0.10317523      0.0154850       0.11846814      0.0185666        -6.21%      7.70%
         115         120         0.063890015      0.0131048      0.060147257      0.0121035      0.068532718      0.0143529        -5.86%      7.27%
         120         125         0.066653480      0.0155012      0.062521463      0.0141998      0.071779039      0.0171207        -6.20%      7.69%
         125         130         0.042016629      0.0138145      0.039559869      0.0126717      0.044932881      0.0151474        -5.85%      6.94%
         130         135         0.059938648      0.0180159      0.055107651      0.0161784      0.065689464      0.0201962        -8.06%      9.59%
