#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           4.0652176      0.0359166        3.2289448      0.0286259        4.9327988      0.0435049       -20.57%     21.34%
          10          20           4.3086517      0.0358504        3.5096746      0.0293099        5.1146785      0.0424709       -18.54%     18.71%
          20          30           1.7546699      0.0228735        1.4717052      0.0192380        2.0308435      0.0264407       -16.13%     15.74%
          30          40           1.0550400      0.0178183       0.90625017      0.0153595        1.1961089      0.0201602       -14.10%     13.37%
          40          50           1.0689920      0.0178825       0.93340447      0.0157214        1.1945989      0.0198807       -12.68%     11.75%
          50          60           1.8922994      0.0243033        1.6614300      0.0214851        2.1043199      0.0268825       -12.20%     11.20%
          60          70           3.1249173      0.0314668        2.7483060      0.0278710        3.4698473      0.0347469       -12.05%     11.04%
          70          80           3.6710015      0.0324065        3.2312395      0.0287127        4.0733261      0.0357742       -11.98%     10.96%
          80          90           2.6680026      0.0213064        2.3690286      0.0190443        2.9388424      0.0233540       -11.21%     10.15%
          90         100           2.6563021      0.0294371        2.4067926      0.0267183        2.8758853      0.0318469        -9.39%      8.27%
         100         110          0.36315299      0.0112805       0.33360666      0.0103621       0.38846976      0.0120774        -8.14%      6.97%
         110         120          0.29523728      0.0100101       0.27347231     0.00928190       0.31353825      0.0106284        -7.37%      6.20%
         120         130          0.27776980     0.00997237       0.25863795     0.00935351       0.29368686      0.0104972        -6.89%      5.73%
         130         140          0.20472773     0.00791726       0.19098416     0.00739853       0.21607207     0.00834791        -6.71%      5.54%
         140         150          0.18770009     0.00728328       0.17570915     0.00683509       0.19751247     0.00765244        -6.39%      5.23%
         150         160          0.15772218     0.00671575       0.14841466     0.00633702       0.16521786     0.00702182        -5.90%      4.75%
         160         170          0.14981501     0.00677572       0.14126007     0.00641344       0.15665234     0.00706418        -5.71%      4.56%
         170         180          0.11550075     0.00567593       0.10906293     0.00536455       0.12062074     0.00592539        -5.57%      4.43%
         180         190          0.10222347     0.00506042      0.096913483     0.00481489       0.10638268     0.00525169        -5.19%      4.07%
         190         200         0.080105907     0.00431752      0.076097539     0.00410829      0.083214829     0.00448027        -5.00%      3.88%
         200         210         0.086930066     0.00495044      0.082719045     0.00472024      0.090177680     0.00512819        -4.84%      3.74%
         210         220         0.074083524     0.00462155      0.070638750     0.00440353      0.076719872     0.00479045        -4.65%      3.56%
         220         230         0.062936132     0.00418244      0.060127390     0.00399992      0.065062470     0.00432146        -4.46%      3.38%
         230         240         0.052059425     0.00407030      0.050037076     0.00391461      0.053547917     0.00418633        -3.88%      2.86%
         240         250         0.047884138     0.00415477      0.046151075     0.00400880      0.049130910     0.00426010        -3.62%      2.60%
         250         260         0.041060470     0.00346674      0.039619100     0.00334687      0.042085615     0.00355274        -3.51%      2.50%
         260         270         0.036522957     0.00318294      0.035390341     0.00308500      0.037300186     0.00325139        -3.10%      2.13%
         270         280         0.033290624     0.00311074      0.032387882     0.00302615      0.033879559     0.00316702        -2.71%      1.77%
         280         290         0.030688545     0.00316357      0.029770389     0.00305624      0.031308314     0.00324023        -2.99%      2.02%
         290         300         0.029341263     0.00294001      0.028528016     0.00285963      0.029874610     0.00299320        -2.77%      1.82%
         300         310         0.024909128     0.00252114      0.024474575     0.00249589      0.025144772     0.00253184        -1.74%      0.95%
         310         320         0.021163125     0.00246104      0.020639113     0.00239116      0.021492484     0.00250803        -2.48%      1.56%
         320         330         0.018138777     0.00232998      0.017786234     0.00229011      0.018331436     0.00235035        -1.94%      1.06%
         330         340         0.015056751     0.00194593      0.014818838     0.00191477      0.015170470     0.00196135        -1.58%      0.76%
         340         350         0.015311917     0.00215752      0.015061440     0.00212680      0.015435845     0.00217163        -1.64%      0.81%
         350         360         0.011747877     0.00159020      0.011643383     0.00158488      0.011763834     0.00158507        -0.89%      0.14%
         360         370         0.015802369     0.00236488      0.015600773     0.00233302      0.015878207     0.00237796        -1.28%      0.48%
         370         380        0.0090499715     0.00151014     0.0089574074     0.00149581     0.0090741187     0.00151360        -1.02%      0.27%
         380         390        0.0094674549     0.00151996     0.0093724674     0.00150838     0.0094922662     0.00152143        -1.00%      0.26%
         390         400         0.014259202     0.00251948      0.014149583     0.00249156      0.014266554     0.00252905        -0.77%      0.05%
         400         410        0.0096331139     0.00168259     0.0095621402     0.00166681     0.0096347548     0.00168643        -0.74%      0.02%
         410         420         0.011578664     0.00222466      0.011457688     0.00219195      0.011610473     0.00223948        -1.04%      0.27%
         420         430        0.0091596570     0.00217636     0.0091230630     0.00216754     0.0091596570     0.00217636        -0.40%   0.00000%
         430         440        0.0044127705    0.000950501     0.0043829214    0.000938288     0.0044150345    0.000957837        -0.68%      0.05%
         440         450        0.0078004512     0.00215912     0.0076366247     0.00207610     0.0079300496     0.00223892        -2.10%      1.66%
         450         460        0.0037759773    0.000829830     0.0037167115    0.000814426     0.0038166606    0.000841873        -1.57%      1.08%
         460         470        0.0053681429     0.00186436     0.0053157643     0.00186546     0.0053907449     0.00185004        -0.98%      0.42%
         470         480        0.0054172594     0.00160357     0.0053097085     0.00157678     0.0055029701     0.00162309        -1.99%      1.58%
         480         490        0.0043228249    0.000907941     0.0042769962    0.000900996     0.0043440696    0.000909467        -1.06%      0.49%
         490         500        0.0041480518     0.00107814     0.0040570071     0.00105705     0.0042249321     0.00109576        -2.19%      1.85%
