#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           11.251727       0.316480        9.0638181       0.248821        13.495976       0.386973       -19.45%     19.95%
           5          10           7.8348890       0.122276        6.5532413       0.102387        9.0965479       0.142076       -16.36%     16.10%
          10          15           5.1333543       0.140344        4.4614949       0.123023        5.7620230       0.156317       -13.09%     12.25%
          15          20           5.6398075       0.148330        4.9577678       0.130691        6.2669669       0.164440       -12.09%     11.12%
          20          25           5.8970710       0.121640        5.2034348       0.108542        6.5315622       0.133476       -11.76%     10.76%
          25          30           4.7997167       0.125198        4.2446412       0.111663        5.3064035       0.137407       -11.56%     10.56%
          30          35           3.9767308       0.103118        3.5415069      0.0919754        4.3709062       0.113197       -10.94%      9.91%
          35          40           3.0205737      0.0912976        2.7130513      0.0818933        3.2961544      0.0997575       -10.18%      9.12%
          40          45           2.2100636      0.0883957        2.0151530      0.0810096        2.3807520      0.0947917        -8.82%      7.72%
          45          50          0.93866622      0.0934495       0.87683390      0.0858717       0.99010664      0.0999978        -6.59%      5.48%
          50          55          0.75099694      0.0457433       0.70639432      0.0432314       0.78726277      0.0477918        -5.94%      4.83%
          55          60          0.50791349      0.0400834       0.47763356      0.0379556       0.53259952      0.0418212        -5.96%      4.86%
          60          65          0.50725849       0.158809       0.49208788       0.161874       0.51789566       0.155061        -2.99%      2.10%
          65          70          0.31676550      0.0236439       0.30056255      0.0225102       0.32954130      0.0245286        -5.12%      4.03%
          70          75          0.22961753      0.0161953       0.21896102      0.0154272       0.23786645      0.0167993        -4.64%      3.59%
          75          80          0.19080826      0.0213315       0.18161397      0.0205047       0.19794099      0.0219463        -4.82%      3.74%
          80          85        -0.048115085       0.157577     -0.058278613       0.161176     -0.038759921       0.153351        21.12%    -19.44%
          85          90          0.11439899      0.0280786       0.11013178      0.0268150       0.11754940      0.0290391        -3.73%      2.75%
          90          95         0.082066913      0.0265584      0.079264095      0.0253273      0.084077789      0.0275012        -3.42%      2.45%
          95         100         0.038720484      0.0145898      0.037599530      0.0140294      0.039496061      0.0150025        -2.89%      2.00%
         100         105         0.060916380     0.00715475      0.058831824     0.00692819      0.062412269     0.00731547        -3.42%      2.46%
         105         110         0.045844532      0.0100037      0.044336405     0.00982412      0.046914761      0.0101008        -3.29%      2.33%
         110         115         0.041947576     0.00569128      0.040974196     0.00557036      0.042562969     0.00576694        -2.32%      1.47%
         115         120         0.029789943     0.00499625      0.028973863     0.00491665      0.030341040     0.00504013        -2.74%      1.85%
         120         125         0.033855971     0.00634335      0.033136737     0.00618475      0.034285489     0.00644514        -2.12%      1.27%
         125         130         0.042913217      0.0200080      0.042162869      0.0190959      0.043539507      0.0209762        -1.75%      1.46%
         130         135         0.010747361     0.00427424      0.010526156     0.00415918      0.010874761     0.00435133        -2.06%      1.19%
         135         140         0.014002280     0.00420263      0.013841168     0.00413007      0.014061503     0.00424050        -1.15%      0.42%
