#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.89445560       0.140097       0.84109480       0.141746       0.95841124       0.137557        -5.97%      7.15%
         0.1         0.2           5.9336400       0.300184        5.5997953       0.289439        6.3477576       0.314395        -5.63%      6.98%
         0.2         0.3           18.093470       0.783354        17.332483       0.752342        19.037436       0.824191        -4.21%      5.22%
         0.3         0.4           28.221635        1.55961        27.313448        1.38850        29.222000        1.66701        -3.22%      3.54%
         0.4         0.5           42.961369        2.08433        41.023020        1.87877        44.736104        2.25441        -4.51%      4.13%
         0.5         0.6           27.117822        13.0887        26.091752        14.5355        27.713334        11.8650        -3.78%      2.20%
         0.6         0.7           65.922281        13.4715        61.733183        11.8205        69.525867        14.9879        -6.35%      5.47%
         0.7         0.8           50.709636        3.55901        48.627882        3.14962        52.136285        3.89695        -4.11%      2.81%
         0.8         0.9           61.180507        4.41015        57.790734        3.88709        63.516378        4.89594        -5.54%      3.82%
         0.9           1           52.558160        5.44435        50.173021        4.84431        54.042537        5.99796        -4.54%      2.82%
           1         1.1           63.282220        5.81850        59.537264        5.26970        65.980588        6.31057        -5.92%      4.26%
         1.1         1.2           57.024880        5.67785        54.239442        5.16178        58.737089        6.13781        -4.88%      3.00%
         1.2         1.3           56.773429        5.99586        54.241378        5.25655        58.447538        6.65224        -4.46%      2.95%
         1.3         1.4           65.194253        6.04652        61.588485        5.21528        67.629272        6.86600        -5.53%      3.74%
         1.4         1.5           70.580190        5.94898        66.449699        5.25982        73.355544        6.60366        -5.85%      3.93%
         1.5         1.6           57.378788        6.85064        55.007704        6.23002        58.470149        6.77491        -4.13%      1.90%
         1.6         1.7           71.686092        6.77114        67.797415        6.05897        74.260332        7.52460        -5.42%      3.59%
         1.7         1.8           60.864088        5.91760        58.232596        5.11725        61.959933        6.71998        -4.32%      1.80%
         1.8         1.9           70.527256        6.16914        67.655661        5.20272        72.007389        6.81924        -4.07%      2.10%
         1.9           2           71.122935        7.65092        68.958998        6.42772        72.526585        8.48416        -3.04%      1.97%
           2         2.1           67.735614        14.9596        65.947982        12.0123        69.600010        15.4443        -2.64%      2.75%
         2.1         2.2           38.365094        31.8989        34.696961        35.6110        41.322194        28.9090        -9.56%      7.71%
         2.2         2.3           126.15642        31.9810        117.62345        28.0072        132.32410        35.7194        -6.76%      4.89%
         2.3         2.4           98.033521        9.42324        93.808196        8.03285        100.47924        10.4408        -4.31%      2.49%
         2.4         2.5           91.605305        8.80252        89.125156        7.49878        92.577883        9.23569        -2.71%      1.06%
