#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           3.3766762      0.0501976        3.2123285      0.0416519        3.5049025      0.0592467        -4.87%      3.80%
          10          20           3.9636354      0.0508220        3.7422685      0.0409554        4.1263360      0.0585764        -5.58%      4.10%
          20          30           1.9639985      0.0308791        1.8376341      0.0262016        2.0360225      0.0358897        -6.43%      3.67%
          30          40           1.2901180      0.0246570        1.2116635      0.0215026        1.3419526      0.0279053        -6.08%      4.02%
          40          50           1.2797909      0.0280068        1.2172108      0.0248152        1.3185093      0.0311352        -4.89%      3.03%
          50          60           2.1568169      0.0295325        2.0598414      0.0264046        2.2164136      0.0326214        -4.50%      2.76%
          60          70           3.5860955      0.0388891        3.4226545      0.0347475        3.6881159      0.0429391        -4.56%      2.84%
          70          80           4.1912570      0.0358068        4.0030208      0.0319922        4.3088952      0.0396123        -4.49%      2.81%
          80          90           3.1534100      0.0261475        3.0212272      0.0238404        3.2374677      0.0284706        -4.19%      2.67%
          90         100           3.2397077      0.0367887        3.1300208      0.0345630        3.3121170      0.0391829        -3.39%      2.24%
         100         110          0.44938250      0.0132963       0.43849192      0.0125491       0.45950149      0.0137514        -2.42%      2.25%
         110         120          0.36817100      0.0117516       0.35789972      0.0111400       0.37672974      0.0121456        -2.79%      2.32%
         120         130          0.35301659      0.0114816       0.34307042      0.0110640       0.36184677      0.0118267        -2.82%      2.50%
         130         140          0.27291268     0.00936678       0.26646222     0.00912253       0.28091415     0.00969338        -2.36%      2.93%
         140         150          0.24462884     0.00868553       0.23924324     0.00844998       0.25130940     0.00900013        -2.20%      2.73%
         150         160          0.20727748     0.00776547       0.20258943     0.00758699       0.21309277     0.00800498        -2.26%      2.81%
         160         170          0.19638505     0.00738843       0.19197941     0.00728179       0.20185002     0.00753294        -2.24%      2.78%
         170         180          0.15504325     0.00645125       0.15130243     0.00631852       0.15968354     0.00662984        -2.41%      2.99%
         180         190          0.15439381      0.0153035       0.14945837      0.0140213       0.16051597      0.0169122        -3.20%      3.97%
         190         200          0.10700941     0.00521183       0.10446427     0.00506232       0.11016652     0.00541117        -2.38%      2.95%
         200         210          0.12063373     0.00587275       0.11744528     0.00571750       0.12458884     0.00608026        -2.64%      3.28%
         210         220          0.10029622     0.00579958      0.097816432     0.00560555       0.10337226     0.00605685        -2.47%      3.07%
         220         230         0.084650154     0.00484989      0.082595955     0.00473653      0.087198284     0.00500194        -2.43%      3.01%
         230         240         0.074622281     0.00448863      0.072487781     0.00441615      0.077270022     0.00458666        -2.86%      3.55%
         240         250         0.068127439     0.00456044      0.066212374     0.00449003      0.070502981     0.00465576        -2.81%      3.49%
         250         260         0.058661158     0.00406110      0.056726933     0.00391836      0.060973633     0.00434165        -3.30%      3.94%
         260         270         0.053407602     0.00399939      0.051810274     0.00386498      0.055389007     0.00417758        -2.99%      3.71%
         270         280         0.045382089     0.00343512      0.044238207     0.00337895      0.046801017     0.00351107        -2.52%      3.13%
         280         290         0.042026964     0.00442526      0.040954322     0.00422576      0.043357522     0.00468636        -2.55%      3.17%
         290         300         0.044191640     0.00378074      0.042691681     0.00359968      0.046190973     0.00407714        -3.39%      4.52%
         300         310         0.035763558     0.00298257      0.034596088     0.00286331      0.037271057     0.00316004        -3.26%      4.22%
         310         320         0.030157219     0.00276091      0.029306356     0.00270931      0.031212672     0.00283050        -2.82%      3.50%
         320         330         0.029979458     0.00373271      0.028408777     0.00350855      0.031989251     0.00403061        -5.24%      6.70%
         330         340         0.021110644     0.00261394      0.020359046     0.00243919      0.022196504     0.00288155        -3.56%      5.14%
         340         350         0.021776352     0.00255200      0.020927229     0.00246360      0.022891238     0.00268165        -3.90%      5.12%
         350         360         0.017719600     0.00192008      0.017070830     0.00183905      0.018562976     0.00202967        -3.66%      4.76%
         360         370         0.021538650     0.00261584      0.020878483     0.00255927      0.022395042     0.00269995        -3.07%      3.98%
         370         380         0.013579046     0.00189978      0.013128060     0.00182412      0.014172475     0.00199909        -3.32%      4.37%
         380         390         0.012292819     0.00198731      0.012025532     0.00191153      0.012624374     0.00208726        -2.17%      2.70%
         390         400         0.020279334     0.00274183      0.019579984     0.00270037      0.021109012     0.00278922        -3.45%      4.09%
         400         410         0.014048247     0.00238011      0.013106910     0.00208856      0.015178084     0.00287211        -6.70%      8.04%
         410         420         0.016478611     0.00258557      0.016015064     0.00252433      0.017053617     0.00266769        -2.81%      3.49%
         420         430         0.015054247     0.00304281      0.014320505     0.00288298      0.015940944     0.00324041        -4.87%      5.89%
         430         440        0.0058212190     0.00121691     0.0056879764     0.00117336     0.0059864998     0.00127449        -2.29%      2.84%
         440         450         0.012650182     0.00266228      0.011850157     0.00247004      0.013646993     0.00289389        -6.32%      7.88%
         450         460        0.0067810180     0.00108977     0.0064967339     0.00104769     0.0071678609     0.00124130        -4.19%      5.70%
         460         470        0.0078837934     0.00211587     0.0076325790     0.00206730     0.0082216825     0.00217361        -3.19%      4.29%
