#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           18.336755       0.311374        17.594520       0.277995        18.886544       0.339757        -4.05%      3.00%
           5          10           10.631445       0.157460        10.054926       0.139679        10.960325       0.174350        -5.42%      3.09%
          10          15           5.6229309       0.132113        5.3467903       0.120796        5.7963332       0.142494        -4.91%      3.08%
          15          20           4.2206269       0.144666        4.0305669       0.137625        4.3458734       0.151077        -4.50%      2.97%
          20          25           3.5912516       0.141061        3.4493743       0.131418        3.6791565       0.149534        -3.95%      2.45%
          25          30           3.3611257       0.149378        3.2161277       0.138522        3.4585316       0.158745        -4.31%      2.90%
          30          35           2.9239545       0.229799        2.8160464       0.214088        2.9926158       0.243708        -3.69%      2.35%
          35          40           2.9226251       0.212814        2.8031052       0.196451        3.0024498       0.227382        -4.09%      2.73%
          40          45           2.0821646       0.102205        2.0210068      0.0939107        2.1206746       0.103031        -2.94%      1.85%
          45          50           1.4775568      0.0841951        1.4092563      0.0816630        1.5447423      0.0902499        -4.62%      4.55%
          50          55          0.91456527      0.0753977       0.88342005      0.0706981       0.95319935      0.0813436        -3.41%      4.22%
          55          60          0.68603502      0.0615330       0.65803137      0.0582149       0.72077213      0.0657155        -4.08%      5.06%
          60          65          0.71874223       0.258068       0.69306953       0.248385       0.75058793       0.270122        -3.57%      4.43%
          65          70          0.30392626      0.0447073       0.29302415      0.0425918       0.31744978      0.0473768        -3.59%      4.45%
          70          75          0.27760568      0.0316724       0.26798297      0.0293713       0.28954217      0.0345777        -3.47%      4.30%
          75          80          0.25327621      0.0460541       0.24345245      0.0427233       0.26546210      0.0502413        -3.88%      4.81%
          80          85        -0.084016318       0.203980      -0.10076650       0.224908     -0.070671067       0.187470        19.94%    -15.88%
          85          90          0.24588990      0.0791270       0.23227360      0.0738732       0.26278023      0.0856841        -5.54%      6.87%
          90          95         0.064315747      0.0346279      0.062601986      0.0335470      0.066441581      0.0359854        -2.66%      3.31%
          95         100          0.10792109      0.0160932       0.10349282      0.0150773       0.11346166      0.0173464        -4.10%      5.13%
         100         105         0.071347313      0.0124829      0.067896843      0.0116859      0.075259921      0.0135701        -4.84%      5.48%
         105         110         0.032911779      0.0188628      0.032044232      0.0174791      0.033987927      0.0206066        -2.64%      3.27%
         110         115         0.070148858      0.0249186      0.066131623      0.0228167      0.075132034      0.0275382        -5.73%      7.10%
         115         120         0.067565744      0.0145224      0.064190746      0.0134499      0.071501162      0.0158298        -5.00%      5.82%
         120         125         0.051367452      0.0195834      0.048255550      0.0179214      0.055081150      0.0214806        -6.06%      7.23%
         125         130         0.021300691      0.0195511      0.020386564      0.0179986      0.022577300      0.0213392        -4.29%      5.99%
         130         135         0.016078483     0.00554146      0.015649606     0.00522659      0.016610483     0.00594379        -2.67%      3.31%
         135         140         0.033351655     0.00863978      0.031465423     0.00790870      0.035624240     0.00955591        -5.66%      6.81%
         140         145         0.015424856     0.00390461      0.014605143     0.00363442      0.016492707     0.00423670        -5.31%      6.92%
         145         150         0.015905769     0.00728967      0.014724612     0.00676197      0.017295134     0.00790477        -7.43%      8.73%
         150         155         0.029403212      0.0112374      0.027821294      0.0102701      0.031325302      0.0124021        -5.38%      6.54%
         155         160         0.012113660     0.00436847      0.011827509     0.00414786      0.012468616     0.00465249        -2.36%      2.93%
         160         165         0.011075864     0.00346590      0.010512027     0.00332232      0.011791790     0.00364986        -5.09%      6.46%
         165         170        0.0086290904     0.00248709     0.0079811154     0.00230054     0.0094340041     0.00271869        -7.51%      9.33%
         170         175        0.0079428215     0.00407771     0.0072104885     0.00370354     0.0089173651     0.00453742        -9.22%     12.27%
         175         180         0.012576106     0.00486345      0.011725611     0.00447717      0.013624246     0.00534744        -6.76%      8.33%
