#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           9.4588049       0.750441        9.0355170       0.875836        9.8339005       0.619158        -4.48%      3.97%
          10          20           9.3555731       0.453865        9.0694495       0.407819        9.5686839       0.567319        -3.06%      2.28%
          20          30           4.4434501       0.297394        4.2785775       0.281539        4.5748574       0.312579        -3.71%      2.96%
          30          40           2.5063080       0.192132        2.4291363       0.168882        2.5826185       0.226086        -3.08%      3.04%
          40          50           1.5547690       0.116033        1.4765753      0.0947907        1.6453539       0.146243        -5.03%      5.83%
          50          60           1.1154405       0.104439        1.0556429      0.0856975        1.1871124       0.131227        -5.36%      6.43%
          60          70          0.68045103      0.0994265       0.64160032      0.0820689       0.72642504       0.124176        -5.71%      6.76%
          70          80          0.51757365      0.0781084       0.49208903      0.0648936       0.55241368      0.0964576        -4.92%      6.73%
          80          90          0.40146600      0.0519254       0.37237625      0.0437101       0.43906547      0.0632742        -7.25%      9.37%
          90         100          0.27344488      0.0239956       0.25603615      0.0198356       0.29320010      0.0299247        -6.37%      7.22%
         100         110          0.17028912      0.0239947       0.16036247      0.0186184       0.18278120      0.0320536        -5.83%      7.34%
         110         120          0.10513820      0.0146856       0.10100691      0.0116634       0.11034784      0.0191887        -3.93%      4.96%
         120         130          0.10168168      0.0205244      0.093429164      0.0162983       0.11241760      0.0264021        -8.12%     10.56%
         130         140         0.084604911      0.0186287      0.077078467      0.0148382      0.094001031      0.0238947        -8.90%     11.11%
         140         150         0.049116666     0.00869287      0.047356741     0.00716040      0.050550884      0.0108246        -3.58%      2.92%
         150         160         0.039917773     0.00590495      0.037629806     0.00474270      0.042485095     0.00754841        -5.73%      6.43%
         160         170         0.056007921      0.0207695      0.048762778      0.0157919      0.065841357      0.0280322       -12.94%     17.56%
         170         180         0.012871108      0.0227194     0.0097699043      0.0305945      0.014559788      0.0172859       -24.09%     13.12%
         180         190         0.013199859      0.0150362      0.012064193      0.0196112      0.013730992      0.0117809        -8.60%      4.02%
         190         200         0.033341866      0.0103094      0.028488576     0.00815991      0.040036062      0.0133649       -14.56%     20.08%
         200         210         0.014527368     0.00511133      0.011029988     0.00331407      0.019843793     0.00927357       -24.07%     36.60%
         210         220        0.0064037704     0.00826524     0.0059608388      0.0103153     0.0065839529     0.00677906        -6.92%      2.81%
         220         230         0.021429338     0.00797452      0.017899866     0.00613838      0.026250100      0.0106241       -16.47%     22.50%
         230         240        0.0097688894     0.00183304     0.0089692047     0.00145552      0.010679253     0.00240562        -8.19%      9.32%
         240         250        0.0018590200     0.00491906    0.00072522846     0.00661554     0.0024991076     0.00375392       -60.99%     34.43%
         250         260        0.0048155837     0.00695990     0.0047050459     0.00524049     0.0048605962     0.00868607        -2.30%      0.93%
         260         270        0.0040703147     0.00171240     0.0037792595     0.00140955     0.0044060513     0.00213316        -7.15%      8.25%
         270         280        0.0059224559     0.00181648     0.0052873436     0.00139154     0.0066280256     0.00244571       -10.72%     11.91%
         280         290        0.0087130460     0.00331393     0.0071726267     0.00247661      0.010860539     0.00456006       -17.68%     24.65%
         290         300        0.0023804812     0.00124606     0.0023258894     0.00167432     0.0023973254     0.00137357        -2.29%      0.71%
         300         310        0.0026545683    0.000627949     0.0023799887    0.000502641     0.0029740039    0.000814399       -10.34%     12.03%
         310         320      -0.00011659487     0.00174718   -0.00044127093     0.00217953    9.6885043e-05     0.00143422       278.47%   -183.10%
         320         330        0.0074451441     0.00312867     0.0060572616     0.00243582     0.0093359185     0.00410544       -18.64%     25.40%
         330         340        0.0016318214     0.00174900     0.0015544254     0.00232204     0.0017027363     0.00164726        -4.74%      4.35%
         340         350       0.00065423706     0.00117291    0.00026152745     0.00154267    0.00086520202    0.000928757       -60.03%     32.25%
         350         360      -0.00081749951     0.00187494    -0.0014283815     0.00248780   -0.00042651042     0.00144826        74.73%    -47.83%
         360         370        0.0012204906    0.000509764    0.00048674212     0.00117042     0.0018279373    0.000687679       -60.12%     49.77%
         370         380       0.00051989444    0.000567146    0.00049649422    0.000822775    0.00052715375    0.000662557        -4.50%      1.40%
         380         390        0.0025321375     0.00101677     0.0020875522    0.000802851     0.0031409084     0.00132503       -17.56%     24.04%
         390         400       0.00028791010    0.000739734    0.00020898236    0.000922615    0.00033456233    0.000607653       -27.41%     16.20%
         400         410        0.0011699166    0.000578739    0.00094231147    0.000410213     0.0015268255    0.000875813       -19.45%     30.51%
         410         420       0.00090044291    0.000397930    0.00076409535    0.000324191     0.0010768010    0.000499294       -15.14%     19.59%
         420         430       0.00013705312    0.000298873   -0.00014190636    0.000453708    0.00030388501    0.000230177      -203.54%    121.73%
         430         440       -0.0025394749     0.00315920    -0.0043347631     0.00510669    -0.0013192939     0.00183016        70.70%    -48.05%
         440         450       0.00033273251    0.000194069    0.00030491523    0.000145188    0.00035248126    0.000270073        -8.36%      5.94%
         450         460       0.00049860061    0.000299001    0.00040704968    0.000385938    0.00054995146    0.000252169       -18.36%     10.30%
         460         470       0.00057075347    0.000191347    0.00046826421    0.000149393    0.00071430357    0.000255862       -17.96%     25.15%
         470         480      -0.00054501640    0.000848613   -0.00078673274     0.00118038   -0.00038200200    0.000628783        44.35%    -29.91%
         480         490        0.0017907707     0.00123160     0.0013572652    0.000907347     0.0024531066     0.00173379       -24.21%     36.99%
         490         500       0.00017557683    0.000140814    0.00013545910    0.000195773    0.00018982469    0.000122572       -22.85%      8.11%
         500         510        0.0021309164     0.00161131     0.0016589702     0.00118629     0.0028060636     0.00225473       -22.15%     31.68%
         510         520       0.00045667120    0.000127377    0.00034541326    9.45158e-05    0.00062692026    0.000180116       -24.36%     37.28%
         520         530       0.00061289939    0.000334278    0.00049728572    0.000265754    0.00076630967    0.000430003       -18.86%     25.03%
         530         540       0.00028337706    9.33164e-05    0.00024367835    7.72413e-05    0.00033434765    0.000117787       -14.01%     17.99%
         540         550       0.00051924064    0.000359004    0.00045400334    0.000299615    0.00059020911    0.000438674       -12.56%     13.67%
         550         560       0.00018265468    7.70561e-05    0.00014285135    5.62254e-05    0.00024062422    0.000109611       -21.79%     31.74%
         560         570       0.00013854821    5.92437e-05    0.00011556068    4.57033e-05    0.00017006813    7.98144e-05       -16.59%     22.75%
         570         580       0.00016064175    6.45572e-05    0.00013063381    4.84639e-05    0.00020207035    8.95701e-05       -18.68%     25.79%
         580         590       7.8610712e-05    5.00050e-05    7.5182116e-05    3.89255e-05    8.1640145e-05    6.11763e-05        -4.36%      3.85%
         590         600       6.6070030e-05    6.93265e-05    5.8063040e-05    9.16492e-05    7.5335682e-05    7.77252e-05       -12.12%     14.02%
         600         610       1.0932106e-05    7.78735e-05   -8.7282086e-07    9.54296e-05    1.8475213e-05    6.51187e-05      -107.98%     69.00%
         610         620       0.00012802622    0.000117501    0.00010976684    8.28272e-05    0.00015941504    0.000172532       -14.26%     24.52%
