#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1           1.1308950       0.495214        1.1001907       0.452249        1.1666730       0.554343        -2.72%      3.16%
         0.1         0.2           6.2897719        1.39139        6.1974765        1.19941        6.4097886        1.64679        -1.47%      1.91%
         0.2         0.3           22.731350        3.55874        21.685476        2.89696        23.988724        4.50236        -4.60%      5.53%
         0.3         0.4           47.127193        6.89271        43.809454        5.63326        51.460298        8.67296        -7.04%      9.19%
         0.4         0.5           38.956619        7.81117        38.345414        6.94979        39.986659        8.85868        -1.57%      2.64%
         0.5         0.6           38.509301        14.8912        37.424598        12.9616        40.032382        17.5335        -2.82%      3.96%
         0.6         0.7           85.181578        16.5134        79.061804        14.4423        93.181298        19.3640        -7.18%      9.39%
         0.7         0.8           72.446209        10.5565        67.839359        8.59899        78.571838        13.3350        -6.36%      8.46%
         0.8         0.9           69.810443        11.4198        67.369680        9.34011        72.804250        14.3707        -3.50%      4.29%
         0.9           1           31.804615        11.9208        24.299261        14.8753        36.948580        9.83383       -23.60%     16.17%
           1         1.1           65.829809        12.7804        63.575759        11.4580        67.585128        14.0571        -3.42%      2.67%
         1.1         1.2           66.502817        12.3234        63.829811        10.8941        69.906671        15.3662        -4.02%      5.12%
         1.2         1.3           61.479713        12.2933        60.418671        10.1794        62.659581        13.3093        -1.73%      1.92%
         1.3         1.4           73.135935        13.6565        70.656960        11.2693        76.218638        17.0169        -3.39%      4.22%
         1.4         1.5           90.318180        14.7461        85.794154        13.0440        95.259372        18.4241        -5.01%      5.47%
         1.5         1.6           58.354838        15.5239        55.896332        17.0779        60.816633        17.3993        -4.21%      4.22%
         1.6         1.7           73.630014        15.8942        70.077578        14.2366        76.900376        17.6244        -4.82%      4.44%
         1.7         1.8           57.409515        14.2331        53.911329        16.2828        60.133343        12.2775        -6.09%      4.74%
         1.8         1.9           103.91886        16.3324        97.668583        13.4769        112.23115        20.3430        -6.01%      8.00%
         1.9           2           88.648099        16.3077        85.126761        13.5386        93.235279        20.1973        -3.97%      5.17%
           2         2.1           79.766260        23.6845        77.182957        20.5421        82.487011        26.1101        -3.24%      3.41%
         2.1         2.2           37.386727        32.6354        31.685247        37.5657        42.389988        28.4352       -15.25%     13.38%
         2.2         2.3           117.54391        33.9707        109.20001        29.7078        125.28017        38.0380        -7.10%      6.58%
         2.3         2.4           111.71644        18.0301        108.00483        15.0544        116.45678        22.2191        -3.32%      4.24%
         2.4         2.5           41.940414        19.4543        27.543585        24.1663        52.227210        16.1010       -34.33%     24.53%
         2.5         2.6           129.27652        19.5052        126.37539        16.1471        132.83922        24.2363        -2.24%      2.76%
         2.6         2.7           111.50643        19.7684        109.98552        24.5987        112.64782        18.9228        -1.36%      1.02%
         2.7         2.8           151.70787        22.6523        147.63988        19.1254        155.71285        27.6337        -2.68%      2.64%
         2.8         2.9           146.46771        25.0990        142.51866        26.0204        149.97472        24.5375        -2.70%      2.39%
         2.9           3           173.66404        24.4493        167.07089        21.1084        181.50765        30.1225        -3.80%      4.52%
           3         3.1           160.19597        25.7962        155.08762        27.6307        164.03062        24.3275        -3.19%      2.39%
         3.1         3.2           176.74487        25.9293        173.42990        22.4181        178.94368        29.5221        -1.88%      1.24%
         3.2         3.3           94.283124        23.2184        86.599945        25.5648        99.977789        21.5730        -8.15%      6.04%
         3.3         3.4           85.314218        19.3679        83.650548        21.9852        86.879353        20.5728        -1.95%      1.83%
         3.4         3.5           83.270414        17.3690        79.139617        14.7895        89.056457        20.9777        -4.96%      6.95%
         3.5         3.6           20.696252        17.1150        13.987586        20.8558        25.731206        14.4424       -32.41%     24.33%
         3.6         3.7           47.684023        15.0375        44.956787        13.5331        49.793347        16.6283        -5.72%      4.42%
         3.7         3.8           16.920644        11.7013        13.237318        14.6403        19.650318        9.61115       -21.77%     16.13%
         3.8         3.9           16.875985        10.6267        14.605157        11.7067        18.604297        9.79605       -13.46%     10.24%
         3.9           4           14.666273        10.0310        12.699256        11.3833        16.524942        8.69472       -13.41%     12.67%
           4         4.1         -0.69526117        9.99518       -6.5362782        12.2743        3.5200711        8.36647       840.12%   -606.29%
         4.1         4.2           15.387797        10.1419        14.021813        8.87746        16.699217        11.3752        -8.88%      8.52%
         4.2         4.3           10.586184        14.9398        8.9313705        15.5378        11.741241        14.5059       -15.63%     10.91%
         4.3         4.4           26.792572        14.2886        24.966693        12.7116        29.201385        16.3609        -6.81%      8.99%
         4.4         4.5          -7.0971846        9.80241       -10.559714        11.7216       -4.5187192        8.41220        48.79%    -36.33%
         4.5         4.6           7.8603367        6.17404        7.3469937        5.42490        8.2975085        6.90697        -6.53%      5.56%
         4.6         4.7           11.568193        6.79414        10.843521        6.46327        12.389143        7.17978        -6.26%      7.10%
         4.7         4.8           2.2150472        7.57583        1.5593304        9.13760        2.7219087        6.44889       -29.60%     22.88%
         4.8         4.9           3.8540018        5.90704        2.4753396        6.15824        4.9871375        5.68546       -35.77%     29.40%
         4.9           5           6.0547226        5.10079        5.2351505        4.72288        7.2300612        5.55238       -13.54%     19.41%
           5         5.1          -7.0200260        4.54331       -8.7499110        5.53133       -5.7090379        3.83431        24.64%    -18.67%
         5.1         5.2         -0.44158312        4.16662       -1.3777260        5.12226       0.24131348        3.88312       212.00%   -154.65%
         5.2         5.3           4.8501127        4.46894        4.5689513        4.79942        5.0237354        4.16967        -5.80%      3.58%
         5.3         5.4          -1.7830039        2.22856       -2.4182769        2.81835       -1.3110816        1.80756        35.63%    -26.47%
         5.4         5.5           4.8735629        3.78406        4.1603650        3.35192        5.8700881        4.53328       -14.63%     20.45%
         5.5         5.6           3.5716749        3.60800        3.1171713        3.01914        4.2284253        4.42977       -12.73%     18.39%
         5.6         5.7           4.2915853        1.96511        3.5803385        1.62314        5.2890968        2.44974       -16.57%     23.24%
         5.7         5.8           3.3421839        2.35111        3.0161825        2.04849        3.7703262        2.84063        -9.75%     12.81%
         5.8         5.9           1.1933627        2.83476       0.97547584        2.48183        1.4258101        3.17996       -18.26%     19.48%
         5.9           6           3.1315129        1.79935        2.6094730        1.47144        3.8640054        2.26505       -16.67%     23.39%
           6         6.1           1.3595285        1.51557        1.2577343        1.33173        1.4623095        1.83836        -7.49%      7.56%
         6.1         6.2         -0.49415062        1.96064      -0.63923320        2.26385      -0.33117844        1.65387        29.36%    -32.98%
         6.2         6.3           3.4113567        2.54458        2.7569109        2.13556        4.3369688        3.11542       -19.18%     27.13%
         6.3         6.4          -2.0482457        2.25362       -2.5253505        2.78819       -1.6968976        1.86267        23.29%    -17.15%
         6.4         6.5          -6.5750944        5.25026       -7.6721699        5.91745       -5.7334122        4.72391        16.69%    -12.80%
         6.5         6.6           6.8882827        6.71331        6.2791201        5.78261        7.5502969        7.55049        -8.84%      9.61%
         6.6         6.7          -1.1389201        1.29049       -1.4272740        1.63602      -0.92689865        1.04455        25.32%    -18.62%
         6.7         6.8          -1.6783232        1.66224       -2.0332316        2.04611       -1.4150158        1.38467        21.15%    -15.69%
         6.8         6.9          -2.9556542        4.66578       -3.3058974        5.15972       -2.5715753        4.11947        11.85%    -12.99%
         6.9           7           3.5904437        1.22191        2.9634768       0.989808        4.4597436        1.55115       -17.46%     24.21%
           7         7.1          0.16661570       0.660091      0.083871295       0.542817       0.28981747       0.826539       -49.66%     73.94%
