#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           19.401900        1.13291        18.997180       0.946240        19.613051        1.41442        -2.09%      1.09%
           5          10           12.284284       0.736933        11.865738       0.635128        12.835224       0.932324        -3.41%      4.48%
          10          15           5.9538830       0.551363        5.9116156       0.495777        5.9863959       0.614946        -0.71%      0.55%
          15          20           4.0212051       0.449956        3.9868677       0.407495        4.0362455       0.408415        -0.85%      0.37%
          20          25           3.5990892       0.401481        3.5761874       0.505712        3.6210620       0.356908        -0.64%      0.61%
          25          30           2.8411428       0.410169        2.6875658       0.513502        2.9553236       0.363329        -5.41%      4.02%
          30          35           2.9852986       0.360369        2.8775013       0.407108        3.0767259       0.323722        -3.61%      3.06%
          35          40           3.2791906       0.327892        3.1722988       0.269427        3.4196780       0.411275        -3.26%      4.28%
          40          45           1.7224357       0.308849        1.6397845       0.390605        1.7814857       0.251279        -4.80%      3.43%
          45          50           1.1849846       0.226664        1.1075207       0.284915        1.2315061       0.185787        -6.54%      3.93%
          50          55          0.97940437       0.167410       0.96528132       0.136386       0.98962710       0.211688        -1.44%      1.04%
          55          60          0.47753323       0.199008       0.43324476       0.254915       0.50815661       0.159600        -9.27%      6.41%
          60          65          0.63518894       0.145123       0.60771783       0.121288       0.67208352       0.177894        -4.32%      5.81%
          65          70          0.25376101       0.108312       0.21666139       0.135255       0.27765029      0.0922270       -14.62%      9.41%
          70          75          0.28901564       0.110490       0.26459686       0.133497       0.30676647      0.0934187        -8.45%      6.14%
          75          80          0.33314797      0.0794347       0.31110262      0.0658494       0.36154643      0.0988457        -6.62%      8.52%
          80          85          0.14060166       0.101995       0.11694403      0.0998858       0.16284134       0.104580       -16.83%     15.82%
          85          90          0.19426533      0.0736450       0.18304111      0.0642659       0.20754454      0.0864397        -5.78%      6.84%
          90          95          0.21868182      0.0630119       0.20554898      0.0519692       0.23496527      0.0786554        -6.01%      7.45%
          95         100          0.11346350      0.0517524       0.10737808      0.0419365       0.12124889      0.0657966        -5.36%      6.86%
         100         105         0.044144136      0.0511269      0.032459026      0.0638989      0.051804531      0.0420791       -26.47%     17.35%
         105         110          0.12600942      0.0645832       0.11326246      0.0559807       0.14363620      0.0766502       -10.12%     13.99%
         110         115         0.043666987      0.0476733      0.038981792      0.0607046      0.047109678      0.0382325       -10.73%      7.88%
         115         120         0.043939138      0.0240550      0.039979557      0.0295626      0.046776914      0.0201479        -9.01%      6.46%
         120         125         0.053598362      0.0391700      0.048522929      0.0317624      0.060454252      0.0495837        -9.47%     12.79%
         125         130         0.038377083      0.0300258      0.036140087      0.0239565      0.040937954      0.0386681        -5.83%      6.67%
         130         135         0.030037223      0.0298794      0.027619440      0.0252644      0.033308353      0.0363592        -8.05%     10.89%
         135         140         0.055333878      0.0272864      0.047914883      0.0231281      0.065453630      0.0331425       -13.41%     18.29%
         140         145         0.022537891      0.0167817      0.020765354      0.0134385      0.025096887      0.0216369        -7.86%     11.35%
         145         150         0.032924343      0.0153210      0.026845033      0.0123921      0.041871078      0.0197650       -18.46%     27.17%
         150         155        -0.038249672      0.0390125     -0.057430432      0.0522799     -0.024492423      0.0297046        50.15%    -35.97%
         155         160         0.049429212      0.0154998      0.040770537      0.0120477      0.061788374      0.0204710       -17.52%     25.00%
         160         165        0.0028636378     0.00574257     0.0025414019     0.00479359     0.0033837499     0.00711920       -11.25%     18.16%
         165         170        -0.014084517      0.0459660     -0.015568682      0.0510514     -0.012907472      0.0419835        10.54%     -8.36%
         170         175      -0.00026890455     0.00281057   -0.00059475711     0.00606644   -4.4371715e-05    0.000792660       121.18%    -83.50%
         175         180         0.024381226      0.0147874      0.022753851      0.0121569      0.026301453      0.0184095        -6.67%      7.88%
         180         185        0.0035374547     0.00881327     0.0025517089      0.0108500     0.0042629593     0.00876382       -27.87%     20.51%
         185         190        0.0051069874     0.00984245     0.0038410448      0.0128522     0.0059858970     0.00781816       -24.79%     17.21%
         190         195        0.0042677614      0.0247755    -0.0020125312      0.0317438     0.0088675103      0.0252865      -147.16%    107.78%
         195         200       -0.0024176056     0.00451644    -0.0049721985     0.00567236   -0.00061384235     0.00360400       105.67%    -74.61%
         200         205         0.018356604      0.0124313      0.016301283      0.0106948      0.020987629      0.0145960       -11.20%     14.33%
         205         210        0.0095247208     0.00876534     0.0092232091     0.00834355     0.0098184074     0.00926809        -3.17%      3.08%
         210         215         0.032733877      0.0286971      0.029161801      0.0256921      0.037383298      0.0325842       -10.91%     14.20%
         215         220      -0.00013274279     0.00210242   -0.00023565088     0.00252760   -3.5555060e-05     0.00136568        77.52%    -73.22%
         220         225         0.015501165      0.0137077      0.013387100      0.0112389      0.018354145      0.0171434       -13.64%     18.40%
         225         230       -0.0029106998      0.0132995    -0.0093391265      0.0190180     0.0011573559     0.00995860       220.86%   -139.76%
         230         235        0.0075008494     0.00514842     0.0059752387     0.00455116     0.0098721715     0.00640490       -20.34%     31.61%
         235         240       -0.0083805618      0.0239021    -0.0095408786      0.0304232    -0.0074610402      0.0192488        13.85%    -10.97%
         240         245       -0.0047819280     0.00444991    -0.0072861286     0.00607720    -0.0030532832     0.00334910        52.37%    -36.15%
         245         250        0.0038772576     0.00304312     0.0033805404     0.00399448     0.0041822164     0.00304103       -12.81%      7.87%
         250         255         0.011979780      0.0211470     0.0062813194      0.0137779      0.020775589      0.0328822       -47.57%     73.42%
         255         260        0.0016554325     0.00596131     0.0013142096     0.00483877     0.0021733856     0.00751256       -20.61%     31.29%
         260         265        0.0043338189     0.00353139     0.0024952899     0.00176381     0.0071450106     0.00662914       -42.42%     64.87%
         265         270        0.0014712650     0.00146575     0.0010590806     0.00186029     0.0017218926     0.00120475       -28.02%     17.03%
         270         275        0.0040500141     0.00246142     0.0035266642     0.00210964     0.0047686329     0.00296388       -12.92%     17.74%
         275         280        0.0045609990     0.00432646     0.0037519492     0.00350686     0.0056621212     0.00544657       -17.74%     24.14%
         280         285      -0.00033455367     0.00179141   -0.00069301645     0.00333968   -0.00010964401    0.000757427       107.15%    -67.23%
         285         290        0.0039082630     0.00834705     0.0024275026     0.00515616     0.0061023599      0.0130356       -37.89%     56.14%
         290         295      -0.00089126722     0.00178617    -0.0014532183     0.00264396   -0.00051611755     0.00118807        63.05%    -42.09%
         295         300       0.00095097005     0.00105646    0.00086099143    0.000907876     0.0010695029     0.00127019        -9.46%     12.46%
         300         305        0.0055150114     0.00483564     0.0041574678     0.00353011     0.0076821301     0.00693011       -24.62%     39.29%
         305         310        0.0034909061     0.00231136     0.0025253056     0.00156223     0.0048920854     0.00375757       -27.66%     40.14%
         310         315      -0.00048196106     0.00176160    -0.0012867819     0.00214246    6.3508660e-05     0.00151250       166.99%   -113.18%
         315         320       0.00016819255     0.00145819   -1.4162012e-05     0.00101038    0.00044977128     0.00211873      -108.42%    167.41%
         320         325       0.00032005974    0.000428801    0.00030296486    0.000376179    0.00034033894    0.000454496        -5.34%      6.34%
         325         330       0.00080333936     0.00460117    0.00044528419     0.00329359     0.0012279921     0.00653809       -44.57%     52.86%
         330         335       -0.0023496804     0.00442962    -0.0033125007     0.00573701    -0.0016621143     0.00349590        40.98%    -29.26%
         335         340        0.0018189807     0.00106610     0.0014637508    0.000847919     0.0023148293     0.00138844       -19.53%     27.26%
         340         345      -0.00044654162     0.00136360   -0.00075840371     0.00211927   -0.00025747059    0.000856767        69.84%    -42.34%
         345         350       -0.0029991407     0.00804404    -0.0036118252     0.00770449    -0.0019761120     0.00895713        20.43%    -34.11%
         350         355      -0.00010524133    0.000330278   -0.00019625248    0.000541630   -3.2387780e-05    0.000198832        86.48%    -69.23%
         355         360       0.00043096795     0.00130520    0.00016443368     0.00153055    0.00070349861     0.00118222       -61.85%     63.24%
         360         365      -0.00057900987     0.00117385   -0.00087226939     0.00176164   -0.00039291071    0.000803329        50.65%    -32.14%
         365         370        0.0036085538     0.00338116     0.0028954650     0.00276110     0.0046116476     0.00423051       -19.76%     27.80%
         370         375       -0.0030635618     0.00379856    -0.0042222041     0.00476480    -0.0022441770     0.00309380        37.82%    -26.75%
         375         380       0.00013689884     0.00133737   -0.00016555436     0.00208286    0.00042481471     0.00107316      -220.93%    210.31%
         380         385       0.00021616240     0.00151415    0.00017447508     0.00126940    0.00027912193     0.00185413       -19.29%     29.13%
         385         390        0.0020631094     0.00184280     0.0016117441     0.00137572     0.0027495829     0.00256718       -21.88%     33.27%
         390         395        0.0036454989     0.00246357     0.0028114342     0.00184993     0.0048322259     0.00336983       -22.88%     32.55%
         395         400       -0.0014236001     0.00279806    -0.0016660983     0.00309889   -0.00083373037     0.00277808        17.03%    -41.44%
         400         405        0.0014076890     0.00241705     0.0011398455     0.00194788     0.0018054418     0.00311250       -19.03%     28.26%
         405         410        0.0014619143     0.00130624    0.00088245471    0.000759122     0.0023606832     0.00216134       -39.64%     61.48%
         410         415       -0.0029871695     0.00299945    -0.0040221167     0.00382972    -0.0022687631     0.00240214        34.65%    -24.05%
         415         420       0.00059609610    0.000396699    0.00052471326    0.000319237    0.00068775968    0.000505791       -11.98%     15.38%
         420         425      -0.00023131425    0.000362735   -0.00048558148    0.000522219   -8.3959888e-05    0.000275812       109.92%    -63.70%
         425         430       0.00079311444     0.00163321    0.00077677806     0.00157284    0.00080226377     0.00164329        -2.06%      1.15%
         430         435      -0.00015550471    0.000301261   -0.00016748175    0.000304416   -0.00013550076    0.000289210         7.70%    -12.86%
         435         440         -0.12074833       0.180431      -0.14360188       0.217200     -0.093598966       0.140723        18.93%    -22.48%
         440         445       0.00039924612    0.000443347    0.00034025840    0.000357289    0.00047817630    0.000565247       -14.77%     19.77%
         445         450      -0.00040497988    0.000336615   -0.00076327984    0.000543309   -0.00016653122    0.000206260        88.47%    -58.88%
         450         455       0.00026074931    0.000138127    0.00025059595    0.000125829    0.00027532994    0.000169718        -3.89%      5.59%
         455         460      -0.00040564881     0.00162972   -0.00068235065     0.00211638   -0.00021713976     0.00130077        68.21%    -46.47%
         460         465          -8.7853877        14.9339       -10.165428        17.4135        20.933464        35.7877        15.71%   -338.28%
         465         470      -4.4423071e-05    0.000252330   -6.0646048e-05    0.000323953   -2.9924883e-05    0.000284937        36.52%    -32.64%
         470         475       0.00049263806    0.000389340    0.00039567188    0.000298629    0.00063219268    0.000522508       -19.68%     28.33%
         475         480       0.00027678315    0.000214166    0.00025062892    0.000186213    0.00030806466    0.000255179        -9.45%     11.30%
         480         485       0.00030757209    0.000228505    0.00022212151    0.000169527    0.00043743191    0.000317730       -27.78%     42.22%
         485         490      -0.00072325056    0.000971014    -0.0010245600     0.00140891   -0.00052407357    0.000687429        41.66%    -27.54%
