#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           22.423607      0.0174804        18.617908      0.0145577        26.222973      0.0204592       -16.97%     16.94%
           5          10           9.9917092      0.0126725        8.5462522      0.0108909        11.381225      0.0144120       -14.47%     13.91%
          10          15           4.9100883     0.00921629        4.2976461     0.00809487        5.4790151      0.0102724       -12.47%     11.59%
          15          20           3.5250510     0.00789757        3.1185176     0.00699835        3.8967123     0.00873453       -11.53%     10.54%
          20          25           3.0654433     0.00733675        2.7270672     0.00653692        3.3723532     0.00807754       -11.04%     10.01%
          25          30           2.9314855     0.00708147        2.6168336     0.00633637        3.2155761     0.00776919       -10.73%      9.69%
          30          35           2.8553287     0.00681593        2.5544385     0.00612026        3.1261604     0.00745543       -10.54%      9.49%
          35          40           2.7544511     0.00660451        2.4677072     0.00594562        3.0120649     0.00720910       -10.41%      9.35%
          40          45           2.2819616     0.00632731        2.0514722     0.00570399        2.4880252     0.00689734       -10.10%      9.03%
          45          50           1.0167090     0.00428338       0.93281452     0.00394582        1.0892586     0.00458221        -8.25%      7.14%
          50          55          0.59639404     0.00331152       0.55481277     0.00309188       0.63124992     0.00350013        -6.97%      5.84%
          55          60          0.42013289     0.00280871       0.39331573     0.00263851       0.44222605     0.00295252        -6.38%      5.26%
          60          65          0.31106976     0.00240395       0.29246733     0.00226802       0.32619014     0.00251692        -5.98%      4.86%
          65          70          0.24292153     0.00211333       0.22923621     0.00200069       0.25391581     0.00220622        -5.63%      4.53%
          70          75          0.19145770     0.00185676       0.18123256     0.00175975       0.19958149     0.00193648        -5.34%      4.24%
          75          80          0.15039610     0.00162704       0.14288913     0.00154910       0.15627949     0.00168999        -4.99%      3.91%
          80          85          0.11658874     0.00140697       0.11094207     0.00134313       0.12098064     0.00145794        -4.84%      3.77%
          85          90         0.095154851     0.00124568      0.090813204     0.00119025      0.098488034     0.00128980        -4.56%      3.50%
          90          95         0.078315428     0.00114018      0.075049819     0.00109589      0.080775830     0.00117452        -4.17%      3.14%
          95         100         0.062595996    0.000987677      0.060103617    0.000950611      0.064454200     0.00101645        -3.98%      2.97%
         100         105         0.049977921    0.000872064      0.048061694    0.000840972      0.051394415    0.000896037        -3.83%      2.83%
         105         110         0.042068552    0.000774289      0.040547850    0.000746815      0.043171863    0.000795067        -3.61%      2.62%
         110         115         0.035115915    0.000731788      0.034013972    0.000712726      0.035885117    0.000745335        -3.14%      2.19%
         115         120         0.029678920    0.000658977      0.028802583    0.000644253      0.030281742    0.000669532        -2.95%      2.03%
         120         125         0.025517816    0.000584813      0.024820808    0.000569550      0.025981448    0.000595441        -2.73%      1.82%
         125         130         0.021614089    0.000581199      0.021137255    0.000574542      0.021907241    0.000584931        -2.21%      1.36%
         130         135         0.017258635    0.000478613      0.016816133    0.000466286      0.017545873    0.000487636        -2.56%      1.66%
         135         140         0.015479748    0.000469323      0.015133364    0.000457699      0.015692414    0.000477935        -2.24%      1.37%
         140         145         0.013019246    0.000411466      0.012792070    0.000405031      0.013140203    0.000414941        -1.74%      0.93%
         145         150         0.011273714    0.000371338      0.011086771    0.000365590      0.011370423    0.000374623        -1.66%      0.86%
         150         155         0.010015098    0.000367116     0.0098876933    0.000363138      0.010066470    0.000368713        -1.27%      0.51%
         155         160        0.0092541052    0.000357924     0.0091574519    0.000357324     0.0092835225    0.000356713        -1.04%      0.32%
         160         165        0.0072542129    0.000285642     0.0071807638    0.000283169     0.0072752235    0.000286428        -1.01%      0.29%
         165         170        0.0065762585    0.000263310     0.0065293641    0.000261127     0.0065775707    0.000263799        -0.71%      0.02%
         170         175        0.0064678239    0.000286076     0.0064227064    0.000284779     0.0064682036    0.000285694        -0.70%     0.006%
         175         180        0.0054415021    0.000251318     0.0054215301    0.000250983     0.0054415021    0.000251318        -0.37%   0.00000%
         180         185        0.0044050105    0.000222577     0.0043871612    0.000220931     0.0044050105    0.000222577        -0.41%   0.00000%
         185         190        0.0043945135    0.000234009     0.0043713511    0.000232761     0.0043945135    0.000234009        -0.53%   0.00000%
         190         195        0.0034923236    0.000194432     0.0034694683    0.000193578     0.0034945608    0.000194296        -0.65%      0.06%
         195         200        0.0038390628    0.000220888     0.0038109955    0.000219239     0.0038453048    0.000221523        -0.73%      0.16%
         200         205        0.0026502240    0.000164202     0.0026187026    0.000162086     0.0026689066    0.000165740        -1.19%      0.70%
         205         210        0.0025600034    0.000164496     0.0025295614    0.000163039     0.0025783634    0.000165331        -1.19%      0.72%
         210         215        0.0024243187    0.000173130     0.0023919618    0.000170190     0.0024452383    0.000175458        -1.33%      0.86%
         215         220        0.0022056320    0.000154889     0.0021689703    0.000152505     0.0022333649    0.000156756        -1.66%      1.26%
         220         225        0.0019943525    0.000138009     0.0019669583    0.000136702     0.0020122172    0.000138614        -1.37%      0.90%
         225         230        0.0016295226    0.000115109     0.0016069640    0.000114004     0.0016443592    0.000115794        -1.38%      0.91%
         230         235        0.0014676109    0.000108815     0.0014429561    0.000107291     0.0014861072    0.000109920        -1.68%      1.26%
         235         240        0.0017305980    0.000136159     0.0016976349    0.000133376     0.0017572845    0.000138573        -1.90%      1.54%
         240         245        0.0013944794    0.000125592     0.0013610535    0.000122649     0.0014244439    0.000128342        -2.40%      2.15%
         245         250        0.0012616761    0.000113077     0.0012382775    0.000111147     0.0012802985    0.000114664        -1.85%      1.48%
         250         255        0.0012214949    0.000127096     0.0011934756    0.000124457     0.0012459708    0.000129374        -2.29%      2.00%
         255         260        0.0010516912    0.000104996     0.0010278759    0.000103072     0.0010724007    0.000106563        -2.26%      1.97%
         260         265       0.00083177064    7.63094e-05    0.00080861290    7.41139e-05    0.00085322255    7.83908e-05        -2.78%      2.58%
         265         270        0.0010799657    0.000195801     0.0010503165    0.000187975     0.0011072581    0.000203733        -2.75%      2.53%
         270         275       0.00094688613    0.000101543    0.00091934284    9.87360e-05    0.00097287261    0.000104209        -2.91%      2.74%
         275         280       0.00062505489    7.48280e-05    0.00060772034    7.26859e-05    0.00064131138    7.69527e-05        -2.77%      2.60%
         280         285       0.00065914958    8.80323e-05    0.00064054640    8.62197e-05    0.00067669096    8.96223e-05        -2.82%      2.66%
         285         290       0.00075768866    9.43381e-05    0.00073375757    9.15566e-05    0.00078079926    9.70772e-05        -3.16%      3.05%
         290         295       0.00053467288    6.71176e-05    0.00051812673    6.50900e-05    0.00055055310    6.90913e-05        -3.09%      2.97%
         295         300       0.00078679682    0.000143802    0.00076389946    0.000140989    0.00080835393    0.000146104        -2.91%      2.74%
         300         305       0.00049378682    5.84973e-05    0.00047616946    5.66539e-05    0.00051135736    6.03309e-05        -3.57%      3.56%
         305         310       0.00046244699    6.88174e-05    0.00044716906    6.68550e-05    0.00047725276    7.06520e-05        -3.30%      3.20%
         310         315       0.00054844885    9.87953e-05    0.00052853946    9.44697e-05    0.00056830743    0.000103375        -3.63%      3.62%
         315         320       0.00048974998    9.26922e-05    0.00047005345    8.87423e-05    0.00050981040    9.67592e-05        -4.02%      4.10%
         320         325       0.00045162884    7.51288e-05    0.00043292702    7.18862e-05    0.00047102961    7.85846e-05        -4.14%      4.30%
         325         330       0.00025024108    4.42269e-05    0.00023854939    4.19991e-05    0.00026260838    4.66538e-05        -4.67%      4.94%
