#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.25873643      0.0222966       0.25284678      0.0218464       0.26259663      0.0225654        -2.28%      1.49%
         0.1         0.2           1.9954397      0.0578472        1.8757095      0.0545666        2.0944275      0.0605521        -6.00%      4.96%
         0.2         0.3           9.6161227       0.187755        8.6123392       0.173102        10.521097       0.200631       -10.44%      9.41%
         0.3         0.4           21.334702       0.302260        18.954884       0.268048        23.498401       0.333809       -11.15%     10.14%
         0.4         0.5           29.735084       0.336036        26.289944       0.300038        32.885152       0.368947       -11.59%     10.59%
         0.5         0.6           34.035651       0.663646        30.089282       0.562794        37.645337       0.762528       -11.59%     10.61%
         0.6         0.7           37.597497       0.405802        33.178171       0.353906        41.655562       0.455097       -11.75%     10.79%
         0.7         0.8           39.575914       0.402060        34.835127       0.356201        43.946464       0.444534       -11.98%     11.04%
         0.8         0.9           40.920341       0.408753        35.963167       0.361504        45.505111       0.452937       -12.11%     11.20%
         0.9           1           42.477317       0.405490        37.297650       0.358747        47.286030       0.449516       -12.19%     11.32%
           1         1.1           43.451526       0.442405        38.091081       0.389775        48.443846       0.492067       -12.34%     11.49%
         1.1         1.2           43.885292       0.464018        38.389374       0.408814        49.029871       0.515908       -12.52%     11.72%
         1.2         1.3           45.787999       0.419491        39.998478       0.370396        51.228654       0.466197       -12.64%     11.88%
         1.3         1.4           46.944200       0.461844        40.854000       0.407246        52.701294       0.513470       -12.97%     12.26%
         1.4         1.5           48.615130       0.363891        42.251393       0.316897        54.650527       0.410344       -13.09%     12.41%
         1.5         1.6           51.174456       0.407975        44.440821       0.352229        57.580001       0.464308       -13.16%     12.52%
         1.6         1.7           52.340465       0.439419        45.336693       0.382079        59.032230       0.497157       -13.38%     12.79%
         1.7         1.8           54.122973       0.741095        46.798335       0.611822        61.143802       0.874384       -13.53%     12.97%
         1.8         1.9           57.369856       0.855356        49.571237       0.702411        64.868559        1.01144       -13.59%     13.07%
         1.9           2           61.737320       0.449306        53.143669       0.386748        70.044417       0.512160       -13.92%     13.46%
           2         2.1           64.826673        1.06494        55.794977       0.852085        73.566753        1.28582       -13.93%     13.48%
