#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.15092915      0.0231755       0.11469521      0.0285778       0.16840831      0.0231280       -24.01%     11.58%
          10          15           2.5212792      0.0344268        2.2615261      0.0432730        2.6639354      0.0340696       -10.30%      5.66%
          15          20           3.4382416      0.0400788        3.3065366      0.0319973        3.5313269      0.0485048        -3.83%      2.71%
          20          25           2.8995335      0.0308248        2.7602105      0.0246793        2.9894352      0.0368785        -4.81%      3.10%
          25          30           2.2503645      0.0281036        2.1224762      0.0227970        2.3257410      0.0332750        -5.68%      3.35%
          30          35           1.7631082      0.0251362        1.6541266      0.0207395        1.8237931      0.0293344        -6.18%      3.44%
          35          40           1.3493929      0.0238893        1.2619434      0.0199951        1.3979479      0.0278056        -6.48%      3.60%
          40          45           1.1167218      0.0227894        1.0380477      0.0193334        1.1671362      0.0262124        -7.05%      4.51%
          45          50          0.86203877      0.0190881       0.80469578      0.0162503       0.89855497      0.0218943        -6.65%      4.24%
          50          55          0.78090607      0.0164531       0.72497264      0.0141128       0.82002676      0.0187572        -7.16%      5.01%
          55          60          0.73979675      0.0262791       0.68138572      0.0230761       0.78469824      0.0292925        -7.90%      6.07%
          60          65          0.67212177      0.0316278       0.61602060      0.0272730       0.71660228      0.0357596        -8.35%      6.62%
          65          70          0.69682497      0.0272363       0.63930553      0.0233420       0.74303809      0.0309408        -8.25%      6.63%
          70          75          0.83971977      0.0196994       0.76345847      0.0173732       0.90396573      0.0218764        -9.08%      7.65%
          75          80           1.2158093      0.0219408        1.1015084      0.0194094        1.3134819      0.0242929        -9.40%      8.03%
          80          85           2.1798989      0.0326521        1.9744761      0.0287366        2.3564506      0.0362892        -9.42%      8.10%
          85          90           7.7235177      0.0911696        7.1657347      0.0804875        8.1659831       0.100990        -7.22%      5.73%
          90          95           11.111364       0.101494        10.845444       0.112249        11.428564      0.0899454        -2.39%      2.85%
          95         100           1.7098711      0.0416136        1.6683535      0.0368833        1.7408267      0.0416800        -2.43%      1.81%
         100         105           1.2046670      0.0567381        1.1677299      0.0511028        1.2231283      0.0567801        -3.07%      1.53%
         105         110          0.91523378      0.0544279       0.89166724      0.0490716       0.93209592      0.0544728        -2.57%      1.84%
         110         115          0.88010668      0.0175240       0.84811525      0.0157597       0.89983291      0.0191959        -3.63%      2.24%
         115         120          0.75289409      0.0203243       0.72469803      0.0183904       0.77107497      0.0220999        -3.75%      2.41%
         120         125          0.59825950      0.0174033       0.57897876      0.0156027       0.61281491      0.0175132        -3.22%      2.43%
         125         130          0.55608281      0.0185704       0.53630705      0.0166879       0.56972682      0.0186672        -3.56%      2.45%
         130         135          0.50148084      0.0263738       0.48266573      0.0238083       0.51440881      0.0286786        -3.75%      2.58%
         135         140          0.38621475      0.0306474       0.37434213      0.0277587       0.39825513      0.0306988        -3.07%      3.12%
         140         145          0.38102219      0.0182430       0.36645468      0.0166455       0.39170790      0.0183171        -3.82%      2.80%
         145         150          0.33333204      0.0133666       0.32137666      0.0122207       0.34357943      0.0134627        -3.59%      3.07%
         150         155          0.29721442      0.0129107       0.28610978      0.0119246       0.30610144      0.0129909        -3.74%      2.99%
         155         160          0.36230900      0.0744660       0.34306424      0.0675474       0.37782188      0.0805487        -5.31%      4.28%
         160         165          0.17731854      0.0729852       0.17116463      0.0729766       0.18495215      0.0729971        -3.47%      4.31%
         165         170          0.23825952      0.0177782       0.22969111      0.0161798       0.24518859      0.0178229        -3.60%      2.91%
         170         175          0.24748893     0.00904206       0.23781179     0.00842369       0.25486031     0.00958379        -3.91%      2.98%
         175         180          0.27954431      0.0109805       0.26711171      0.0102861       0.28929430      0.0115727        -4.45%      3.49%
         180         185          0.32865118      0.0281748       0.31488303      0.0259633       0.33920495      0.0300402        -4.19%      3.21%
         185         190          0.39591356      0.0331276       0.38294400      0.0305590       0.40578688      0.0331544        -3.28%      2.49%
