#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           19.071119      0.0854491        18.434839      0.0716924        19.468641      0.0944806        -3.34%      2.08%
           5          10           10.791020       0.107623        10.230609      0.0949167        11.091832       0.119767        -5.19%      2.79%
          10          15           5.6364474       0.118607        5.3631302       0.106335        5.8078839       0.129718        -4.85%      3.04%
          15          20           4.2319886      0.0981502        4.0410234      0.0878500        4.3556816       0.107467        -4.51%      2.92%
          20          25           3.6527348      0.0726935        3.5009722      0.0653147        3.7503802      0.0794188        -4.15%      2.67%
          25          30           3.3284047      0.0881454        3.1980388      0.0789290        3.4116314      0.0965309        -3.92%      2.50%
          30          35           3.2414657      0.0989742        3.1211015      0.0889572        3.3175548       0.108014        -3.71%      2.35%
          35          40           2.7653013      0.0873250        2.6849319      0.0790245        2.8091954      0.0947360        -2.91%      1.59%
          40          45           2.1996688      0.0688561        2.1466126      0.0625399        2.2289396      0.0763893        -2.41%      1.33%
          45          50           1.4221600      0.0515254        1.3640632      0.0476897        1.4808105      0.0570386        -4.09%      4.12%
          50          55          0.92866676      0.0339415       0.89224667      0.0311977       0.97384406      0.0373951        -3.92%      4.86%
          55          60          0.67234774      0.0257902       0.64651285      0.0239024       0.70439462      0.0281859        -3.84%      4.77%
          60          65          0.46362439      0.0249063       0.44525721      0.0231411       0.48640794      0.0271521        -3.96%      4.91%
          65          70          0.40094790      0.0274840       0.38312117      0.0251493       0.42306105      0.0304098        -4.45%      5.52%
          70          75          0.25038689      0.0319129       0.24291675      0.0290716       0.25965323      0.0354581        -2.98%      3.70%
          75          80          0.27068392      0.0270508       0.25792590      0.0246533       0.28650960      0.0300436        -4.71%      5.85%
          80          85          0.14452392      0.0274948       0.14050251      0.0249572       0.14951229      0.0306503        -2.78%      3.45%
          85          90          0.16079551      0.0254440       0.15306256      0.0231365       0.17038784      0.0283182        -4.81%      5.97%
          90          95          0.13665297     0.00948162       0.13036781     0.00869682       0.14444938      0.0104674        -4.60%      5.71%
          95         100         0.096889244     0.00998885      0.092989597     0.00911165       0.10172656      0.0110848        -4.02%      4.99%
         100         105         0.068929357     0.00987461      0.066474790     0.00906796      0.071974123      0.0108890        -3.56%      4.42%
         105         110         0.064371498     0.00955492      0.061400318     0.00887344      0.068170236      0.0103428        -4.62%      5.90%
         110         115         0.056444339      0.0115930      0.053544457      0.0109517      0.060041497      0.0124228        -5.14%      6.37%
         115         120         0.045894091     0.00697287      0.043412154     0.00632096      0.048994147     0.00775692        -5.41%      6.75%
         120         125         0.043279841     0.00607456      0.041633667     0.00567792      0.045321836     0.00658223        -3.80%      4.72%
         125         130         0.045404110     0.00550027      0.042602391     0.00502663      0.048845564     0.00605698        -6.17%      7.58%
         130         135        0.0091437079      0.0148793     0.0084990734      0.0149622      0.010021809      0.0146861        -7.05%      9.60%
         135         140         0.034755952      0.0139026      0.032672509      0.0125927      0.037340357      0.0155281        -5.99%      7.44%
         140         145         0.024866562     0.00308434      0.023395639     0.00284677      0.026704129     0.00336856        -5.92%      7.39%
         145         150         0.031650958      0.0146432      0.029550213      0.0133904      0.034167827      0.0163518        -6.64%      7.95%
         150         155        0.0012464787      0.0146422    0.00020386071      0.0163520     0.0020869948      0.0132646       -83.65%     67.43%
         155         160         0.016019387     0.00241021      0.015014735     0.00224659      0.017244366     0.00260747        -6.27%      7.65%
         160         165         0.017071402     0.00442750      0.015437036     0.00382780      0.019119786     0.00517911        -9.57%     12.00%
         165         170         0.011596381     0.00490719      0.010949496     0.00427797      0.012407873     0.00570209        -5.58%      7.00%
         170         175        0.0037708328     0.00298511     0.0037520202     0.00267304     0.0038370393     0.00337544        -0.50%      1.76%
         175         180         0.019167252     0.00608481      0.017632283     0.00556187      0.021015894     0.00678028        -8.01%      9.64%
         180         185       -0.0096278593      0.0113362     -0.011106589      0.0126565    -0.0084357672      0.0102727        15.36%    -12.38%
         185         190         0.018032096     0.00983019      0.016715450     0.00890438      0.019665330      0.0109791        -7.30%      9.06%
         190         195        0.0073193876     0.00112866     0.0068077141     0.00100744     0.0079498646     0.00127997        -6.99%      8.61%
         195         200        0.0025549368     0.00249271     0.0021482849     0.00291920     0.0028689057     0.00215342       -15.92%     12.29%
         200         205        0.0058610453     0.00294048     0.0051381457     0.00258575     0.0067897060     0.00338158       -12.33%     15.84%
         205         210        0.0096121316     0.00256668     0.0088894116     0.00228958      0.010465047     0.00286332        -7.52%      8.87%
         210         215        0.0068256584     0.00837835     0.0062918677     0.00758940     0.0074877988     0.00935745        -7.82%      9.70%
         215         220       -0.0036816676     0.00797879    -0.0044235975     0.00891140    -0.0030835539     0.00722727        20.15%    -16.25%
         220         225        0.0055071937     0.00190944     0.0049398271     0.00170213     0.0062344397     0.00216366       -10.30%     13.21%
         225         230       0.00098331018     0.00102269    0.00091688917     0.00118255     0.0010450498    0.000966358        -6.75%      6.28%
         230         235        0.0012064361     0.00256271     0.0011126771     0.00224622     0.0013340000     0.00295484        -7.77%     10.57%
