#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.80475825      0.0187314       0.74907626      0.0170730       0.87216573      0.0207408        -6.92%      8.38%
         0.1         0.2           5.6916921       0.107942        5.3541690      0.0980964        6.1103724       0.120198        -5.93%      7.36%
         0.2         0.3           19.357936       0.485232        18.468030       0.435918        20.356308       0.540833        -4.60%      5.16%
         0.3         0.4           31.626169       0.839907        30.310873       0.737364        32.571316       0.935955        -4.16%      2.99%
         0.4         0.5           45.943168        1.44739        43.578814        1.29630        47.602564        1.58751        -5.15%      3.61%
         0.5         0.6           42.465698        5.93244        41.079713        5.22608        43.102479        6.58168        -3.26%      1.50%
         0.6         0.7           62.884797        6.07674        58.958227        5.35104        65.867018        6.74378        -6.24%      4.74%
         0.7         0.8           53.666830        2.56379        50.981085        2.28551        55.479703        2.81735        -5.00%      3.38%
         0.8         0.9           64.327950        3.05686        60.402217        2.71428        67.229546        3.36931        -6.10%      4.51%
         0.9           1           54.349922        4.53050        51.718593        4.03668        56.025111        4.97664        -4.84%      3.08%
           1         1.1           59.000016        5.38931        55.707715        4.87200        61.290715        5.84941        -5.58%      3.88%
         1.1         1.2           61.223782        4.90000        57.807868        4.49283        63.562463        5.25622        -5.58%      3.82%
         1.2         1.3           66.838184        4.34299        63.058568        3.92447        69.452644        4.73286        -5.65%      3.91%
         1.3         1.4           68.208736        3.88388        64.298786        3.44912        70.872639        4.30009        -5.73%      3.91%
         1.4         1.5           72.457346        4.66901        67.895127        4.12510        75.695444        5.17661        -6.30%      4.47%
         1.5         1.6           61.526338        4.97330        58.478120        4.39650        63.309785        5.50857        -4.95%      2.90%
         1.6         1.7           73.896867        4.18721        69.297494        3.65015        77.059596        4.70963        -6.22%      4.28%
         1.7         1.8           68.300615        4.27187        65.070596        3.69240        69.995460        4.84120        -4.73%      2.48%
         1.8         1.9           77.659024        4.34728        73.370585        3.76027        80.294790        4.92228        -5.52%      3.39%
         1.9           2           83.104567        7.32741        78.206410        6.05725        86.242666        8.62114        -5.89%      3.78%
           2         2.1           80.825329        7.68246        76.732220        6.41222        83.042086        8.96906        -5.06%      2.74%
         2.1         2.2           40.896860        31.1815        36.946076        34.8405        44.081821        28.2319        -9.66%      7.79%
         2.2         2.3           137.54829        31.2630        126.76931        27.4062        145.71505        34.8006        -7.84%      5.94%
         2.3         2.4           93.975375        6.21622        90.120839        5.27208        95.615133        6.49390        -4.10%      1.74%
         2.4         2.5           105.93102        7.04472        100.93850        5.96770        108.32744        8.13510        -4.71%      2.26%
         2.5         2.6           121.53552        9.07116        115.23487        7.57435        124.80773        10.5923        -5.18%      2.69%
         2.6         2.7           120.64764        8.44372        115.13978        7.04544        123.57056        8.93253        -4.57%      2.42%
         2.7         2.8           139.45396        8.70990        132.75524        7.19613        142.69488        9.29211        -4.80%      2.32%
         2.8         2.9           153.64875        8.88632        147.05195        7.32212        156.87393        9.50188        -4.29%      2.10%
         2.9           3           174.71424        8.70264        167.68420        7.50350        178.56711        8.94567        -4.02%      2.21%
           3         3.1           194.42274        10.5268        187.04547        9.19674        200.27350        10.6818        -3.79%      3.01%
         3.1         3.2           191.44313        10.7307        184.31379        9.44880        197.38632        10.8101        -3.72%      3.10%
