#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           4.4296906      0.0497793        4.0186650      0.0535250        4.7610427      0.0470072        -9.28%      7.48%
           5          10           8.3711231      0.0824975        7.7894061      0.0713117        8.7925272      0.0862721        -6.95%      5.03%
          10          15           4.5071137      0.0796194        4.1892762      0.0704481        4.7192598      0.0880828        -7.05%      4.71%
          15          20           3.9413096      0.0900363        3.6963616      0.0801107        4.1142251      0.0990311        -6.21%      4.39%
          20          25           4.0610025       0.158054        3.8529145       0.140073        4.1986743       0.174364        -5.12%      3.39%
          25          30           4.4144073       0.180755        4.2264873       0.160931        4.5431497       0.180416        -4.26%      2.92%
          30          35           5.6553326       0.160986        5.3768900       0.144133        5.8433429       0.176186        -4.92%      3.32%
          35          40           5.5958573       0.145557        5.3693380       0.130418        5.7619368       0.145058        -4.05%      2.97%
          40          45           5.0537002       0.112971        4.8599875       0.102027        5.1888887       0.112372        -3.83%      2.68%
          45          50           3.5925972      0.0780757        3.3946907      0.0714704        3.7579050      0.0857032        -5.51%      4.60%
          50          55           2.3280140      0.0662001        2.2206990      0.0627707        2.4475470      0.0714668        -4.61%      5.13%
          55          60           1.6624346      0.0768185        1.5910796      0.0711021        1.7509469      0.0839774        -4.29%      5.32%
          60          65           1.2869882      0.0685925        1.2328404      0.0627204        1.3541560      0.0759139        -4.21%      5.22%
          65          70           1.0087551      0.0405481       0.96497351      0.0373779        1.0630639      0.0445133        -4.34%      5.38%
          70          75          0.66532450      0.0404193       0.64318776      0.0371468       0.69278401      0.0445149        -3.33%      4.13%
          75          80          0.61806094      0.0460519       0.59013581      0.0425031       0.65270065      0.0504899        -4.52%      5.60%
          80          85          0.51104643      0.0385431       0.48891736      0.0351484       0.53849642      0.0427698        -4.33%      5.37%
          85          90          0.42056945      0.0410991       0.40040167      0.0374874       0.44558657      0.0455946        -4.80%      5.95%
          90          95          0.39309399      0.0975486       0.37182205      0.0883831       0.41948076       0.108922        -5.41%      6.71%
          95         100          0.15462900      0.0968009       0.15293911      0.0903770       0.15779472       0.103701        -1.09%      2.05%
         100         105          0.23812757      0.0300303       0.22779412      0.0283005       0.25094569      0.0321985        -4.34%      5.38%
         105         110          0.13341986      0.0279627       0.12874070      0.0260865       0.13922413      0.0303239        -3.51%      4.35%
         110         115          0.17038362      0.0299393       0.16124871      0.0276602       0.18171502      0.0327837        -5.36%      6.65%
         115         120          0.13668049      0.0194891       0.13011497      0.0178559       0.14482468      0.0215254        -4.80%      5.96%
         120         125          0.14058759      0.0346290       0.13225293      0.0315441       0.15092631      0.0384636        -5.93%      7.35%
         125         130         0.070202064      0.0323477      0.067878368      0.0295781      0.073124289      0.0354872        -3.31%      4.16%
         130         135         0.064564949      0.0140481      0.061780003      0.0129015      0.068065281      0.0153177        -4.31%      5.42%
         135         140          0.10614378      0.0217446      0.099836057      0.0197517       0.11396818      0.0242197        -5.94%      7.37%
         140         145         0.044009436      0.0145352      0.041804188      0.0134348      0.046855898      0.0157548        -5.01%      6.47%
         145         150         0.055923450     0.00669127      0.052565222     0.00591291      0.060109005     0.00769299        -6.01%      7.48%
         150         155         0.046268463      0.0121594      0.044235729      0.0110660      0.048789967      0.0135194        -4.39%      5.45%
         155         160         0.049405011      0.0107016      0.046089443     0.00972985      0.053445751      0.0118659        -6.71%      8.18%
         160         165         0.027160680     0.00576587      0.025452436     0.00522964      0.029253344     0.00642256        -6.29%      7.70%
         165         170         0.039591370     0.00866037      0.036805292     0.00774396      0.043060002     0.00979431        -7.04%      8.76%
         170         175         0.024320984     0.00505056      0.022764620     0.00461312      0.026252150     0.00557414        -6.40%      7.94%
         175         180         0.031075866     0.00732684      0.029132302     0.00669291      0.033486759     0.00811527        -6.25%      7.76%
         180         185         0.023085588      0.0166333      0.021806277      0.0153459      0.024717317      0.0180821        -5.54%      7.07%
         185         190         0.021098195      0.0134853      0.019778239      0.0124145      0.022721731      0.0146874        -6.26%      7.70%
         190         195         0.013105768     0.00333894      0.012321112     0.00303758      0.014072414     0.00370068        -5.99%      7.38%
         195         200         0.014459625     0.00256342      0.013787827     0.00233053      0.015339031     0.00285272        -4.65%      6.08%
         200         205         0.013425464     0.00415135      0.012413126     0.00377515      0.014657475     0.00460634        -7.54%      9.18%
         205         210         0.012109054     0.00378005      0.011288263     0.00345158      0.013110140     0.00417661        -6.78%      8.27%
         210         215         0.012345395     0.00652249      0.011329477     0.00589483      0.013623772     0.00727450        -8.23%     10.36%
         215         220        0.0052111282     0.00621690     0.0049473285     0.00565731     0.0056300591     0.00686524        -5.06%      8.04%
         220         225         0.011613327     0.00342763      0.010653931     0.00308138      0.012809268     0.00384473        -8.26%     10.30%
         225         230        0.0047614200     0.00339796     0.0044178305     0.00303242     0.0052358964     0.00383851        -7.22%      9.97%
         230         235        0.0078364133     0.00286443     0.0071738495     0.00253887     0.0086593732     0.00326704        -8.45%     10.50%
         235         240        0.0085982011     0.00734379     0.0075097065     0.00650575      0.010078709     0.00839821       -12.66%     17.22%
         240         245        0.0071049669     0.00539787     0.0066446176     0.00490938     0.0076760071     0.00600463        -6.48%      8.04%
         245         250        0.0086353343     0.00175000     0.0078756473     0.00155290     0.0095765016     0.00199998        -8.80%     10.90%
         250         255        0.0077696768     0.00253317     0.0071138364     0.00228166     0.0085806929     0.00283569        -8.44%     10.44%
         255         260        0.0026942849     0.00197819     0.0025579781     0.00176786     0.0029035459     0.00223657        -5.06%      7.77%
         260         265        0.0040607297     0.00172199     0.0037722938     0.00153907     0.0044089673     0.00194918        -7.10%      8.58%
         265         270        0.0072616391     0.00255293     0.0065870981     0.00227520     0.0080915480     0.00288950        -9.29%     11.43%
         270         275        0.0029367548     0.00172227     0.0027377873     0.00155168     0.0031885036     0.00192581        -6.78%      8.57%
         275         280        0.0084368968     0.00213386     0.0075195484     0.00188097     0.0096112157     0.00245548       -10.87%     13.92%
         280         285        0.0022642460     0.00122364     0.0021103863     0.00109651     0.0024720477     0.00139234        -6.80%      9.18%
         285         290        0.0042879390     0.00125820     0.0038384433     0.00110917     0.0048539235     0.00144618       -10.48%     13.20%
         290         295        0.0058416039     0.00270297     0.0051916781     0.00235480     0.0066714989     0.00313746       -11.13%     14.21%
         295         300        0.0017386047    0.000920604     0.0016185089    0.000799381     0.0019058708     0.00107468        -6.91%      9.62%
         300         305       0.00081866855     0.00170813    0.00078131563     0.00163495    0.00086785454     0.00178490        -4.56%      6.01%
         305         310        0.0014201717    0.000634900     0.0013236116    0.000564847     0.0015489854    0.000722631        -6.80%      9.07%
         310         315        0.0029212663    0.000787587     0.0027374974    0.000700137     0.0031426890    0.000895917        -6.29%      7.58%
         315         320        0.0032256083     0.00108575     0.0028448491    0.000933788     0.0037159866     0.00128194       -11.80%     15.20%
         320         325        0.0012732118     0.00110320     0.0012185643    0.000960157     0.0013411596     0.00128341        -4.29%      5.34%
         325         330         0.011437136     0.00959793      0.010250271     0.00850745      0.012931255      0.0109657       -10.38%     13.06%
         330         335      -0.00048435301     0.00276422   -0.00069010323     0.00308878   -0.00031848556     0.00250282        42.48%    -34.25%
         335         340        0.0020663474    0.000778200     0.0018301971    0.000683743     0.0023704838    0.000900495       -11.43%     14.72%
         340         345       -0.0019532094     0.00308670    -0.0021591071     0.00345641    -0.0017892691     0.00279800        10.54%     -8.39%
         345         350       0.00015862689    0.000897444    0.00014843222    0.000839705    0.00017127286    0.000969075        -6.43%      7.97%
         350         355      -0.00081552534     0.00207219   -0.00089830468     0.00232899   -0.00075092558     0.00187620        10.15%     -7.92%
         355         360       0.00099606770    0.000546267    0.00091915156    0.000490777     0.0011041320    0.000627441        -7.72%     10.85%
         360         365        0.0015969519    0.000305344     0.0014339829    0.000265697     0.0018036596    0.000356609       -10.21%     12.94%
         365         370        0.0013890509    0.000459961     0.0012288646    0.000398650     0.0015987533    0.000542637       -11.53%     15.10%
         370         375       0.00057836310    0.000621517    0.00050917785    0.000538302    0.00067130718    0.000733435       -11.96%     16.07%
         375         380       0.00020701316    0.000714540    0.00013288133    0.000884950    0.00025753418    0.000590912       -35.81%     24.40%
         380         385        0.0013756428    0.000878030     0.0012016479    0.000769418     0.0015997143     0.00101572       -12.65%     16.29%
         385         390       0.00065345619    0.000179146    0.00063222792    0.000169330    0.00067978879    0.000191683        -3.25%      4.03%
         390         395       0.00043330165    0.000628357    0.00040197978    0.000543241    0.00049589693    0.000735062        -7.23%     14.45%
