#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           3.6488506      0.0669997        2.8524539      0.0470605        4.3011741      0.0867595       -21.83%     17.88%
           5          10           6.1208588      0.0873102        4.9525200      0.0776356        7.5938348       0.125769       -19.09%     24.06%
          10          15           1.8078438      0.0386245        1.4736279      0.0269937        2.2683981      0.0585875       -18.49%     25.48%
          15          20          0.62815466      0.0178248       0.51475867      0.0128155       0.78425921      0.0261012       -18.05%     24.85%
          20          25          0.28939299      0.0118739       0.23838963     0.00868401       0.35913243      0.0169918       -17.62%     24.10%
          25          30          0.21138775      0.0262540       0.17291021      0.0194847       0.26469950      0.0366087       -18.20%     25.22%
          30          35          0.15136401      0.0274218       0.12676325      0.0203668       0.18407957      0.0381893       -16.25%     21.61%
          35          40          0.17667359      0.0134141       0.14826883      0.0101585       0.21420228      0.0182953       -16.08%     21.24%
          40          45          0.23716769      0.0167721       0.19984954      0.0126016       0.28597300      0.0230942       -15.73%     20.58%
          45          50          0.24831095      0.0478632       0.21786461      0.0358122       0.28333875      0.0660544       -12.26%     14.11%
          50          55          0.24958359      0.0441054       0.20703916      0.0313504       0.30634039      0.0639067       -17.05%     22.74%
          55          60          0.14279051      0.0126557       0.12301644     0.00925845       0.16663816      0.0172276       -13.85%     16.70%
          60          65          0.13450303      0.0186782       0.11024963      0.0135772       0.16705430      0.0263725       -18.03%     24.20%
          65          70         0.073599822      0.0145385      0.064957836      0.0111256      0.083631676      0.0195428       -11.74%     13.63%
          70          75         0.075383984     0.00746409      0.063836029     0.00554581      0.089688441      0.0103205       -15.32%     18.98%
          75          80         0.080849774      0.0124572      0.066381578     0.00906963       0.10003118      0.0175633       -17.90%     23.72%
          80          85         0.038772420      0.0132973      0.034644643     0.00968887      0.043102123      0.0179034       -10.65%     11.17%
          85          90         0.030708804     0.00813569      0.027176578     0.00598240      0.034406921      0.0113503       -11.50%     12.04%
          90          95         0.031899970     0.00589461      0.026848233     0.00433018      0.038259507     0.00823216       -15.84%     19.94%
          95         100         0.047887258     0.00848412      0.038806073     0.00625074      0.060064834      0.0118005       -18.96%     25.43%
         100         105         0.012265171     0.00836793      0.011720080     0.00613882      0.012387621     0.00797199        -4.44%       1.0%
         105         110         0.021583537     0.00310083      0.018560185     0.00229606      0.025091250     0.00435299       -14.01%     16.25%
         110         115         0.014926851     0.00371359      0.013007764     0.00274179      0.017035738     0.00516994       -12.86%     14.13%
         115         120         0.018654868     0.00470332      0.014849586     0.00343854      0.023902988     0.00658992       -20.40%     28.13%
         120         125       -0.0021409030      0.0103870    -0.0055377737      0.0146838   -0.00022047213     0.00753043       158.67%    -89.70%
