#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           26.649185      0.0463773        22.901279      0.0381877        30.264850      0.0549775       -14.06%     13.57%
          10          20           1.2044925      0.0175087        1.0841518      0.0159222        1.3122933      0.0189733        -9.99%      8.95%
          20          30          0.43082070     0.00644076       0.38985022     0.00589590       0.46732278     0.00693298        -9.51%      8.47%
          30          40          0.17162336     0.00315483       0.15676976     0.00289926       0.18464768     0.00338165        -8.65%      7.59%
          40          50         0.059013249     0.00170355      0.054971691     0.00158890      0.062406707     0.00180178        -6.85%      5.75%
          50          60         0.023767799     0.00100732      0.022673556    0.000977485      0.024625302     0.00103213        -4.60%      3.61%
          60          70         0.016199233     0.00149946      0.015515390     0.00143498      0.016720189     0.00154911        -4.22%      3.22%
          70          80        0.0082285192    0.000527478     0.0078971126    0.000504046     0.0084769962    0.000545541        -4.03%      3.02%
          80          90        0.0063719143    0.000870854     0.0061900937    0.000847983     0.0064958209    0.000885778        -2.85%      1.94%
          90         100        0.0031409989    0.000374869     0.0030590481    0.000367630     0.0031950744    0.000379042        -2.61%      1.72%
         100         110        0.0023016952    0.000375581     0.0022484376    0.000362301     0.0023351651    0.000385065        -2.31%      1.45%
         110         120        0.0017596777    0.000203034     0.0017345032    0.000200566     0.0017718760    0.000204266        -1.43%      0.69%
         120         130        0.0014038159    0.000182864     0.0013867420    0.000179580     0.0014108183    0.000184932        -1.22%      0.50%
         130         140       0.00073472295    0.000128077    0.00073113180    0.000128012    0.00073472295    0.000128077        -0.49%   0.00000%
         140         150       0.00047909434    5.73992e-05    0.00047598008    5.70504e-05    0.00047950839    5.74418e-05        -0.65%      0.09%
         150         160       0.00036857114    5.08852e-05    0.00036523212    5.07466e-05    0.00037010267    5.07305e-05        -0.91%      0.42%
         160         170        0.0016058690    0.000975308     0.0015782822    0.000954331     0.0016203736    0.000987780        -1.72%      0.90%
         170         180       0.00039180801    0.000119649    0.00037924766    0.000114159    0.00040390857    0.000125315        -3.21%      3.09%
         180         190       0.00024823138    9.25322e-05    0.00024637579    9.16264e-05    0.00024862552    9.29048e-05        -0.75%      0.16%
         190         200       0.00019621974    6.52144e-05    0.00019391021    6.50761e-05    0.00019761443    6.49459e-05        -1.18%      0.71%
         200         210       3.1593926e-05    1.23344e-05    3.1271724e-05    1.22532e-05    3.1734991e-05    1.23383e-05        -1.02%      0.45%
         210         220       0.00014804986    6.07274e-05    0.00014015250    5.68044e-05    0.00015669874    6.51353e-05        -5.33%      5.84%
         220         230       5.3379799e-05    1.23459e-05    5.2344897e-05    1.19908e-05    5.4239718e-05    1.26978e-05        -1.94%      1.61%
         230         240       9.3579767e-05    2.43377e-05    9.0833561e-05    2.35127e-05    9.6162713e-05    2.51499e-05        -2.93%      2.76%
         240         250       9.0118931e-06    4.14362e-06    8.1755533e-06    3.67180e-06    1.0006698e-05    4.71506e-06        -9.28%     11.04%
         250         260       3.6781713e-05    8.34582e-06    3.6072487e-05    8.17660e-06    3.7356082e-05    8.48696e-06        -1.93%      1.56%
         260         270       2.6144485e-05    5.49088e-06    2.5208250e-05    5.34731e-06    2.7095516e-05    5.63224e-06        -3.58%      3.64%
         270         280       5.1343681e-05    2.46338e-05    4.5596932e-05    2.08974e-05    5.8682346e-05    2.95317e-05       -11.19%     14.29%
         280         290       3.5894502e-05    1.26529e-05    3.4885037e-05    1.25184e-05    3.6869893e-05    1.27336e-05        -2.81%      2.72%
         290         300       1.0580377e-05    2.94651e-06    9.9739055e-06    2.77861e-06    1.1255067e-05    3.13158e-06        -5.73%      6.38%
         300         310       7.1097094e-06    1.44989e-06    6.7800298e-06    1.38052e-06    7.4593341e-06    1.52386e-06        -4.64%      4.92%
         310         320       9.4556812e-06    2.89232e-06    9.0050971e-06    2.83231e-06    9.9549433e-06    2.94953e-06        -4.77%      5.28%
