#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           21.561536      0.0804590        17.904377      0.0639829        25.217387      0.0977649       -16.96%     16.96%
           5          10           9.9378320      0.0391703        8.4901175      0.0329392        11.333560      0.0452563       -14.57%     14.04%
          10          15           4.9964363      0.0210707        4.3653771      0.0178543        5.5850485      0.0242240       -12.63%     11.78%
          15          20           3.6559395      0.0181632        3.2261894      0.0161915        4.0508937      0.0199796       -11.75%     10.80%
          20          25           3.1761303      0.0165562        2.8171893      0.0147887        3.5037199      0.0181855       -11.30%     10.31%
          25          30           2.9637401      0.0282554        2.6380261      0.0251474        3.2595848      0.0310675       -10.99%      9.98%
          30          35           2.7672839      0.0304483        2.4684981      0.0272305        3.0380186      0.0333379       -10.80%      9.78%
          35          40           2.6113591      0.0233144        2.3328031      0.0208485        2.8632258      0.0255473       -10.67%      9.65%
          40          45           2.0624685      0.0209765        1.8513545      0.0186795        2.2522001      0.0230689       -10.24%      9.20%
          45          50          0.92946675     0.00990754       0.85140993     0.00912196       0.99736065      0.0106016        -8.40%      7.30%
          50          55          0.59086666     0.00898445       0.54796780     0.00838281       0.62717846     0.00948619        -7.26%      6.15%
          55          60          0.41433718     0.00533847       0.38667831     0.00502466       0.43739487     0.00560031        -6.68%      5.56%
          60          65          0.29958650     0.00458886       0.28085330     0.00427119       0.31499673     0.00486048        -6.25%      5.14%
          65          70          0.22922455     0.00840102       0.21555076     0.00784938       0.24035357     0.00885536        -5.97%      4.86%
          70          75          0.17451319     0.00608868       0.16479785     0.00570163       0.18233368     0.00640634        -5.57%      4.48%
          75          80          0.14447126     0.00428651       0.13650842     0.00402704       0.15086073     0.00449997        -5.51%      4.42%
          80          85          0.11559473     0.00410318       0.10966230     0.00389639       0.12029032     0.00426708        -5.13%      4.06%
          85          90         0.083808225     0.00412912      0.079978412     0.00393221      0.086778902     0.00428319        -4.57%      3.54%
          90          95         0.066883655     0.00246433      0.063781070     0.00233684      0.069287207     0.00256688        -4.64%      3.59%
          95         100         0.055132254     0.00234166      0.052698257     0.00224094      0.056992724     0.00242053        -4.41%      3.37%
         100         105         0.055609176     0.00276831      0.053434676     0.00266771      0.057241407     0.00284754        -3.91%      2.94%
         105         110         0.034182535     0.00273672      0.032810616     0.00264021      0.035208386     0.00281282        -4.01%      3.00%
         110         115         0.028468569     0.00122913      0.027464163     0.00118891      0.029205727     0.00125864        -3.53%      2.59%
         115         120         0.027311571    0.000949497      0.026334937    0.000928762      0.028024504    0.000962717        -3.58%      2.61%
         120         125         0.025506893     0.00124972      0.024622631     0.00122422      0.026139591     0.00126603        -3.47%      2.48%
         125         130         0.019828210    0.000729126      0.019262016    0.000712091      0.020219544    0.000740304        -2.86%      1.97%
         130         135         0.015930690    0.000702667      0.015533938    0.000685565      0.016187812    0.000715991        -2.49%      1.61%
         135         140         0.015847141    0.000791899      0.015380187    0.000775208      0.016164253    0.000803548        -2.95%      2.00%
         140         145         0.012994589    0.000865935      0.012763846    0.000841750      0.013121849    0.000882359        -1.78%      0.98%
         145         150        0.0099337970    0.000655840     0.0097184202    0.000646607      0.010066821    0.000660234        -2.17%      1.34%
         150         155        0.0088869949    0.000618265     0.0087365769    0.000605030     0.0089686797    0.000626526        -1.69%      0.92%
         155         160        0.0083616458    0.000524946     0.0082557167    0.000521879     0.0084052499    0.000524725        -1.27%      0.52%
         160         165         0.014440801     0.00454985      0.014117137     0.00439422      0.014641290     0.00466026        -2.24%      1.39%
         165         170       -0.0012432287     0.00439471    -0.0013983602     0.00451671    -0.0010578055     0.00422595        12.48%    -14.91%
         170         175        0.0045810204    0.000426676     0.0045043043    0.000431648     0.0046207015    0.000420627        -1.67%      0.87%
         175         180        0.0051605564    0.000255380     0.0051177739    0.000254751     0.0051686935    0.000254609        -0.83%      0.16%
         180         185        0.0041938511    0.000333454     0.0041420523    0.000333279     0.0042149158    0.000332018        -1.24%      0.50%
         185         190        0.0010311727     0.00130276    0.00096170994     0.00132617     0.0010873795     0.00127467        -6.74%      5.45%
         190         195        0.0021760121    0.000433932     0.0021523854    0.000437263     0.0021837097    0.000428716        -1.09%      0.35%
         195         200        0.0028072963    0.000414193     0.0027738667    0.000407489     0.0028268113    0.000419917        -1.19%      0.70%
         200         205        0.0032018399    0.000240480     0.0031794452    0.000239140     0.0032060453    0.000240462        -0.70%      0.13%
         205         210        0.0022268449    0.000294781     0.0022019794    0.000303518     0.0022356896    0.000285865        -1.12%      0.40%
         210         215        0.0024733005    0.000306240     0.0024448548    0.000304310     0.0024898909    0.000306290        -1.15%      0.67%
         215         220        0.0021007391    0.000195753     0.0020707310    0.000194736     0.0021219100    0.000195741        -1.43%      1.01%
         220         225       0.00095147071    0.000323690    0.00093046110    0.000320956    0.00096986737    0.000324627        -2.21%      1.93%
         225         230        0.0016437268    0.000240748     0.0016376617    0.000238668     0.0016437268    0.000240748        -0.37%   0.00000%
         230         235        0.0023036899    0.000400418     0.0022448478    0.000387242     0.0023578187    0.000413881        -2.55%      2.35%
         235         240        0.0014025357    0.000189000     0.0013762025    0.000181255     0.0014241144    0.000197131        -1.88%      1.54%
         240         245        0.0016504268    0.000112770     0.0016242380    0.000110678     0.0016700842    0.000114528        -1.59%      1.19%
         245         250        0.0012126335    0.000170445     0.0011943572    0.000166673     0.0012259385    0.000173720        -1.51%      1.10%
         250         255        0.0010078334    0.000135261    0.00099017758    0.000134357     0.0010219342    0.000135472        -1.75%      1.40%
         255         260       0.00053783705    0.000186849    0.00053439925    0.000193196    0.00053783705    0.000186849        -0.64%   0.00000%
         260         265        0.0010184975    0.000101875    0.00099652875    9.93045e-05     0.0010374282    0.000104342        -2.16%      1.86%
         265         270       0.00088680902    0.000109911    0.00085856626    0.000105638    0.00091450579    0.000114432        -3.18%      3.12%
         270         275       0.00046006011    0.000234233    0.00043240769    0.000265085    0.00047740761    0.000209403        -6.01%      3.77%
         275         280       0.00096784975    0.000107490    0.00094286047    0.000103457    0.00099156387    0.000111618        -2.58%      2.45%
         280         285       0.00058478881    0.000117998    0.00057310881    0.000115078    0.00059445756    0.000120693        -2.00%      1.65%
         285         290       0.00063553322    9.42929e-05    0.00061608148    9.12842e-05    0.00065408660    9.72428e-05        -3.06%      2.92%
         290         295       0.00057693751    9.50035e-05    0.00055721419    9.09386e-05    0.00059655470    9.92074e-05        -3.42%      3.40%
         295         300       0.00070281429    0.000120280    0.00067931805    0.000116506    0.00072591268    0.000123863        -3.34%      3.29%
         300         305       0.00028831857    0.000119338    0.00028158355    0.000115479    0.00029438766    0.000123008        -2.34%      2.10%
         305         310       0.00072786838    9.19222e-05    0.00070726294    8.93523e-05    0.00074704091    9.43011e-05        -2.83%      2.63%
         310         315       0.00040700641    7.22395e-05    0.00039425385    6.94654e-05    0.00041949955    7.51075e-05        -3.13%      3.07%
         315         320       0.00035025001    5.46170e-05    0.00034089227    5.19435e-05    0.00035876629    5.74871e-05        -2.67%      2.43%
         320         325       7.6187217e-05    0.000174381    7.4994232e-05    0.000181615    7.6971081e-05    0.000167118        -1.57%      1.03%
         325         330       0.00054081981    0.000107178    0.00050578170    0.000108867    0.00057844107    0.000105704        -6.48%      6.96%
         330         335       0.00043049220    7.03968e-05    0.00041715615    6.67103e-05    0.00044368696    7.44313e-05        -3.10%      3.07%
         335         340       0.00027443997    4.91459e-05    0.00026852766    4.66280e-05    0.00027941429    5.19271e-05        -2.15%      1.81%
         340         345       0.00031181386    8.25795e-05    0.00030080287    7.90304e-05    0.00032275038    8.62629e-05        -3.53%      3.51%
