#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           12.432484      0.0762858        10.050032      0.0603147        14.870504      0.0931242       -19.16%     19.61%
           5          10           8.7837813      0.0329454        7.3232100      0.0272839        10.231428      0.0386439       -16.63%     16.48%
          10          15           4.9627789      0.0191939        4.2966374      0.0167930        5.5917419      0.0214822       -13.42%     12.67%
          15          20           4.5793736      0.0225671        4.0201962      0.0200621        5.0959759      0.0248778       -12.21%     11.28%
          20          25           4.6629965      0.0449857        4.1111177      0.0401403        5.1694897      0.0493902       -11.84%     10.86%
          25          30           4.7753587      0.0492865        4.2141939      0.0442146        5.2894586      0.0538822       -11.75%     10.77%
          30          35           4.8836382      0.0294924        4.3218975      0.0268264        5.3967108      0.0319021       -11.50%     10.51%
          35          40           4.4166200      0.0695229        3.9178370      0.0617073        4.8709116      0.0766528       -11.29%     10.29%
          40          45           2.6985002      0.0764398        2.4162160      0.0679360        2.9526386      0.0841723       -10.46%      9.42%
          45          50           1.2382177      0.0367888        1.1289675      0.0329509        1.3340349      0.0402321        -8.82%      7.74%
          50          55          0.70432953      0.0169863       0.65187660      0.0158224       0.74906389      0.0179869        -7.45%      6.35%
          55          60          0.53482996     0.00995438       0.49803232     0.00960113       0.56565423      0.0102232        -6.88%      5.76%
          60          65          0.45932527     0.00634733       0.42996387     0.00596052       0.48355576     0.00666640        -6.39%      5.28%
          65          70          0.40674176     0.00882001       0.38132808     0.00836578       0.42759993     0.00918760        -6.25%      5.13%
          70          75          0.39450515      0.0340353       0.37026031      0.0313115       0.41432571      0.0363259        -6.15%      5.02%
          75          80          0.25759136      0.0347663       0.24287256      0.0319971       0.26953490      0.0370930        -5.71%      4.64%
          80          85          0.23794927      0.0114280       0.22444276      0.0107544       0.24884988      0.0119749        -5.68%      4.58%
          85          90          0.20543237     0.00840606       0.19357120     0.00800457       0.21502156     0.00871559        -5.77%      4.67%
          90          95          0.12382425     0.00809749       0.11709279     0.00772139       0.12921463     0.00838280        -5.44%      4.35%
          95         100         0.086667914     0.00322312      0.082462324     0.00307825      0.089963365     0.00333804        -4.85%      3.80%
         100         105         0.058448665     0.00349437      0.056241877     0.00333576      0.060094823     0.00361835        -3.78%      2.82%
         105         110         0.045345975     0.00175362      0.043522336     0.00169423      0.046722216     0.00179759        -4.02%      3.03%
         110         115         0.031078966     0.00142238      0.029813066     0.00138271      0.032031981     0.00144999        -4.07%      3.07%
         115         120         0.026704642     0.00238245      0.025747391     0.00231073      0.027406106     0.00243211        -3.58%      2.63%
         120         125         0.021816066     0.00250285      0.021104125     0.00241617      0.022325893     0.00256507        -3.26%      2.34%
         125         130         0.016780743     0.00240220      0.016284397     0.00232334      0.017124816     0.00245880        -2.96%      2.05%
         130         135         0.014320727     0.00118519      0.013968665     0.00117258      0.014546815     0.00119018        -2.46%      1.58%
         135         140         0.015253887    0.000946083      0.014820452    0.000927859      0.015551089    0.000959508        -2.84%      1.95%
         140         145         0.013133147     0.00216975      0.012964135     0.00211884      0.013205420     0.00220177        -1.29%      0.55%
         145         150        0.0081737801    0.000478596     0.0080851565    0.000471728     0.0082039999    0.000482678        -1.08%      0.37%
         150         155        0.0070435846    0.000473626     0.0069057606    0.000466156     0.0071235872    0.000477591        -1.96%      1.14%
         155         160        0.0072493775    0.000677660     0.0071918902    0.000670424     0.0072581294    0.000680410        -0.79%      0.12%
