#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           21.541301      0.0506918        20.535963      0.0420924        22.291315      0.0544509        -4.67%      3.48%
           5          10           11.660644      0.0704121        11.000555      0.0614578        12.038611      0.0792059        -5.66%      3.24%
          10          15           6.1835483      0.0903529        5.8486661      0.0807759        6.4054907      0.0990269        -5.42%      3.59%
          15          20           4.4823480      0.0904196        4.2725665      0.0804365        4.6184713      0.0995078        -4.68%      3.04%
          20          25           3.8347863       0.101652        3.6588197      0.0911816        3.9520357       0.111087        -4.59%      3.06%
          25          30           3.6123481       0.102849        3.4640390      0.0922930        3.7065787       0.112319        -4.11%      2.61%
          30          35           3.5219518      0.0880898        3.3788911      0.0788807        3.6150127      0.0963615        -4.06%      2.64%
          35          40           3.2214102      0.0869696        3.0946792      0.0783092        3.3029470      0.0947233        -3.93%      2.53%
          40          45           2.6556047      0.0594594        2.5657745      0.0538075        2.7100584      0.0645525        -3.38%      2.05%
          45          50           1.6805260      0.0328932        1.6025889      0.0300921        1.7519868      0.0367253        -4.64%      4.25%
          50          55           1.0326619      0.0209793       0.99229779      0.0197975        1.0795061      0.0234146        -3.91%      4.54%
          55          60          0.73135212      0.0165660       0.70449226      0.0150202       0.76467043      0.0184860        -3.67%      4.56%
          60          65          0.59577339      0.0181319       0.57110816      0.0164310       0.62636935      0.0202435        -4.14%      5.14%
          65          70          0.39838416      0.0174997       0.38532424      0.0158558       0.41458433      0.0195402        -3.28%      4.07%
          70          75          0.33230858      0.0136308       0.31999396      0.0123527       0.34758425      0.0152175        -3.71%      4.60%
          75          80          0.25722625      0.0184039       0.24811069      0.0166694       0.26853365      0.0205562        -3.54%      4.40%
          80          85          0.25401195      0.0235166       0.24192669      0.0212957       0.26900311      0.0262719        -4.76%      5.90%
          85          90          0.14954356      0.0180333       0.14495097      0.0163311       0.15524042      0.0201451        -3.07%      3.81%
          90          95          0.15592509      0.0144508       0.14872088      0.0130874       0.16486155      0.0161424        -4.62%      5.73%
          95         100          0.10212706      0.0148372      0.098841999      0.0134367       0.10620202      0.0165750        -3.22%      3.99%
         100         105         0.094407743     0.00854110      0.090582191     0.00773727      0.099153148     0.00953872        -4.05%      5.03%
         105         110         0.070994844      0.0126784      0.068282139      0.0115724      0.074339298      0.0139197        -3.82%      4.71%
         110         115         0.073223987      0.0119848      0.069806602      0.0108529      0.077463082      0.0133892        -4.67%      5.79%
         115         120         0.059858637     0.00449150      0.057133047     0.00413885      0.063217252     0.00501373        -4.55%      5.61%
