#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           3.1173569      0.0344368        2.9729429      0.0323631        3.2280767      0.0362173        -4.63%      3.55%
          10          20           3.8397932      0.0340375        3.6179931      0.0312701        4.0067523      0.0359043        -5.78%      4.35%
          20          30           2.0209587      0.0338768        1.8932405      0.0304293        2.0935388      0.0364097        -6.32%      3.59%
          30          40           1.4827114      0.0194527        1.3971551      0.0177276        1.5364410      0.0208598        -5.77%      3.62%
          40          50           1.6156093      0.0185746        1.5345919      0.0169760        1.6659139      0.0199887        -5.01%      3.11%
          50          60           2.5446455      0.0203903        2.4236064      0.0189426        2.6207148      0.0216582        -4.76%      2.99%
          60          70           3.7559229      0.0214319        3.5790915      0.0201139        3.8674870      0.0225461        -4.71%      2.97%
          70          80           4.0553179      0.0310072        3.8703414      0.0298296        4.1711162      0.0317865        -4.56%      2.86%
          80          90           3.0452596      0.0474561        2.9263335      0.0455984        3.1183087      0.0486332        -3.91%      2.40%
          90         100           2.4520478      0.0533037        2.3680975      0.0506594        2.5084872      0.0553150        -3.42%      2.30%
         100         110          0.47917142      0.0300520       0.46533991      0.0296369       0.48950094      0.0307451        -2.89%      2.16%
         110         120          0.32291609      0.0290204       0.31230630      0.0286038       0.33081421      0.0297504        -3.29%      2.45%
         120         130          0.33610792     0.00807498       0.32719823     0.00792916       0.34582590     0.00842211        -2.65%      2.89%
         130         140          0.27552516     0.00630573       0.26848390     0.00610187       0.28287139     0.00678348        -2.56%      2.67%
         140         150          0.21256301      0.0114823       0.20754353      0.0112715       0.21874335      0.0119419        -2.36%      2.91%
         150         160          0.19310514     0.00649610       0.18884689     0.00632537       0.19838727     0.00671081        -2.21%      2.74%
         160         170          0.19406043     0.00917790       0.18909994     0.00887830       0.20021367     0.00955544        -2.56%      3.17%
         170         180          0.15698510     0.00478433       0.15349677     0.00462769       0.16131219     0.00498333        -2.22%      2.76%
         180         190          0.14684034     0.00595612       0.14312033     0.00578824       0.15145483     0.00616620        -2.53%      3.14%
         190         200          0.14303487      0.0191642       0.13897422      0.0175651       0.14745927      0.0197715        -2.84%      3.09%
         200         210         0.075499004      0.0184125      0.072450496      0.0194064      0.079369483      0.0173264        -4.04%      5.13%
         210         220          0.10624984      0.0121455       0.10340317      0.0118116       0.10978098      0.0125607        -2.68%      3.32%
         220         230         0.093058437     0.00592302      0.090441116     0.00574613      0.096305093     0.00614355        -2.81%      3.49%
         230         240         0.062653410      0.0124910      0.060907273      0.0121406      0.064819403      0.0129260        -2.79%      3.46%
         240         250         0.051354585     0.00702223      0.049864371     0.00681503      0.053203120     0.00727964        -2.90%      3.60%
         250         260         0.052871801     0.00271341      0.051440312     0.00262552      0.054647492     0.00282391        -2.71%      3.36%
         260         270         0.051233048     0.00167906      0.050037364     0.00161791      0.052716235     0.00175701        -2.33%      2.89%
         270         280         0.042437845     0.00179793      0.041299417     0.00172802      0.043850008     0.00188658        -2.68%      3.33%
         280         290         0.042407175     0.00191977      0.041146694     0.00184653      0.043970739     0.00201215        -2.97%      3.69%
         290         300         0.034175341     0.00240158      0.033158900     0.00232154      0.035436185     0.00250177        -2.97%      3.69%
         300         310         0.033664064     0.00199379      0.032676142     0.00192427      0.034889532     0.00208115        -2.93%      3.64%
         310         320         0.028616359     0.00216612      0.027565860     0.00207820      0.029983466     0.00228648        -3.67%      4.78%
         320         330         0.023400901     0.00149580      0.022805293     0.00142850      0.024185619     0.00158894        -2.55%      3.35%
         330         340         0.027223316     0.00167509      0.026264543     0.00159650      0.028504342     0.00178298        -3.52%      4.71%
         340         350         0.016093174     0.00176420      0.015659206     0.00171447      0.016717093     0.00183581        -2.70%      3.88%
         350         360         0.019287996     0.00150712      0.018562183     0.00144378      0.020262974     0.00159411        -3.76%      5.05%
         360         370         0.013101180     0.00220680      0.012909526     0.00202153      0.013355938     0.00243188        -1.46%      1.94%
