#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           97.007353        2.68855        96.234314        2.34342        97.277984        3.30918        -0.80%      0.28%
        0.15         0.3           97.369122        2.81158        96.427166        2.45388        98.368405        3.43112        -0.97%      1.03%
         0.3        0.45           99.428671        2.77002        97.994153        2.63039        101.42179        2.95331        -1.44%      2.00%
        0.45         0.6           103.82404        2.78350        101.67134        2.34193        106.61256        3.40647        -2.07%      2.69%
         0.6        0.75           101.69737        2.67918        99.998599        2.31480        103.82490        3.29153        -1.67%      2.09%
        0.75         0.9           99.380516        2.94921        98.119314        2.56008        100.76047        3.56981        -1.27%      1.39%
         0.9        1.05           93.022120        2.89842        92.262512        2.77222        94.152063        3.06267        -0.82%      1.21%
        1.05         1.2           95.154741        2.80656        93.684458        2.46469        95.905375        3.41121        -1.55%      0.79%
         1.2        1.35           92.435435        2.67364        91.719574        3.01165        93.507470        2.85733        -0.77%      1.16%
        1.35         1.5           93.431909        2.55803        91.963256        2.24380        94.732586        3.16562        -1.57%      1.39%
         1.5        1.65           93.979920        2.56044        92.978671        2.13095        95.112511        3.16831        -1.07%      1.21%
        1.65         1.8           88.700832        2.53893        87.491604        2.22294        89.204592        2.86108        -1.36%      0.57%
         1.8        1.95           88.547116        2.51584        86.708435        2.20258        90.023277        3.09094        -2.08%      1.67%
        1.95         2.1           88.213922        2.47774        86.801156        2.18970        89.492661        3.06396        -1.60%      1.45%
         2.1        2.25           80.572714        2.38109        79.465482        2.08939        81.142732        2.93865        -1.37%      0.71%
        2.25         2.4           80.852408        2.45984        79.902438        2.17000        81.124408        3.02669        -1.17%      0.34%
         2.4        2.55           79.260853        2.65264        78.177206        2.33014        79.796561        3.25499        -1.37%      0.68%
        2.55         2.7           72.424914        2.45481        71.699525        2.16300        72.816874        2.31786        -1.00%      0.54%
         2.7        2.85           72.846179        2.31987        71.339480        2.07148        73.758037        2.57811        -2.07%      1.25%
        2.85           3           65.152297        2.26903        64.417695        1.99956        65.630935        2.12979        -1.13%      0.73%
           3        3.15           74.127514        3.09004        71.754319        2.80346        76.715258        3.83234        -3.20%      3.49%
        3.15         3.3           62.310768        2.06612        60.882509        1.81120        63.181072        2.32846        -2.29%      1.40%
         3.3        3.45           55.090960        2.01096        53.878124        1.77777        56.005680        1.89265        -2.20%      1.66%
        3.45         3.6           49.262738        1.81486        48.539974        1.60415        49.757674        1.69814        -1.47%      1.00%
         3.6        3.75           42.164722        1.90144        41.554159        2.35434        42.725044        1.77141        -1.45%      1.33%
        3.75         3.9           45.693613        1.64531        44.118692        1.43932        47.184870        2.02803        -3.45%      3.26%
         3.9        4.05           37.856643        1.54594        36.497820        1.34754        38.858588        1.75733        -3.59%      2.65%
