#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           17.634410       0.178136        16.938744       0.221870        18.317345       0.147056        -3.94%      3.87%
          10          20           8.0054176      0.0386942        7.5992457      0.0360524        8.3852119      0.0446089        -5.07%      4.74%
          20          30           3.4450670      0.0193880        3.2353247      0.0168539        3.6730622      0.0228816        -6.09%      6.62%
          30          40           1.8593090      0.0138433        1.7411362      0.0118079        1.9899690      0.0166827        -6.36%      7.03%
          40          50           1.1381940      0.0116059        1.0622834     0.00976347        1.2236287      0.0141768        -6.67%      7.51%
          50          60          0.74622230     0.00975517       0.69416633     0.00814663       0.80572397      0.0119976        -6.98%      7.97%
          60          70          0.50314512     0.00753965       0.46938581     0.00629869       0.54121878     0.00927284        -6.71%      7.57%
          70          80          0.36126981     0.00586936       0.33610999     0.00490903       0.39001164     0.00721363        -6.96%      7.96%
          80          90          0.26384957     0.00661196       0.24582331     0.00548238       0.28507008     0.00828239        -6.83%      8.04%
          90         100          0.20509937     0.00582628       0.18970431     0.00481479       0.22406448     0.00728640        -7.51%      9.25%
         100         110          0.14759380     0.00429023       0.13737742     0.00355198       0.16019223     0.00545651        -6.92%      8.54%
         110         120          0.11514784     0.00399023       0.10655062     0.00318715       0.12602071     0.00515177        -7.47%      9.44%
         120         130         0.090331231     0.00413755      0.083495445     0.00328557      0.098897437     0.00536106        -7.57%      9.48%
         130         140         0.060644219     0.00554598      0.057589211     0.00455780      0.063701095     0.00740297        -5.04%      5.04%
         140         150         0.055894789     0.00540308      0.051610221     0.00413410      0.061213892     0.00725633        -7.67%      9.52%
         150         160         0.049016583     0.00347211      0.044853853     0.00277491      0.054228555     0.00445614        -8.49%     10.63%
         160         170         0.044639852     0.00271521      0.040693255     0.00222632      0.049402829     0.00339083        -8.84%     10.67%
         170         180         0.028693041     0.00202041      0.026570181     0.00160121      0.031304386     0.00262084        -7.40%      9.10%
         180         190         0.023703235     0.00168449      0.021963423     0.00130644      0.025781477     0.00224956        -7.34%      8.77%
         190         200         0.024713428     0.00139498      0.022079280     0.00108796      0.028153510     0.00185609       -10.66%     13.92%
         200         210         0.015519463     0.00155935      0.014648165     0.00122289      0.016422582     0.00194207        -5.61%      5.82%
         210         220         0.010356464     0.00401639     0.0098532822     0.00313536      0.010880954     0.00525949        -4.86%      5.06%
         220         230         0.018897066     0.00376587      0.016465114     0.00294669      0.022070785     0.00491698       -12.87%     16.79%
         230         240        0.0091326871    0.000947720     0.0087039692    0.000729747     0.0094227573     0.00128551        -4.69%      3.18%
         240         250         0.010493742     0.00101417     0.0093341816    0.000767983      0.012001489     0.00139199       -11.05%     14.37%
         250         260        0.0080319264     0.00114367     0.0073612995    0.000881673     0.0088015149     0.00153077        -8.35%      9.58%
         260         270        0.0083596494     0.00163726     0.0074700183     0.00126019     0.0094594569     0.00218653       -10.64%     13.16%
         270         280        0.0068354143    0.000915115     0.0059263546    0.000709195     0.0080532469     0.00121329       -13.30%     17.82%
         280         290        0.0039112459     0.00141823     0.0037764280     0.00177383     0.0039658318     0.00156529        -3.45%      1.40%
         290         300        0.0046465387     0.00121772     0.0041583421    0.000909989     0.0052331249     0.00168201       -10.51%     12.62%
         300         310        0.0033865028    0.000644162     0.0031340171    0.000528167     0.0036813207    0.000807067        -7.46%      8.71%
         310         320        0.0037831771    0.000489008     0.0033330659    0.000364345     0.0043613360    0.000697474       -11.90%     15.28%
         320         330        0.0032900431    0.000468767     0.0028462021    0.000356011     0.0039107172    0.000639622       -13.49%     18.87%
         330         340        0.0034315011    0.000495732     0.0029844274    0.000376713     0.0039990430    0.000674860       -13.03%     16.54%
         340         350        0.0042225377    0.000834448     0.0035893353    0.000640823     0.0050626400     0.00111578       -15.00%     19.90%
         350         360        0.0017888915    0.000827320     0.0016207391    0.000635439     0.0019770095     0.00110380        -9.40%     10.52%
         360         370        0.0013276750    0.000284493     0.0012763464    0.000219963     0.0013762996    0.000307749        -3.87%      3.66%
         370         380        0.0024571282    0.000456768     0.0021538577    0.000344567     0.0028070836    0.000632311       -12.34%     14.24%
         380         390       0.00086538307    0.000264270    0.00078486285    0.000356776    0.00089336264    0.000221146        -9.30%      3.23%
         390         400        0.0017402857    0.000429422     0.0014793101    0.000318263     0.0020902695    0.000599536       -15.00%     20.11%
         400         410        0.0016189982    0.000413987     0.0013586491    0.000326809     0.0019650907    0.000529917       -16.08%     21.38%
         410         420       0.00080603627    0.000521329    0.00069041619    0.000653514    0.00086394051    0.000423363       -14.34%      7.18%
         420         430       0.00078394706    0.000378876    0.00070395152    0.000584151    0.00081874360    0.000247253       -10.20%      4.44%
         430         440       0.00041663295    0.000166098    0.00039361352    0.000150431    0.00044605947    0.000185249        -5.53%      7.06%
         440         450       0.00052113941    0.000205444    0.00047406249    0.000168884    0.00057900270    0.000255987        -9.03%     11.10%
         450         460       0.00047162876    0.000130407    0.00042633307    9.28550e-05    0.00051240570    0.000190673        -9.60%      8.65%
         460         470       0.00046882916    0.000104485    0.00043163146    7.37915e-05    0.00050553525    0.000156299        -7.93%      7.83%
         470         480       0.00023335966    0.000195531    0.00011088022    0.000293722    0.00029119902    0.000139878       -52.49%     24.79%
         480         490       0.00067450923    0.000185222    0.00056033536    0.000136949    0.00083296327    0.000258942       -16.93%     23.49%
         490         500      -8.1839863e-05    0.000311428   -0.00027908274    0.000500338    4.5816731e-05    0.000190986       241.01%   -155.98%
