#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           12.701329       0.163183        12.405731       0.199606        13.007727       0.137105        -2.33%      2.41%
          10          20           9.5772630       0.112839        9.2927429       0.102064        9.7676085       0.123037        -2.97%      1.99%
          20          30           4.9257036      0.0656883        4.7719643      0.0564189        5.0911683      0.0786480        -3.12%      3.36%
          30          40           2.4724672      0.0348247        2.3677718      0.0297109        2.5861235      0.0420149        -4.23%      4.60%
          40          50           1.4572147      0.0280432        1.4003576      0.0238688        1.5177820      0.0339321        -3.90%      4.16%
          50          60           1.0257170      0.0254759       0.98134308      0.0216866        1.0749174      0.0308131        -4.33%      4.80%
          60          70          0.74479934      0.0221591       0.71301705      0.0190324       0.77960376      0.0265337        -4.27%      4.67%
          70          80          0.52833848      0.0184363       0.50335107      0.0158362       0.55634682      0.0220775        -4.73%      5.30%
          80          90          0.37607039      0.0123383       0.35829885      0.0104324       0.39495627      0.0150271        -4.73%      5.02%
          90         100          0.26956142     0.00753562       0.25419683     0.00641870       0.28620393     0.00909859        -5.70%      6.17%
         100         110          0.19406066     0.00566207       0.18192593     0.00470112       0.20851831     0.00724448        -6.25%      7.45%
         110         120          0.14039940     0.00452323       0.13117252     0.00370585       0.15185157     0.00568701        -6.57%      8.16%
         120         130          0.10443403     0.00382633      0.097369205     0.00309213       0.11323157     0.00488802        -6.76%      8.42%
         130         140         0.077860150     0.00338824      0.072534751     0.00272532      0.084421509     0.00433415        -6.84%      8.43%
         140         150         0.055334043     0.00302520      0.051906209     0.00242174      0.059236253     0.00389113        -6.19%      7.05%
         150         160         0.051067786     0.00359010      0.047606723     0.00288135      0.055189367     0.00460941        -6.78%      8.07%
         160         170         0.035227943     0.00325037      0.032584288     0.00265688      0.038537126     0.00405688        -7.50%      9.39%
         170         180         0.029795124     0.00225894      0.027664262     0.00182777      0.032271233     0.00286853        -7.15%      8.31%
         180         190         0.024929636     0.00148133      0.022824771     0.00117586      0.027557879     0.00193296        -8.44%     10.54%
         190         200         0.018600374     0.00149360      0.017391127     0.00116670      0.019954026     0.00198264        -6.50%      7.28%
         200         210         0.018342969     0.00172138      0.016535971     0.00133625      0.020573513     0.00228331        -9.85%     12.16%
         210         220         0.010793923     0.00179917      0.010450018     0.00147993      0.011033746     0.00224497        -3.19%      2.22%
         220         230         0.012748116     0.00154802      0.011471393     0.00115024      0.014376946     0.00216862       -10.01%     12.78%
         230         240        0.0098828412     0.00129952     0.0091586217    0.000991764      0.010680451     0.00176628        -7.33%      8.07%
         240         250         0.010090481     0.00118550     0.0088694727    0.000900529      0.011679594     0.00160990       -12.10%     15.75%
         250         260        0.0086514997     0.00129216     0.0077734507    0.000986595     0.0097037164     0.00174512       -10.15%     12.16%
         260         270        0.0039401762     0.00129898     0.0038093695    0.000991133     0.0040068625     0.00140997        -3.32%      1.69%
         270         280        0.0053609790    0.000558911     0.0047813550    0.000434882     0.0061081847    0.000745542       -10.81%     13.94%
         280         290        0.0059152508    0.000851914     0.0052278882    0.000656020     0.0067737788     0.00114289       -11.62%     14.51%
         290         300        0.0035632300    0.000899833     0.0033197287    0.000691285     0.0038263120     0.00121715        -6.83%      7.38%
         300         310        0.0047567574    0.000637924     0.0042189872    0.000499579     0.0054038501    0.000842264       -11.31%     13.60%
         310         320        0.0015539144    0.000558962     0.0012790602    0.000702684     0.0017072400    0.000459036       -17.69%      9.87%
         320         330        0.0023987779    0.000381942     0.0021326197    0.000286775     0.0027421851    0.000532758       -11.10%     14.32%
         330         340        0.0029715845    0.000476874     0.0025632931    0.000353831     0.0035230017    0.000671067       -13.74%     18.56%
         340         350        0.0017399326    0.000434812     0.0016198581    0.000322037     0.0018560599    0.000610974        -6.90%      6.67%
         350         360        0.0021738293    0.000523864     0.0019311966    0.000398405     0.0024743420    0.000717414       -11.16%     13.82%
         360         370        0.0017344126    0.000401730     0.0015727926    0.000309615     0.0019183936    0.000539989        -9.32%     10.61%
         370         380        0.0020040586    0.000304377     0.0017962916    0.000220133     0.0022487061    0.000446949       -10.37%     12.21%
         380         390        0.0010589701    0.000239778    0.00095345753    0.000200235     0.0011656339    0.000298628        -9.96%     10.07%
         390         400       0.00092627517    0.000277429    0.00089930791    0.000194588    0.00092700501    0.000235038        -2.91%      0.08%
         400         410       0.00073887691    0.000334385    0.00066401171    0.000444951    0.00075987930    0.000303629       -10.13%      2.84%
         410         420        0.0010098711    0.000179007    0.00089752855    0.000147666     0.0011475382    0.000234171       -11.12%     13.63%
         420         430       0.00055857178    0.000113574    0.00049731748    0.000155267    0.00058913176    8.96488e-05       -10.97%      5.47%
         430         440       0.00031221644    0.000294196    7.3620474e-05    0.000476233    0.00044946992    0.000175969       -76.42%     43.96%
         440         450       0.00029793798    0.000188713    0.00026477822    0.000168555    0.00035035177    0.000215395       -11.13%     17.59%
         450         460       0.00072668371    0.000180165    0.00063166347    0.000133196    0.00083681542    0.000258139       -13.08%     15.16%
         460         470       0.00059276925    7.77270e-05    0.00049347022    5.99883e-05    0.00072766963    0.000104778       -16.75%     22.76%
         470         480       1.9385120e-06    0.000286044   -0.00023840479    0.000475843    0.00014517464    0.000164180     -12398.34%   7388.97%
         480         490       0.00083182549    0.000353524    0.00072695515    0.000289678    0.00096973985    0.000441955       -12.61%     16.58%
         490         500        0.0010617835    0.000495167    0.00082660080    0.000362246     0.0014063517    0.000698774       -22.15%     32.45%
         500         510       0.00058354303    0.000188470    0.00045996123    0.000132626    0.00076644859    0.000279193       -21.18%     31.34%
         510         520       0.00038108230    0.000141793    0.00034703748    0.000102669    0.00041386927    0.000159531        -8.93%      8.60%
         520         530       0.00017156666    0.000123334    7.4243364e-05    0.000179998    0.00021524302    9.52806e-05       -56.73%     25.46%
         530         540       0.00017770164    0.000150890    0.00015460652    0.000112364    0.00020694393    0.000208958       -13.00%     16.46%
         540         550       0.00025492990    8.09240e-05    0.00022234259    5.91345e-05    0.00029622519    0.000100662       -12.78%     16.20%
