#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           11.300149       0.148479        11.037160       0.180169        11.572745       0.126074        -2.33%      2.41%
          10          20           9.3137446       0.113990        9.0283450       0.103680        9.5083529       0.123770        -3.06%      2.09%
          20          30           5.1686314      0.0750582        5.0073099      0.0658269        5.3422565      0.0880551        -3.12%      3.36%
          30          40           3.0081252      0.0691302        2.8807476      0.0635842        3.1464050      0.0766658        -4.23%      4.60%
          40          50           1.4655549      0.0341049        1.4083724      0.0302625        1.5264689      0.0395411        -3.90%      4.16%
          50          60           1.0282583      0.0283838       0.98377439      0.0247599        1.0775806      0.0335055        -4.33%      4.80%
          60          70          0.71976928      0.0241703       0.68905509      0.0212941       0.75340406      0.0281983        -4.27%      4.67%
          70          80          0.54137113      0.0219140       0.51576735      0.0193717       0.57007036      0.0254665        -4.73%      5.30%
          80          90          0.39173979      0.0186505       0.37322778      0.0168490       0.41141257      0.0211304        -4.73%      5.02%
          90         100          0.25874658       0.112859       0.24399843       0.106386       0.27472139       0.119899        -5.70%      6.17%
         100         110          0.16426502      0.0611151       0.15399343      0.0572556       0.17619730      0.0636570        -6.25%      7.26%
         110         120          0.22470555      0.0204465       0.21022583      0.0188841       0.24097494      0.0223587        -6.44%      7.24%
         120         130          0.16850669      0.0130981       0.15831398      0.0120038       0.17967088      0.0144961        -6.05%      6.63%
         130         140          0.12516964      0.0165116       0.11694312      0.0152395       0.13446225      0.0180683        -6.57%      7.42%
         140         150         0.083526695     0.00858408      0.079002593     0.00784124      0.088249859     0.00955138        -5.42%      5.65%
         150         160         0.095007203      0.0137900      0.089428225      0.0126084       0.10103351      0.0153212        -5.87%      6.34%
         160         170         0.048795007     0.00607787      0.046042852     0.00534528      0.052149750     0.00702440        -5.64%      6.88%
         170         180         0.069315835     0.00992516      0.064544813     0.00895580      0.074774272      0.0111957        -6.88%      7.87%
         180         190         0.048846162     0.00655134      0.044881131     0.00579119      0.053819438     0.00761135        -8.12%     10.18%
         190         200         0.041055459     0.00769891      0.038828276     0.00701869      0.043464765     0.00860200        -5.42%      5.87%
         200         210         0.021452128     0.00340273      0.019652511     0.00301071      0.023635056     0.00392635        -8.39%     10.18%
         210         220         0.015216294     0.00455546      0.014487524     0.00469631      0.015971857     0.00446849        -4.79%      4.97%
         220         230         0.016376114     0.00423636      0.015190252     0.00370334      0.017826193     0.00499777        -7.24%      8.85%
         230         240          0.16545782       0.109652       0.15492830       0.102225       0.17714133       0.118201        -6.36%      7.06%
         240         250         0.012444501     0.00426308      0.010936863     0.00373324      0.014412692     0.00498218       -12.11%     15.82%
         250         260        0.0098914307     0.00388617     0.0092666428     0.00357946      0.010584523     0.00426808        -6.32%      7.01%
         260         270        0.0071991506     0.00287307     0.0068197709     0.00228522     0.0075210553     0.00321279        -5.27%      4.47%
         270         280        0.0074539912     0.00159231     0.0068009903     0.00141789     0.0082815517     0.00183794        -8.76%     11.10%
         280         290        -0.064652694      0.0563343     -0.076261741      0.0661966     -0.055603477      0.0487014        17.96%    -14.00%
         290         300         0.010526991     0.00427252     0.0099512954     0.00376776      0.011121082     0.00501327        -5.47%      5.64%
         300         310        0.0040989832     0.00136926     0.0036806351     0.00119423     0.0045928279     0.00159484       -10.21%     12.05%
         310         320        0.0038832773     0.00219282     0.0031492834     0.00220999     0.0042943286     0.00220723       -18.90%     10.59%
         320         330        0.0022841265    0.000371623     0.0020311169    0.000281233     0.0026106105    0.000514857       -11.08%     14.29%
         330         340        0.0029759034    0.000481781     0.0025355350    0.000358984     0.0035871789    0.000686664       -14.80%     20.54%
         340         350        0.0017175237    0.000446275     0.0015997358    0.000337286     0.0018320328    0.000617472        -6.86%      6.67%
         350         360        0.0045732525     0.00200956     0.0041592741     0.00177799     0.0050832575     0.00231590        -9.05%     11.15%
         360         370        0.0047464971     0.00204066     0.0043900532     0.00181627     0.0051397784     0.00235310        -7.51%      8.29%
