#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           41.430016      0.0289810        34.586934      0.0243287        48.230243      0.0336934       -16.52%     16.41%
           6           8           18.799425      0.0206054        15.842861      0.0174161        21.701961      0.0237954       -15.73%     15.44%
           8          10           10.465988      0.0152204        8.8685872      0.0129317        12.022178      0.0174889       -15.26%     14.87%
          10          12           6.5687646      0.0118607        5.5876305      0.0101171        7.5194402      0.0135780       -14.94%     14.47%
          12          14           4.4372797     0.00951021        3.7861625     0.00812931        5.0652409      0.0108644       -14.67%     14.15%
          14          16           3.1506057     0.00782358        2.6955784     0.00670716        3.5876921     0.00891375       -14.44%     13.87%
          16          18           2.3490094     0.00653259        2.0142121     0.00560321        2.6695496     0.00743864       -14.25%     13.65%
          18          20           1.7830390     0.00547553        1.5327010     0.00470446        2.0218416     0.00622532       -14.04%     13.39%
          20          22           1.4152261     0.00476016        1.2195964     0.00409716        1.6011496     0.00540295       -13.82%     13.14%
          22          24           1.1571046     0.00420617       0.99925854     0.00362419        1.3066297     0.00476987       -13.64%     12.92%
          24          26          0.96221721     0.00379908       0.83317113     0.00328529        1.0839715     0.00429386       -13.41%     12.65%
          26          28          0.84391362     0.00354736       0.73188678     0.00307186       0.94932255     0.00400468       -13.27%     12.49%
          28          30          0.74489009     0.00335376       0.64750383     0.00291253       0.83616143     0.00377551       -13.07%     12.25%
          30          32          0.67733067     0.00324860       0.59014904     0.00282851       0.75873469     0.00364855       -12.87%     12.02%
          32          34          0.63752668     0.00318807       0.55667577     0.00278417       0.71276115     0.00357042       -12.68%     11.80%
          34          36          0.60776210     0.00318405       0.53160836     0.00278414       0.67838297     0.00356166       -12.53%     11.62%
          36          38          0.59690619     0.00324944       0.52236981     0.00284419       0.66591369     0.00363102       -12.49%     11.56%
          38          40          0.60113836     0.00336111       0.52676112     0.00294498       0.66983563     0.00375230       -12.37%     11.43%
          40          42          0.61394242     0.00348611       0.53890937     0.00306192       0.68304335     0.00388250       -12.22%     11.26%
          42          44          0.63850849     0.00363303       0.56005243     0.00318505       0.71080046     0.00405414       -12.29%     11.32%
          44          46          0.65451445     0.00372413       0.57506295     0.00327250       0.72752665     0.00414573       -12.14%     11.16%
          46          48          0.69269325     0.00394498       0.60832027     0.00346303       0.77022184     0.00439577       -12.18%     11.19%
          48          50          0.73532745     0.00413642       0.64607560     0.00363450       0.81727123     0.00460506       -12.14%     11.14%
          50          52          0.77122276     0.00429408       0.67780517     0.00377546       0.85694767     0.00477821       -12.11%     11.12%
          52          54          0.82577679     0.00452094       0.72611942     0.00397721       0.91714279     0.00502668       -12.07%     11.06%
          54          56          0.88301473     0.00475737       0.77668317     0.00418696       0.98045641     0.00528785       -12.04%     11.04%
          56          58          0.94100472     0.00495292       0.82760337     0.00435770        1.0449196     0.00550662       -12.05%     11.04%
          58          60           1.0165199     0.00522609       0.89322574     0.00459411        1.1295965     0.00581516       -12.13%     11.12%
          60          62           1.0872634     0.00544747       0.95592327     0.00479176        1.2076471     0.00605761       -12.08%     11.07%
          62          64           1.1685602     0.00569854        1.0277546     0.00501384        1.2975401     0.00633501       -12.05%     11.04%
          64          66           1.2423857     0.00590944        1.0921276     0.00519528        1.3801098     0.00657457       -12.09%     11.09%
          66          68           1.3186729     0.00606463        1.1598374     0.00533585        1.4641519     0.00674258       -12.05%     11.03%
          68          70           1.4150415     0.00629955        1.2451917     0.00554458        1.5705216     0.00700106       -12.00%     10.99%
          70          72           1.5054129     0.00644353        1.3243734     0.00566830        1.6711765     0.00716458       -12.03%     11.01%
          72          74           1.5822807     0.00650467        1.3934202     0.00572946        1.7550263     0.00722427       -11.94%     10.92%
          74          76           1.6479438     0.00646543        1.4511797     0.00569105        1.8279369     0.00718505       -11.94%     10.92%
          76          78           1.7089185     0.00633549        1.5057683     0.00557738        1.8946372     0.00703988       -11.89%     10.87%
          78          80           1.7155023     0.00596391        1.5123327     0.00525050        1.9011749     0.00662745       -11.84%     10.82%
          80          82           1.6611524     0.00531105        1.4678914     0.00468472        1.8373531     0.00589214       -11.63%     10.61%
          82          84           1.5297444     0.00440529        1.3568537     0.00390008        1.6868221     0.00487366       -11.30%     10.27%
          84          86           1.2976136     0.00347913        1.1617572     0.00311563        1.4198218     0.00381358       -10.47%      9.42%
          86          88           1.3203820     0.00362509        1.2063350     0.00332628        1.4201162     0.00389268        -8.64%      7.55%
          88          90           3.1332847     0.00687596        2.9014194     0.00639530        3.3306143     0.00729409        -7.40%      6.30%
          90          92           9.3748765      0.0155088        8.7056836      0.0144620        9.9404944      0.0164138        -7.14%      6.03%
          92          94           4.1557294      0.0112789        3.8603894      0.0105110        4.4052163      0.0119458        -7.11%      6.00%
          94          96           1.2478865     0.00634432        1.1584982     0.00589982        1.3234999     0.00673273        -7.16%      6.06%
          96          98          0.58567315     0.00448609       0.54342384     0.00416183       0.62144987     0.00477053        -7.21%      6.11%
          98         100          0.35542428     0.00342670       0.32957380     0.00317072       0.37736930     0.00365421        -7.27%      6.17%
         100         102          0.24121284     0.00281016       0.22303803     0.00258335       0.25670270     0.00301184        -7.53%      6.42%
         102         104          0.17403385     0.00221442       0.16103281     0.00204007       0.18508729     0.00236881        -7.47%      6.35%
         104         106          0.13680319     0.00203388       0.12693787     0.00188645       0.14516729     0.00216494        -7.21%      6.11%
         106         108          0.11258703     0.00181157       0.10439876     0.00167302       0.11952634     0.00193359        -7.27%      6.16%
         108         110         0.089762777     0.00151627      0.083083548     0.00139437      0.095437324     0.00162444        -7.44%      6.32%
         110         112         0.079056767     0.00145835      0.073295101     0.00134818      0.083939772     0.00155577        -7.29%      6.18%
         112         114         0.067892731     0.00129742      0.062976757     0.00119489      0.072051889     0.00138780        -7.24%      6.13%
         114         116         0.058698766     0.00128863      0.054494848     0.00119658      0.062257690     0.00137032        -7.16%      6.06%
         116         118         0.053766338     0.00115786      0.049808081     0.00106252      0.057121323     0.00124180        -7.36%      6.24%
         118         120         0.047576864     0.00107492      0.044256349    0.000995884      0.050371961     0.00114429        -6.98%      5.87%
         120         122         0.043869945     0.00102107      0.040747005    0.000938634      0.046500616     0.00109368        -7.12%      6.00%
         122         124         0.035604993    0.000939912      0.033134846    0.000875885      0.037678648    0.000995870        -6.94%      5.82%
         124         126         0.033178346    0.000863691      0.030946902    0.000804528      0.035043132    0.000915244        -6.73%      5.62%
         126         128         0.032918990    0.000896611      0.030614628    0.000831544      0.034853967    0.000953104        -7.00%      5.88%
         128         130         0.031198939    0.000901011      0.029076295    0.000845139      0.032979239    0.000951563        -6.80%      5.71%
         130         132         0.025672397    0.000742991      0.023906491    0.000685009      0.027148850    0.000793422        -6.88%      5.75%
         132         134         0.026562189    0.000810413      0.024770792    0.000751039      0.028060196    0.000862087        -6.74%      5.64%
         134         136         0.021602218    0.000652656      0.020151189    0.000601447      0.022811104    0.000697461        -6.72%      5.60%
         136         138         0.022887081    0.000692416      0.021326084    0.000637777      0.024189207    0.000739582        -6.82%      5.69%
         138         140         0.021388988    0.000742812      0.020043008    0.000705477      0.022505819    0.000775935        -6.29%      5.22%
         140         142         0.018376798    0.000598359      0.017156535    0.000554638      0.019391730    0.000636327        -6.64%      5.52%
         142         144         0.019526145    0.000673508      0.018301332    0.000629502      0.020535096    0.000711646        -6.27%      5.17%
         144         146         0.015744401    0.000530572      0.014807017    0.000495489      0.016508701    0.000560546        -5.95%      4.85%
         146         148         0.017294486    0.000645829      0.016251386    0.000609490      0.018151729    0.000677437        -6.03%      4.96%
         148         150         0.015364581    0.000563501      0.014330429    0.000516576      0.016226385    0.000604823        -6.73%      5.61%
         150         152         0.013901119    0.000498160      0.013053399    0.000464479      0.014594317    0.000526804        -6.10%      4.99%
         152         154         0.013815098    0.000529413      0.012998485    0.000496433      0.014478287    0.000557294        -5.91%      4.80%
         154         156         0.013329553    0.000490307      0.012502812    0.000453550      0.014005257    0.000521553        -6.20%      5.07%
         156         158         0.013534221    0.000500925      0.012710593    0.000465418      0.014206630    0.000531050        -6.09%      4.97%
         158         160         0.011984318    0.000469423      0.011248207    0.000435220      0.012587678    0.000498988        -6.14%      5.03%
         160         162         0.011235553    0.000467894      0.010612057    0.000442599      0.011738109    0.000489425        -5.55%      4.47%
         162         164         0.011565953    0.000477662      0.010860064    0.000443281      0.012144464    0.000507464        -6.10%      5.00%
         164         166         0.010984817    0.000457146      0.010331926    0.000424674      0.011515208    0.000484630        -5.94%      4.83%
         166         168        0.0095087872    0.000389500     0.0089655304    0.000365830     0.0099484693    0.000409638        -5.71%      4.62%
         168         170        0.0097422917    0.000386226     0.0091732471    0.000360482      0.010202500    0.000407892        -5.84%      4.72%
