#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           3.6842650      0.0176020        2.9344830      0.0142245        4.4614851      0.0211242       -20.35%     21.10%
          10          20           4.0174311      0.0182376        3.2789285      0.0149018        4.7624092      0.0216277       -18.38%     18.54%
          20          30           1.7273058      0.0120374        1.4533826      0.0101531        1.9943261      0.0138867       -15.86%     15.46%
          30          40           1.1510579     0.00984244       0.99272291     0.00857032        1.3007245      0.0110425       -13.76%     13.00%
          40          50           1.2805533      0.0232771        1.1185814      0.0206570        1.4307380      0.0256438       -12.65%     11.73%
          50          60           2.2234550      0.0271798        1.9533805      0.0241558        2.4716094      0.0299130       -12.15%     11.16%
          60          70           3.0876690      0.0197157        2.7138252      0.0174567        3.4309376      0.0217951       -12.11%     11.12%
          70          80           3.3142596      0.0182748        2.9192130      0.0161673        3.6760411      0.0202158       -11.92%     10.92%
          80          90           2.5061538      0.0337924        2.2369802      0.0311290        2.7489547      0.0360880       -10.74%      9.69%
          90         100           1.9356846      0.0350301        1.7557533      0.0323438        2.0945138      0.0373299        -9.30%      8.21%
         100         110          0.36112895     0.00725768       0.33205137     0.00668564       0.38608358     0.00775037        -8.05%      6.91%
         110         120          0.26941496     0.00915180       0.24908532     0.00850883       0.28662886     0.00969164        -7.55%      6.39%
         120         130          0.24396046     0.00452568       0.22631839     0.00419516       0.25876769     0.00480599        -7.23%      6.07%
         130         140          0.20327905     0.00609242       0.19004971     0.00572385       0.21418438     0.00639454        -6.51%      5.36%
         140         150          0.18289701     0.00463582       0.17135454     0.00434122       0.19234193     0.00487820        -6.31%      5.16%
         150         160          0.13975467     0.00523935       0.13129509     0.00491853       0.14662420     0.00550192        -6.05%      4.92%
         160         170          0.13452865     0.00451455       0.12702596     0.00429003       0.14052678     0.00469077        -5.58%      4.46%
         170         180          0.10632474     0.00829714       0.10028311     0.00796573       0.11115176     0.00853999        -5.68%      4.54%
         180         190         0.091188866     0.00252001      0.086459789     0.00239649      0.094916503     0.00261870        -5.19%      4.09%
         190         200         0.075704256     0.00707792      0.071954986     0.00682630      0.078632855     0.00725414        -4.95%      3.87%
         200         210         0.075209551     0.00788441      0.072037405     0.00775333      0.077601998     0.00795065        -4.22%      3.18%
         210         220         0.065924245     0.00432558      0.062953017     0.00408676      0.068193548     0.00451735        -4.51%      3.44%
         220         230         0.054944169     0.00292768      0.052699973     0.00279176      0.056620972     0.00303295        -4.08%      3.05%
         230         240         0.047909788     0.00173373      0.046120852     0.00168391      0.049222213     0.00177093        -3.73%      2.74%
         240         250         0.038418647     0.00268212      0.037101572     0.00260531      0.039362296     0.00273592        -3.43%      2.46%
         250         260         0.031135218     0.00187780      0.029952177     0.00183678      0.032002950     0.00190367        -3.80%      2.79%
         260         270         0.036352037     0.00137201      0.035215186     0.00132696      0.037139893     0.00140401        -3.13%      2.17%
         270         280         0.038466400     0.00581254      0.037813142     0.00591277      0.038801989     0.00568533        -1.70%      0.87%
         280         290         0.032028632     0.00399042      0.031118403     0.00388699      0.032637770     0.00405607        -2.84%      1.90%
         290         300         0.016500023     0.00404541      0.016086021     0.00395262      0.016769016     0.00410111        -2.51%      1.63%
         300         310         0.014981094     0.00559400      0.014319593     0.00570647      0.015478943     0.00545705        -4.42%      3.32%
