#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           2.9725620      0.0229114        2.8574849      0.0276730        3.0398908      0.0220490        -3.87%      2.27%
          10          20           3.7168094      0.0272843        3.5459330      0.0225944        3.8246334      0.0304562        -4.60%      2.90%
          20          30           1.8904755      0.0335155        1.7804014      0.0289504        1.9510697      0.0347462        -5.82%      3.21%
          30          40           1.3839488      0.0195979        1.2978201      0.0171449        1.4416152      0.0218919        -6.22%      4.17%
          40          50           1.5112090      0.0253469        1.4198059      0.0225090        1.5765516      0.0279341        -6.05%      4.32%
          50          60           2.4977965      0.0290029        2.3576928      0.0258172        2.5974580      0.0319043        -5.61%      3.99%
          60          70           3.5575924      0.0367326        3.3933122      0.0321250        3.6619136      0.0410206        -4.62%      2.93%
          70          80           3.8437434      0.0200362        3.7012356      0.0178113        3.9197294      0.0221440        -3.71%      1.98%
          80          90           2.9812207      0.0344694        2.8805793      0.0317682        3.0369696      0.0346355        -3.38%      1.87%
          90         100           2.5163229      0.0372121        2.4613931      0.0368283        2.5844605      0.0377347        -2.18%      2.71%
         100         110          0.44947718     0.00805354       0.43697239     0.00749547       0.45984480     0.00823938        -2.78%      2.31%
         110         120          0.34660200     0.00968921       0.33727643     0.00905217       0.35565987     0.00981819        -2.69%      2.61%
         120         130          0.32082081     0.00552937       0.31263958     0.00530455       0.32984033     0.00575165        -2.55%      2.81%
         130         140          0.26659857     0.00667935       0.26051402     0.00631077       0.27402909     0.00681735        -2.28%      2.79%
         140         150          0.24262282     0.00542946       0.23697262     0.00529520       0.24963162     0.00560926        -2.33%      2.89%
         150         160          0.18813340     0.00556155       0.18355666     0.00550486       0.19381063     0.00563875        -2.43%      3.02%
         160         170          0.17733437     0.00532907       0.17328485     0.00519170       0.18235761     0.00551282        -2.28%      2.83%
         170         180          0.14776064     0.00843680       0.14384070     0.00841180       0.15262312     0.00847115        -2.65%      3.29%
         180         190          0.14185252      0.0102131       0.13705962     0.00930858       0.14779788      0.0113422        -3.38%      4.19%
         190         200          0.10773996     0.00725175       0.10470930     0.00722073       0.11149933     0.00729430        -2.81%      3.49%
         200         210          0.10510218     0.00814277       0.10227427     0.00809681       0.10861007     0.00820571        -2.69%      3.34%
         210         220         0.093058315     0.00462815      0.090491366     0.00457509      0.096242485     0.00470030        -2.76%      3.42%
         220         230         0.078270656     0.00308845      0.076063914     0.00306009      0.081008008     0.00312711        -2.82%      3.50%
         230         240         0.073416397     0.00243228      0.071003411     0.00232194      0.076409586     0.00257664        -3.29%      4.08%
         240         250         0.056377295     0.00295942      0.054678364     0.00291138      0.058520136     0.00295741        -3.01%      3.80%
         250         260         0.047278630     0.00211935      0.045751424     0.00207788      0.049274294     0.00215053        -3.23%      4.22%
         260         270         0.051835273     0.00165785      0.050370521     0.00161008      0.053652223     0.00172152        -2.83%      3.51%
         270         280         0.051952776     0.00585636      0.050510427     0.00572071      0.053772251     0.00597003        -2.78%      3.50%
         280         290         0.044766082     0.00416611      0.043561089     0.00413500      0.046262238     0.00410948        -2.69%      3.34%
         290         300         0.027937204     0.00414529      0.026681897     0.00418019      0.029614231     0.00408290        -4.49%      6.00%
         300         310         0.025764969     0.00564361      0.024744789     0.00563470      0.027137219     0.00577310        -3.96%      5.33%
         310         320         0.035838512     0.00491424      0.034949643     0.00490488      0.036941111     0.00492712        -2.48%      3.08%
         320         330         0.020907531     0.00386617      0.019975152     0.00391148      0.022169875     0.00379736        -4.46%      6.04%
         330         340         0.010082924     0.00746937     0.0092533896     0.00750503      0.011296716     0.00737802        -8.23%     12.04%
         340         350         0.017853444     0.00116214      0.017118625     0.00110128      0.018909325     0.00124263        -4.12%      5.91%
         350         360         0.016982782    0.000981919      0.016438626    0.000959153      0.017700503     0.00101742        -3.20%      4.23%
         360         370         0.016232033     0.00336121      0.015471055     0.00340207      0.017222117     0.00329610        -4.69%      6.10%
         370         380         0.013471203     0.00106734      0.013002438     0.00102429      0.014105471     0.00112327        -3.48%      4.71%
         380         390         0.011776494     0.00117069      0.011386556     0.00115925      0.012341582     0.00118540        -3.31%      4.80%
         390         400         0.014082373     0.00109039      0.013454460     0.00105252      0.014893110     0.00113916        -4.46%      5.76%
         400         410         0.010409323    0.000992622     0.0099273884    0.000939422      0.011031760     0.00106450        -4.63%      5.98%
         410         420         0.010667796    0.000952027      0.010270015    0.000904337      0.011232642     0.00101270        -3.73%      5.29%
         420         430         0.010234930     0.00101858     0.0098406877    0.000953214      0.010723968     0.00110235        -3.85%      4.78%
         430         440        0.0080000470    0.000601945     0.0077942461    0.000577483     0.0082553326    0.000634120        -2.57%      3.19%
         440         450        0.0096926799    0.000951660     0.0090652066    0.000839817      0.010501879     0.00109270        -6.47%      8.35%
         450         460        0.0087954690    0.000900380     0.0084681140    0.000884244     0.0092293969    0.000920111        -3.72%      4.93%
         460         470        0.0054510671    0.000900259     0.0051662674    0.000865995     0.0058456513    0.000942638        -5.22%      7.24%
         470         480        0.0093654548     0.00202308     0.0090178634     0.00196891     0.0097887938     0.00207721        -3.71%      4.52%
         480         490         0.013879217     0.00513694      0.013554025     0.00507047      0.014255598     0.00517744        -2.34%      2.71%
         490         500       -0.0048995201     0.00547335    -0.0051178849     0.00547094    -0.0045582252     0.00552573         4.46%     -6.97%
         500         510        0.0054298014    0.000730217     0.0052086361    0.000690833     0.0057163281    0.000777623        -4.07%      5.28%
         510         520        0.0029803300    0.000928082     0.0027938899    0.000895246     0.0032498957    0.000965572        -6.26%      9.04%
         520         530        0.0040128346    0.000528524     0.0037707283    0.000490929     0.0043392637    0.000578845        -6.03%      8.13%
         530         540        0.0041274075    0.000503826     0.0039597387    0.000485850     0.0043412683    0.000524598        -4.06%      5.18%
         540         550        0.0034255478    0.000493428     0.0032759143    0.000460245     0.0036208282    0.000534069        -4.37%      5.70%
         550         560        0.0046789262    0.000477590     0.0044689621    0.000446190     0.0049525296    0.000517188        -4.49%      5.85%
         560         570        0.0022799783    0.000475565     0.0021162338    0.000448515     0.0024997379    0.000508781        -7.18%      9.64%
         570         580        0.0040630589    0.000696787     0.0038058175    0.000624306     0.0043908442    0.000787781        -6.33%      8.07%
         580         590        0.0037913812    0.000744175     0.0036191560    0.000704523     0.0040076930    0.000789393        -4.54%      5.71%
         590         600        0.0020166660    0.000414457     0.0018739887    0.000380330     0.0022030295    0.000459905        -7.07%      9.24%
         600         610        0.0033424463    0.000498905     0.0032010851    0.000425855     0.0035531866    0.000588832        -4.23%      6.30%
         610         620        0.0022660695    0.000260086     0.0021250047    0.000245018     0.0024595921    0.000279673        -6.23%      8.54%
         620         630        0.0033795238    0.000756248     0.0032275626    0.000725934     0.0035627659    0.000788117        -4.50%      5.42%
         630         640        0.0018216949    0.000325572     0.0017265970    0.000312359     0.0019478069    0.000341064        -5.22%      6.92%
         640         650        0.0023905411    0.000542188     0.0022546854    0.000500446     0.0025685886    0.000592695        -5.68%      7.45%
         650         660        0.0010677156    0.000341278     0.0010017616    0.000323236     0.0011604043    0.000363351        -6.18%      8.68%
         660         670        0.0015702725    0.000220198     0.0015275011    0.000198062     0.0016298879    0.000250988        -2.72%      3.80%
         670         680        0.0040874164     0.00289327     0.0040503714     0.00282499     0.0041180821     0.00295213        -0.91%      0.75%
