#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           11.578311      0.0922790        11.005972       0.102089        12.039707      0.0844516        -4.94%      3.99%
          10          20           8.4431955       0.104356        7.9498271      0.0932416        8.8108690       0.114460        -5.84%      4.35%
          20          30           4.3248995      0.0692624        4.0391111      0.0642381        4.5530769      0.0738879        -6.61%      5.28%
          30          40           2.0530036      0.0457076        1.9256020      0.0444327        2.1963213      0.0493837        -6.21%      6.98%
          40          50           1.1581011      0.0192939        1.0926568      0.0177286        1.2392814      0.0212634        -5.65%      7.01%
          50          60          0.72689152      0.0210843       0.68791010      0.0192193       0.77524600      0.0234128        -5.36%      6.65%
          60          70          0.54719696      0.0174558       0.51550583      0.0159720       0.58650821      0.0193152        -5.79%      7.18%
          70          80          0.38788884      0.0139498       0.36343007      0.0130914       0.41822871      0.0150530        -6.31%      7.82%
          80          90          0.27371302     0.00763672       0.25474688     0.00717456       0.29723955     0.00823136        -6.93%      8.60%
          90         100          0.19174786     0.00398208       0.17536255     0.00363849       0.21207302     0.00441204        -8.55%     10.60%
         100         110          0.12741425     0.00232713       0.11636104     0.00213601       0.14112520     0.00256736        -8.68%     10.76%
         110         120         0.088591334     0.00172222      0.080682945     0.00158147      0.098401292     0.00189921        -8.93%     11.07%
         120         130         0.067662532     0.00136106      0.061438313     0.00124773      0.075104018     0.00148811        -9.20%     11.00%
         130         140         0.050019948     0.00117672      0.045175881     0.00106302      0.055609007     0.00131174        -9.68%     11.17%
         140         150         0.037537017    0.000794095      0.033628562    0.000708870      0.042092876    0.000896565       -10.41%     12.14%
         150         160         0.030026630    0.000690194      0.026921578    0.000617549      0.033640000    0.000777522       -10.34%     12.03%
         160         170         0.023283437    0.000601887      0.020793016    0.000537939      0.026192481    0.000678042       -10.70%     12.49%
         170         180         0.018693654    0.000510261      0.016599050    0.000452230      0.021179952    0.000580865       -11.20%     13.30%
         180         190         0.014673419    0.000541650      0.012998279    0.000469171      0.016663949    0.000633469       -11.42%     13.57%
         190         200         0.012408300    0.000424169      0.010936695    0.000370387      0.014168813    0.000490490       -11.86%     14.19%
         200         210         0.010072893    0.000384537     0.0088570632    0.000335898      0.011542632    0.000445113       -12.07%     14.59%
         210         220        0.0092772457    0.000402430     0.0081115840    0.000352691      0.010697586    0.000463834       -12.56%     15.31%
         220         230        0.0076032983    0.000359888     0.0066309765    0.000316001     0.0087952991    0.000414661       -12.79%     15.68%
         230         240        0.0068068775    0.000355310     0.0059015911    0.000304859     0.0079241634    0.000419790       -13.30%     16.41%
         240         250        0.0051620773    0.000276883     0.0044752998    0.000238300     0.0060099073    0.000325358       -13.30%     16.42%
         250         260        0.0049810027    0.000276527     0.0043113262    0.000237316     0.0058076000    0.000325954       -13.44%     16.59%
         260         270        0.0043098586    0.000280531     0.0037216794    0.000241615     0.0050405967    0.000329200       -13.65%     16.96%
         270         280        0.0035834247    0.000200930     0.0030850764    0.000172125     0.0042072022    0.000237556       -13.91%     17.41%
         280         290        0.0028415662    0.000184610     0.0024339448    0.000159335     0.0033538339    0.000216978       -14.34%     18.03%
         290         300        0.0030506341    0.000247095     0.0025981929    0.000209708     0.0036297115    0.000297655       -14.83%     18.98%
         300         310        0.0027102748    0.000215777     0.0023073124    0.000183567     0.0032244461    0.000257066       -14.87%     18.97%
         310         320        0.0015290500    0.000107844     0.0013010498    9.19359e-05     0.0018185874    0.000128088       -14.91%     18.94%
         320         330        0.0012893996    9.90414e-05     0.0011071150    8.38827e-05     0.0015182889    0.000118745       -14.14%     17.75%
         330         340        0.0013020110    0.000131278     0.0010922579    0.000113927     0.0015718420    0.000153747       -16.11%     20.72%
         340         350        0.0014119389    0.000108252     0.0011900272    9.03843e-05     0.0016983362    0.000131780       -15.72%     20.28%
         350         360        0.0011807409    0.000134458     0.0010010972    0.000113496     0.0014112842    0.000161559       -15.21%     19.53%
         360         370       0.00093296056    8.88275e-05    0.00078004242    7.34536e-05     0.0011330451    0.000109363       -16.39%     21.45%
         370         380       0.00088777097    8.60568e-05    0.00074650130    7.23833e-05     0.0010707789    0.000103841       -15.91%     20.61%
         380         390       0.00087572490    0.000119294    0.00073131383    9.83630e-05     0.0010643283    0.000147094       -16.49%     21.54%
         390         400       0.00077068340    0.000106427    0.00063926702    8.65167e-05    0.00094492296    0.000133812       -17.05%     22.61%
         400         410       0.00053676171    7.17581e-05    0.00045183674    5.98741e-05    0.00064630770    8.72424e-05       -15.82%     20.41%
         410         420       0.00090218709    0.000158794    0.00076333480    0.000135349     0.0010839515    0.000190576       -15.39%     20.15%
         420         430       0.00058427462    8.29138e-05    0.00047776205    6.64021e-05    0.00072782051    0.000105878       -18.23%     24.57%
         430         440       0.00040405137    8.11550e-05    0.00033138606    6.51455e-05    0.00050148045    0.000103426       -17.98%     24.11%
         440         450       0.00037804434    5.64751e-05    0.00031113371    4.62571e-05    0.00046748494    7.02906e-05       -17.70%     23.66%
         450         460       0.00032478343    4.67177e-05    0.00026864598    3.86793e-05    0.00039879414    5.73071e-05       -17.28%     22.79%
         460         470       0.00045738280    7.18388e-05    0.00037959183    5.94333e-05    0.00055967686    8.81933e-05       -17.01%     22.37%
         470         480       0.00025780632    5.02941e-05    0.00021460744    4.18286e-05    0.00031468479    6.15637e-05       -16.76%     22.06%
         480         490       0.00038564509    9.54099e-05    0.00032124757    7.95932e-05    0.00047040620    0.000116156       -16.70%     21.98%
         490         500       0.00033347393    5.78560e-05    0.00027208186    4.66262e-05    0.00041628270    7.33525e-05       -18.41%     24.83%
         500         510       0.00018922985    2.46792e-05    0.00015498768    2.01416e-05    0.00023521227    3.08100e-05       -18.10%     24.30%
         510         520       0.00021024256    3.81759e-05    0.00017127353    3.11243e-05    0.00026323709    4.77710e-05       -18.54%     25.21%
         520         530       0.00017253938    4.31922e-05    0.00014096949    3.48305e-05    0.00021506549    5.45743e-05       -18.30%     24.65%
         530         540       0.00025301842    5.63676e-05    0.00020632299    4.58069e-05    0.00031654783    7.07779e-05       -18.46%     25.11%
         540         550       0.00020004529    5.72861e-05    0.00016408814    4.70836e-05    0.00024886247    7.11634e-05       -17.97%     24.40%
         550         560       0.00014552748    2.50103e-05    0.00011954424    2.06446e-05    0.00018024580    3.08027e-05       -17.85%     23.86%
         560         570       0.00010382655    2.33557e-05    8.3601919e-05    1.88901e-05    0.00013201710    2.96703e-05       -19.48%     27.15%
         570         580       0.00019234300    4.63259e-05    0.00015527297    3.73858e-05    0.00024330293    5.86572e-05       -19.27%     26.49%
