#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           91.385275       0.876419        87.586206       0.757360        93.213118       0.905626        -4.16%      2.00%
        0.15         0.3           91.035826        1.22519        87.327549        1.06427        92.745525        1.25364        -4.07%      1.88%
         0.3        0.45           92.433113        1.22202        88.525264        1.07015        94.245855        1.24153        -4.23%      1.96%
        0.45         0.6           89.626169        1.04548        85.995462       0.910875        91.352387        1.06833        -4.05%      1.93%
         0.6        0.75           91.615010        1.09168        87.730583       0.951515        93.391950        1.22813        -4.24%      1.94%
        0.75         0.9           88.025793        1.10811        84.654152       0.967464        89.555027        1.12951        -3.83%      1.74%
         0.9        1.05           86.611117        1.19864        83.413919        1.01538        88.073665        1.25703        -3.69%      1.69%
        1.05         1.2           89.991454        1.32647        86.067438        1.13177        91.887263        1.52188        -4.36%      2.11%
         1.2        1.35           84.483869        1.61630        81.097472        1.41535        86.226297        1.63596        -4.01%      2.06%
        1.35         1.5           87.290664        1.56793        83.671534        1.37311        88.958547        1.75185        -4.15%      1.91%
         1.5        1.65           84.062222        1.06216        80.530292       0.919432        85.717301        1.20415        -4.20%      1.97%
        1.65         1.8           84.600318        1.00783        80.779023       0.862735        86.600606        1.15556        -4.52%      2.36%
         1.8        1.95           79.232165        1.03823        76.177916       0.898531        80.663202        1.06932        -3.85%      1.81%
        1.95         2.1           80.732985        1.40279        77.074032        1.23573        82.664798        1.56007        -4.53%      2.39%
         2.1        2.25           77.918871        1.41376        74.721364        1.24661        79.392663        1.57053        -4.10%      1.89%
        2.25         2.4           73.847969        1.23980        70.636872        1.08467        75.576474        1.26119        -4.35%      2.34%
         2.4        2.55           74.242207        1.15792        70.823548        1.01695        76.100657        1.29429        -4.60%      2.50%
        2.55         2.7           71.120832        1.09852        67.919603       0.959558        72.802704        1.23497        -4.50%      2.36%
         2.7        2.85           67.762634        1.14546        64.395782        1.00220        69.746028        1.28578        -4.97%      2.93%
        2.85           3           62.226418       0.930107        59.395446       0.827520        63.827346       0.932766        -4.55%      2.57%
           3        3.15           60.817228       0.999566        57.732857       0.893520        62.648380        1.09889        -5.07%      3.01%
        3.15         3.3           56.230491        1.19795        53.389150        1.05588        57.885030        1.33474        -5.05%      2.94%
         3.3        3.45           50.368470        1.00022        48.052522       0.875417        51.704828        1.01802        -4.60%      2.65%
        3.45         3.6           45.791842       0.679611        43.482804       0.612504        47.230721       0.675573        -5.04%      3.14%
         3.6        3.75           43.452133       0.718334        41.028956       0.649271        44.968337       0.784007        -5.58%      3.49%
        3.75         3.9           37.796087       0.990342        35.695121       0.903819        39.079478        1.06966        -5.56%      3.40%
         3.9        4.05           29.461799        1.08709        28.068348       0.964094        30.451471        1.09494        -4.73%      3.36%
        4.05         4.2           27.297942       0.724586        25.651612       0.610535        28.344747       0.763593        -6.03%      3.83%
         4.2        4.35           22.157535       0.391625        20.962286       0.341477        22.932053       0.403053        -5.39%      3.50%
        4.35         4.5           19.035925       0.667886        17.745418       0.548764        19.931823       0.716639        -6.78%      4.71%
         4.5        4.65           15.811429       0.649754        14.882010       0.531763        16.454734       0.698915        -5.88%      4.07%
        4.65         4.8           14.635278       0.358563        13.646862       0.302697        15.296047       0.376968        -6.75%      4.51%
         4.8        4.95           11.676327       0.337615        11.041014       0.284015        12.201350       0.355932        -5.44%      4.50%
        4.95         5.1           11.595025       0.291956        10.808211       0.245846        12.145634       0.307822        -6.79%      4.75%
         5.1        5.25           10.354023       0.304666        9.6093247       0.258058        10.886963       0.319295        -7.19%      5.15%
        5.25         5.4           8.0840757       0.313015        7.5534324       0.264216        8.5055859       0.328667        -6.56%      5.21%
         5.4        5.55           6.0928657       0.331858        5.7270022       0.313516        6.4235503       0.346932        -6.00%      5.43%
        5.55         5.7           6.0721886       0.474374        5.5985207       0.402595        6.4227412       0.545073        -7.80%      5.77%
         5.7        5.85           3.6594814       0.440039        3.4529241       0.372535        3.8435771       0.458935        -5.64%      5.03%
        5.85           6           2.5479655       0.171801        2.4109045       0.149046        2.6717793       0.176239        -5.38%      4.86%
           6        6.15           1.7177981       0.171268        1.6100517       0.152950        1.8119638       0.171012        -6.27%      5.48%
