#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           13.417680      0.0879067        12.709547      0.0874403        14.100092      0.0876699        -5.28%      5.09%
          10          20           8.7174235       0.101395        8.1983305      0.0905431        9.1062367       0.111261        -5.95%      4.46%
          20          30           4.1524894      0.0640617        3.8902124      0.0596577        4.3792391      0.0715601        -6.32%      5.46%
          30          40           1.9268501      0.0375474        1.8113132      0.0340031        2.0701679      0.0419449        -6.00%      7.44%
          40          50           1.1405727      0.0179875        1.0751284      0.0162973        1.2217530      0.0200856        -5.74%      7.12%
          50          60          0.72758327      0.0204597       0.68860186      0.0185320       0.77593776      0.0228519        -5.36%      6.65%
          60          70          0.55319795      0.0166234       0.52150682      0.0150578       0.59250920      0.0185663        -5.73%      7.11%
          70          80          0.39996757      0.0113820       0.37550880      0.0103121       0.43030744      0.0127100        -6.12%      7.59%
          80          90          0.26429404     0.00619060       0.24532790     0.00561055       0.28782058     0.00691081        -7.18%      8.90%
          90         100          0.18733747     0.00381739       0.17095216     0.00345747       0.20766262     0.00426399        -8.75%     10.85%
         100         110          0.12342776     0.00217918       0.11237454     0.00197378       0.13713871     0.00243405        -8.96%     11.11%
         110         120         0.087346415     0.00160874      0.079438026     0.00145707      0.097156373     0.00179694        -9.05%     11.23%
         120         130         0.065858234     0.00120915      0.059599426     0.00108237      0.073299720     0.00135057        -9.50%     11.30%
         130         140         0.049471333     0.00116508      0.044607307     0.00105002      0.055060393     0.00130131        -9.83%     11.30%
         140         150         0.037229992    0.000771790      0.033299253    0.000685156      0.041813794    0.000875825       -10.56%     12.31%
         150         160         0.029288536    0.000664288      0.026183630    0.000588971      0.032906657    0.000754414       -10.60%     12.35%
         160         170         0.023156072    0.000593878      0.020657339    0.000529264      0.026075523    0.000670748       -10.79%     12.61%
         170         180         0.018338781    0.000502577      0.016244339    0.000443601      0.020827508    0.000574164       -11.42%     13.57%
         180         190         0.014527787    0.000531233      0.012847407    0.000457523      0.016525474    0.000624315       -11.57%     13.75%
         190         200         0.012303402    0.000422835      0.010836214    0.000368989      0.014059174    0.000489222       -11.93%     14.27%
         200         210        0.0098416888    0.000380298     0.0086294119    0.000331318      0.011309026    0.000441235       -12.32%     14.91%
         210         220        0.0092894267    0.000400119     0.0081170961    0.000350380      0.010717913    0.000461524       -12.62%     15.38%
         220         230        0.0076194741    0.000357517     0.0066430436    0.000313578     0.0088166665    0.000412358       -12.81%     15.71%
         230         240        0.0068136731    0.000354628     0.0059085629    0.000304146     0.0079306130    0.000419142       -13.28%     16.39%
         240         250        0.0051591745    0.000276490     0.0044718844    0.000237880     0.0060076676    0.000324994       -13.32%     16.45%
         250         260        0.0049591222    0.000275850     0.0042870622    0.000236623     0.0057889018    0.000325282       -13.55%     16.73%
         260         270        0.0042953846    0.000280440     0.0037072776    0.000241518     0.0050261352    0.000329114       -13.69%     17.01%
         270         280        0.0035566746    0.000200452     0.0030585493    0.000171582     0.0041803924    0.000237143       -14.01%     17.54%
         280         290        0.0028777383    0.000170242     0.0024665274    0.000145258     0.0033941412    0.000202380       -14.29%     17.94%
         290         300        0.0029095495    0.000232730     0.0024615467    0.000193325     0.0034842560    0.000285405       -15.40%     19.75%
         300         310        0.0026902258    0.000215685     0.0022881803    0.000183471     0.0032033972    0.000256978       -14.94%     19.08%
         310         320        0.0015350846    0.000107697     0.0013066208    9.17788e-05     0.0018251766    0.000127950       -14.88%     18.90%
         320         330        0.0012709785    9.76194e-05     0.0010876073    8.24260e-05     0.0015014950    0.000117355       -14.43%     18.14%
         330         340        0.0014433955    0.000111949     0.0012230439    9.42686e-05     0.0017251999    0.000134957       -15.27%     19.52%
         340         350        0.0014103895    0.000108233     0.0011882381    9.03646e-05     0.0016971112    0.000131762       -15.75%     20.33%
         350         360        0.0011558534    0.000133728    0.00097838708    0.000112788     0.0013838236    0.000160806       -15.35%     19.72%
         360         370       0.00092989220    8.87700e-05    0.00077679894    7.33911e-05     0.0011302272    0.000109311       -16.46%     21.54%
         370         380       0.00087077275    8.52345e-05    0.00073040387    7.14978e-05     0.0010528132    0.000103088       -16.12%     20.91%
         380         390       0.00087461548    0.000119269    0.00073020817    9.83354e-05     0.0010632257    0.000147072       -16.51%     21.56%
         390         400       0.00076912967    0.000106424    0.00063781235    8.65129e-05    0.00094326062    0.000133809       -17.07%     22.64%
         400         410       0.00053607332    7.17572e-05    0.00045119191    5.98732e-05    0.00064557035    8.72415e-05       -15.83%     20.43%
         410         420       0.00079902894    0.000140951    0.00066499792    0.000116008    0.00097580382    0.000174479       -16.77%     22.12%
         420         430       0.00058428472    8.29138e-05    0.00047777150    6.64021e-05    0.00072783130    0.000105878       -18.23%     24.57%
         430         440       0.00041196179    8.09613e-05    0.00033894098    6.49247e-05    0.00050975953    0.000103260       -17.73%     23.74%
         440         450       0.00037492981    5.63914e-05    0.00030841360    4.61779e-05    0.00046388402    7.02021e-05       -17.74%     23.73%
         450         460       0.00032960359    4.65067e-05    0.00027290545    3.84760e-05    0.00040429446    5.70880e-05       -17.20%     22.66%
         460         470       0.00045741205    7.18388e-05    0.00037961829    5.94333e-05    0.00055970951    8.81933e-05       -17.01%     22.36%
         470         480       0.00023496206    4.68356e-05    0.00019458884    3.85939e-05    0.00028834112    5.78564e-05       -17.18%     22.72%
         480         490       0.00038669325    9.54066e-05    0.00032213926    7.95900e-05    0.00047165724    0.000116153       -16.69%     21.97%
         490         500       0.00033695666    5.77458e-05    0.00027530170    4.65093e-05    0.00042005009    7.32498e-05       -18.30%     24.66%
         500         510       0.00018795585    2.46668e-05    0.00015377784    2.01276e-05    0.00023386734    3.07993e-05       -18.18%     24.43%
         510         520       0.00020804686    3.81507e-05    0.00016926765    3.10987e-05    0.00026081891    4.77465e-05       -18.64%     25.37%
         520         530       0.00017254209    4.31922e-05    0.00014097181    3.48305e-05    0.00021506872    5.45743e-05       -18.30%     24.65%
         530         540       0.00024182835    5.61620e-05    0.00019611132    4.55915e-05    0.00030418044    7.05831e-05       -18.90%     25.78%
         540         550       0.00019108021    5.69349e-05    0.00015580570    4.67186e-05    0.00023912162    7.08298e-05       -18.46%     25.14%
         550         560       0.00014577682    2.50096e-05    0.00011976679    2.06439e-05    0.00018052792    3.08021e-05       -17.84%     23.84%
         560         570       0.00010382605    2.33557e-05    8.3601433e-05    1.88901e-05    0.00013201659    2.96703e-05       -19.48%     27.15%
