#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           10.411021      0.0484104        9.8740098      0.0453890        10.854886      0.0512396        -5.16%      4.26%
           5          10           9.2119813      0.0662212        8.5938052      0.0582744        9.5655697      0.0669961        -6.71%      3.84%
          10          15           5.6841618      0.0784492        5.3828231      0.0705747        5.8721379      0.0855249        -5.30%      3.31%
          15          20           6.6387036      0.0857218        6.3133693      0.0769203        6.8502574      0.0936664        -4.90%      3.19%
          20          25           7.0521136      0.0836000        6.7403492      0.0749385        7.2461855      0.0914531        -4.42%      2.75%
          25          30           6.4140330      0.0800868        6.1212199      0.0717697        6.6051383      0.0875683        -4.57%      2.98%
          30          35           5.3700825      0.0863380        5.1384510      0.0778852        5.5214766      0.0938602        -4.31%      2.82%
          35          40           4.0819463      0.0728501        3.9304895      0.0660823        4.1801242      0.0788463        -3.71%      2.41%
          40          45           2.7685293      0.0341868        2.6884463      0.0317914        2.8198592      0.0363074        -2.89%      1.85%
          45          50           1.4629472      0.0273055        1.4236665      0.0260846        1.5032682      0.0304606        -2.69%      2.76%
          50          55           1.1323851      0.0256414        1.0949132      0.0232468        1.1788671      0.0286156        -3.31%      4.10%
          55          60          0.76485382      0.0238138       0.74537049      0.0215855       0.78902192      0.0265810        -2.55%      3.16%
          60          65          0.61434976      0.0279993       0.59623468      0.0253656       0.63682060      0.0312682        -2.95%      3.66%
          65          70          0.52657524      0.0452914       0.50787159      0.0410138       0.54977618      0.0505983        -3.55%      4.41%
          70          75          0.37327328      0.0451336       0.36203866      0.0408691       0.38720927      0.0504242        -3.01%      3.73%
          75          80          0.21516557      0.0269285       0.21353797      0.0243876       0.21837275      0.0289984        -0.76%      1.49%
          80          85          0.14739197      0.0355516       0.14620681      0.0397193       0.14840129      0.0328697        -0.80%      0.68%
          85          90          0.24957004      0.0326386       0.23781934      0.0295542       0.26414619      0.0364652        -4.71%      5.84%
          90          95          0.15296583     0.00934052       0.14804617     0.00846555       0.15906842      0.0104269        -3.22%      3.99%
          95         100          0.11573068     0.00889657       0.11253170     0.00806225       0.11972413     0.00976432        -2.76%      3.45%
         100         105         0.080092219     0.00721187      0.078103135     0.00663284      0.083104523     0.00787407        -2.48%      3.76%
         105         110         0.090192105     0.00742389      0.086479314     0.00674891      0.094865843     0.00823199        -4.12%      5.18%
         110         115         0.060088337     0.00721318      0.058533131     0.00654136      0.062426304     0.00800558        -2.59%      3.89%
         115         120         0.056124496     0.00601526      0.054159372     0.00545931      0.058713418     0.00666283        -3.50%      4.61%
         120         125         0.046301550     0.00424133      0.045025542     0.00381832      0.048049368     0.00474885        -2.76%      3.77%
         125         130         0.050040299     0.00817147      0.047555470     0.00741029      0.053112581     0.00905091        -4.97%      6.14%
         130         135         0.037385157     0.00949296      0.035641846     0.00856058      0.039676686      0.0105812        -4.66%      6.13%
         135         140         0.025217322     0.00948682      0.024638683     0.00941061      0.025800104      0.0105986        -2.29%      2.31%
         140         145         0.015365404     0.00780445      0.014901522     0.00790324      0.015999407     0.00763795        -3.02%      4.13%
         145         150         0.041440581      0.0115395      0.038968443      0.0104487      0.044507144      0.0128926        -5.97%      7.40%
         150         155        0.0067915806      0.0113168     0.0060192112      0.0126440     0.0074851017      0.0111050       -11.37%     10.21%
         155         160         0.010335525     0.00407207      0.010202215     0.00454779      0.010442994     0.00368875        -1.29%      1.04%
         160         165         0.016998428     0.00360458      0.015893204     0.00314208      0.018477665     0.00418015        -6.50%      8.70%
         165         170         0.012625687     0.00223347      0.012187645     0.00201154      0.013183771     0.00249901        -3.47%      4.42%
         170         175         0.012855669     0.00197788      0.012335027     0.00175330      0.013521641     0.00225021        -4.05%      5.18%
         175         180        0.0085915790     0.00196212     0.0083346924     0.00173555     0.0090092339     0.00223901        -2.99%      4.86%
         180         185         0.013406534     0.00221611      0.012576060     0.00194193      0.014490845     0.00255464        -6.19%      8.09%
         185         190       0.00094965156     0.00264619    0.00031211023     0.00302766     0.0015044401     0.00233367       -67.13%     58.42%
         190         195        0.0083845358     0.00185700     0.0078847526     0.00165017     0.0090153237     0.00210701        -5.96%      7.52%
         195         200      -0.00098068849     0.00305698    -0.0019129023     0.00348734   -0.00021675633     0.00270344        95.06%    -77.90%
         200         205         0.013881131     0.00301627      0.012433438     0.00266531      0.015715921     0.00344423       -10.43%     13.22%
         205         210        0.0031939445    0.000782872     0.0031485062    0.000871969     0.0032409464    0.000817519        -1.42%      1.47%
         210         215        0.0063198247     0.00119904     0.0059059029     0.00108097     0.0068177816     0.00133890        -6.55%      7.88%
         215         220        0.0028864186     0.00122717     0.0028019151     0.00122243     0.0030200305     0.00122654        -2.93%      4.63%
         220         225        0.0058191603     0.00107846     0.0053172620    0.000938065     0.0064714262     0.00125762        -8.62%     11.21%
         225         230      -0.00043686736     0.00115019   -0.00085957098     0.00133880   -9.1688118e-05     0.00100116        96.76%    -79.01%
         230         235        0.0023896122     0.00126060     0.0023440998     0.00110220     0.0024562895     0.00145265        -1.90%      2.79%
         235         240        0.0044098473     0.00109116     0.0040699171    0.000948344     0.0048399084     0.00126573        -7.71%      9.75%
         240         245        0.0017694281    0.000455906     0.0017067573    0.000576785     0.0018369834    0.000407297        -3.54%      3.82%
         245         250      -0.00043344845     0.00171705   -0.00075064154     0.00198241   -0.00017255479     0.00150211        73.18%    -60.19%
         250         255        0.0012303280     0.00254588     0.0011764981     0.00293790     0.0012803052     0.00222707        -4.38%      4.06%
         255         260        0.0010004969    0.000743830    0.00096176307    0.000830051     0.0010328211    0.000632313        -3.87%      3.23%
         260         265        0.0021784049    0.000331365     0.0019971631    0.000281092     0.0024153817    0.000398391        -8.32%     10.88%
         265         270        0.0057342875     0.00211334     0.0051261602     0.00184509     0.0064807920     0.00244420       -10.61%     13.02%
         270         275        0.0011105605    0.000598292     0.0010154109    0.000580249     0.0012236150    0.000616612        -8.57%     10.18%
         275         280        0.0012740869    0.000325272     0.0012081769    0.000285824     0.0013558710    0.000374668        -5.17%      6.42%
         280         285       0.00070632950    0.000553852    0.00065568110    0.000615915    0.00074716018    0.000504068        -7.17%      5.78%
         285         290        0.0019854182    0.000530079     0.0018413591    0.000459106     0.0021685510    0.000619637        -7.26%      9.22%
         290         295        0.0013054413    0.000168228     0.0012340787    0.000140787     0.0014010862    0.000206169        -5.47%      7.33%
         295         300        0.0031602185     0.00107423     0.0028608492    0.000953661     0.0035201870     0.00121876        -9.47%     11.39%
         300         305      -0.00083318229     0.00109809    -0.0010203628     0.00122592   -0.00067277784    0.000974021        22.47%    -19.25%
