#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           9.8782994       0.217450        9.7399517       0.181301        9.9160598       0.181953        -1.40%      0.38%
           5          10           10.255443       0.172049        9.9074760       0.147286        10.467896       0.197116        -3.39%      2.07%
          10          15           5.8517801       0.134708        5.7341004       0.120270        5.9054147       0.148353        -2.01%      0.92%
          15          20           5.1925148       0.135858        5.0965404       0.122736        5.2470942       0.148009        -1.85%      1.05%
          20          25           5.4729146       0.167900        5.3948381       0.151413        5.5376121       0.196386        -1.43%      1.18%
          25          30           5.3297795       0.183142        5.2705824       0.167459        5.3533801       0.173577        -1.11%      0.44%
          30          35           5.7890007       0.164326        5.7080127       0.151056        5.8582862       0.193208        -1.40%      1.20%
          35          40           4.9153629       0.146045        4.8513165       0.132098        4.9812978       0.137951        -1.30%      1.34%
          40          45           3.4223079       0.113075        3.3726561       0.133404        3.4733483       0.106290        -1.45%      1.49%
          45          50           2.5484936      0.0716817        2.4819253      0.0618905        2.6186734      0.0853057        -2.61%      2.75%
          50          55           1.5709274      0.0491776        1.5267362      0.0416522        1.6161387      0.0598121        -2.81%      2.88%
          55          60           1.1990214      0.0411212        1.1548378      0.0348232        1.2486736      0.0500595        -3.68%      4.14%
          60          65          0.99829581      0.0393168       0.95076869      0.0334797        1.0560611      0.0475373        -4.76%      5.79%
          65          70          0.82769619      0.0412991       0.79344281      0.0353682       0.86836963      0.0496214        -4.14%      4.91%
          70          75          0.62412598      0.0579386       0.60285313      0.0524402       0.65535864      0.0649411        -3.41%      5.00%
          75          80          0.58707179      0.0544400       0.56633458      0.0479712       0.61146883      0.0631468        -3.53%      4.16%
          80          85          0.48594802      0.0325369       0.47477412      0.0277363       0.49725014      0.0393042        -2.30%      2.33%
          85          90          0.27340210      0.0303568       0.26448030      0.0366902       0.27891013      0.0294241        -3.26%      2.01%
          90          95          0.32991712      0.0258007       0.31741816      0.0221795       0.34429496      0.0298418        -3.79%      4.36%
          95         100          0.30158606      0.0233855       0.28546401      0.0208350       0.32240762      0.0267798        -5.35%      6.90%
         100         105          0.12125332      0.0247094       0.10512091      0.0303458       0.13141821      0.0209562       -13.30%      8.38%
         105         110          0.10859551      0.0157038       0.10515067      0.0187248       0.11123508      0.0158156        -3.17%      2.43%
         110         115          0.11139368      0.0157277       0.10658966      0.0137744       0.11774761      0.0183589        -4.31%      5.70%
         115         120         0.099648582      0.0141701      0.096309083      0.0123926       0.10348329      0.0165838        -3.35%      3.85%
         120         125         0.059572323      0.0116139      0.058318288      0.0116700      0.060967679      0.0115635        -2.11%      2.34%
         125         130         0.065712300     0.00783375      0.064106755     0.00664537      0.067504923     0.00952970        -2.44%      2.73%
         130         135         0.070444309     0.00682001      0.065007914     0.00570361      0.077283554     0.00840665        -7.72%      9.71%
         135         140         0.047910446     0.00651246      0.046172937     0.00537945      0.049647664     0.00813278        -3.63%      3.63%
         140         145         0.021009925     0.00706738      0.019939367     0.00844574      0.022096341     0.00706397        -5.10%      5.17%
         145         150         0.034944491     0.00781855      0.033332394     0.00673983      0.036708838     0.00931006        -4.61%      5.05%
         150         155         0.042433630     0.00644742      0.038524986     0.00528308      0.047634599     0.00817384        -9.21%     12.26%
         155         160         0.017172014      0.0122906      0.016800849      0.0109833      0.017818975      0.0122702        -2.16%      3.77%
         160         165         0.039512880      0.0114835      0.036768505      0.0104000      0.042566884      0.0127930        -6.95%      7.73%
         165         170         0.016620431     0.00395473      0.015465407     0.00319047      0.017999310     0.00505902        -6.95%      8.30%
         170         175         0.012661052     0.00485014     0.0099553659     0.00647495      0.014203358     0.00373438       -21.37%     12.18%
         175         180         0.022110527     0.00401629      0.019204923     0.00321037      0.026205538     0.00520807       -13.14%     18.52%
         180         185         0.014696739     0.00303468      0.014026171     0.00244034      0.015439459     0.00388265        -4.56%      5.05%
         185         190         0.015610839     0.00223488      0.013928461     0.00178293      0.017903890     0.00289430       -10.78%     14.69%
         190         195        0.0083399078     0.00208694     0.0078021994     0.00269247     0.0085997302     0.00202233        -6.45%      3.12%
         195         200        0.0069203147     0.00245672     0.0065673768     0.00310504     0.0070793728     0.00200248        -5.10%      2.30%
         200         205         0.016664751     0.00204098      0.014036186     0.00161951      0.020326711     0.00266620       -15.77%     21.97%
         205         210         0.017199863      0.0122844      0.016491653      0.0124764      0.017785000      0.0120519        -4.12%      3.40%
         210         215        -0.010785583      0.0121753     -0.012974115      0.0136590    -0.0091255847      0.0109942        20.29%    -15.39%
         215         220         0.011886631     0.00271404      0.011029657     0.00230611      0.012877266     0.00327274        -7.21%      8.33%
         220         225        0.0051462815     0.00196361     0.0049971053     0.00238658     0.0052553684     0.00204617        -2.90%      2.12%
         225         230         0.011567510     0.00350269      0.010260462     0.00273132      0.013261834     0.00463720       -11.30%     14.65%
         230         235       -0.0050502779     0.00390534    -0.0072355965     0.00507607    -0.0034991343     0.00310963        43.27%    -30.71%
         235         240        0.0072292107     0.00243546     0.0067732747     0.00187548     0.0078058833     0.00328423        -6.31%      7.98%
         240         245        0.0037625625     0.00244879     0.0033018957     0.00315810     0.0040751958     0.00253257       -12.24%      8.31%
         245         250       0.00052501564     0.00244413    0.00038370330     0.00290198    0.00059831271     0.00210582       -26.92%     13.96%
         250         255        0.0065602873     0.00214716     0.0059596933     0.00185085     0.0072960269     0.00255119        -9.15%     11.22%
         255         260        0.0015264063     0.00127992     0.0010500411     0.00163941     0.0018022549     0.00103623       -31.21%     18.07%
         260         265        0.0030376917     0.00123436     0.0027945726    0.000881083     0.0033225300     0.00178401        -8.00%      9.38%
