#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           4.2417164       0.158551        4.1405791       0.188748        4.3472182       0.132704        -2.38%      2.49%
           5          10           8.5923873       0.157905        8.3028419       0.132886        8.7488571       0.183537        -3.37%      1.82%
          10          15           4.9545114       0.101468        4.8077567      0.0890679        5.0483969       0.122514        -2.96%      1.89%
          15          20           4.1991968       0.102382        4.0893151      0.0914979        4.2741916       0.123125        -2.62%      1.79%
          20          25           4.1444782       0.143900        4.0624903       0.128448        4.1907386       0.158186        -1.98%      1.12%
          25          30           4.3846185       0.158799        4.3513840       0.142283        4.4152335       0.152710        -0.76%      0.70%
          30          35           5.5418302       0.153437        5.4342831       0.138322        5.6054703       0.167383        -1.94%      1.15%
          35          40           5.8476710       0.146868        5.7507497       0.132636        5.9080931       0.174259        -1.66%      1.03%
          40          45           4.8140441       0.121878        4.7591236       0.146014        4.8763757       0.113401        -1.14%      1.29%
          45          50           3.8384985      0.0818691        3.7693239      0.0764366        3.8891987      0.0869353        -1.80%      1.32%
          50          55           2.7581620      0.0741731        2.6725710      0.0662883        2.8502471      0.0855851        -3.10%      3.34%
          55          60           1.9075585      0.0763592        1.8511359      0.0688035        1.9672483      0.0870225        -2.96%      3.13%
          60          65           1.4878444      0.0659396        1.4406375      0.0584112        1.5389762      0.0764372        -3.17%      3.44%
          65          70           1.2295998      0.0481069        1.1803258      0.0419407        1.2866517      0.0569269        -4.01%      4.64%
          70          75          0.75738018      0.0444734       0.74646143      0.0389541       0.77462614      0.0511981        -1.44%      2.28%
          75          80          0.68842897      0.0455622       0.66580205      0.0409540       0.71311590      0.0520454        -3.29%      3.59%
          80          85          0.53410919      0.0386097       0.52587853      0.0335154       0.53975648      0.0390005        -1.54%      1.06%
          85          90          0.49062201      0.0374879       0.47148555      0.0330677       0.51361459      0.0422222        -3.90%      4.69%
          90          95          0.44182908      0.0772479       0.42718588      0.0696108       0.45691461      0.0869687        -3.31%      3.41%
          95         100          0.17930255      0.0759314       0.17002205      0.0855139       0.18574288      0.0730809        -5.18%      3.59%
         100         105          0.29119398      0.0356820       0.27961221      0.0325724       0.30468698      0.0400966        -3.98%      4.63%
         105         110          0.16267543      0.0289368       0.15807305      0.0269959       0.16888633      0.0317254        -2.83%      3.82%
         110         115          0.19596992      0.0294722       0.18707884      0.0270212       0.20630664      0.0324280        -4.54%      5.27%
         115         120          0.14437746      0.0198763       0.14095281      0.0229901       0.14539198      0.0197512        -2.37%      0.70%
         120         125          0.15755470      0.0279631       0.14986849      0.0254099       0.16699543      0.0311780        -4.88%      5.99%
         125         130         0.081094689      0.0253238      0.079044839      0.0290749      0.082107637      0.0249930        -2.53%      1.25%
         130         135         0.081992154      0.0139896      0.077560711      0.0124424      0.088331775      0.0161663        -5.40%      7.73%
         135         140          0.12167004      0.0192007       0.11646582      0.0170090       0.12741411      0.0221704        -4.28%      4.72%
         140         145         0.054859636      0.0123619      0.052555180      0.0109802      0.057572889      0.0143317        -4.20%      4.95%
         145         150         0.064194120     0.00858402      0.060953245     0.00710858      0.068196217      0.0107207        -5.05%      6.23%
         150         155         0.058948277      0.0120921      0.056921467      0.0103046      0.061842378      0.0146446        -3.44%      4.91%
         155         160         0.052986712     0.00985898      0.049707576     0.00866041      0.057045729      0.0115344        -6.19%      7.66%
         160         165         0.040095104     0.00708150      0.036796723     0.00605927      0.044855611     0.00854538        -8.23%     11.87%
         165         170         0.055653706      0.0101462      0.051519689     0.00863114      0.060804557      0.0123009        -7.43%      9.26%
         170         175         0.029140232     0.00556004      0.028074396     0.00484912      0.030185657     0.00657930        -3.66%      3.59%
         175         180         0.046429789     0.00778774      0.042951329     0.00680147      0.050791672     0.00915127        -7.49%      9.39%
         180         185         0.038371779      0.0138154      0.034737091      0.0125495      0.043242984      0.0154472        -9.47%     12.69%
         185         190         0.027910455      0.0110663      0.025952042      0.0100085      0.030537132      0.0124093        -7.02%      9.41%
         190         195        0.0097900297     0.00386867     0.0082649676     0.00461420      0.010734809     0.00336620       -15.58%      9.65%
         195         200         0.011913979     0.00390547      0.010239185     0.00503540      0.012952883     0.00315943       -14.06%      8.72%
         200         205         0.016343346     0.00422616      0.015613772     0.00365679      0.017266706     0.00506548        -4.46%      5.65%
         205         210        0.0093623695     0.00340649     0.0089909104     0.00296267     0.0098191795     0.00404613        -3.97%      4.88%
         210         215         0.017798853     0.00624500      0.016101160     0.00553483      0.019912330     0.00719218        -9.54%     11.87%
         215         220        0.0031213826     0.00542856     0.0010642784     0.00636353     0.0044910460     0.00474814       -65.90%     43.88%
         220         225         0.015682028     0.00353914      0.014386990     0.00303033      0.017189526     0.00428505        -8.26%      9.61%
         225         230         0.010266757     0.00381493     0.0096714689     0.00322130      0.011000019     0.00470050        -5.80%      7.14%
         230         235        0.0087293293     0.00320217     0.0085984938     0.00268550     0.0087629028     0.00328366        -1.50%      0.38%
         235         240        0.0034574784     0.00593342     0.0016004864     0.00681693     0.0046764358     0.00527343       -53.71%     35.26%
         240         245        0.0079664462     0.00426184     0.0074018661     0.00378982     0.0086977905     0.00490350        -7.09%      9.18%
         245         250        0.0066186784     0.00264854     0.0061535195     0.00350525     0.0067798510     0.00207115        -7.03%      2.44%
         250         255         0.010066839     0.00277204     0.0093741849     0.00239319      0.010962826     0.00332867        -6.88%      8.90%
         255         260       0.00093016124     0.00246957   -0.00031027020     0.00316702     0.0017930315     0.00201696      -133.36%     92.77%
         260         265        0.0061305912     0.00249566     0.0052535221     0.00250103     0.0069843327     0.00259418       -14.31%     13.93%
         265         270         0.010813353     0.00294323     0.0096973679     0.00244099      0.012232435     0.00367286       -10.32%     13.12%
         270         275        0.0066745183     0.00192616     0.0058731309     0.00164419     0.0077329352     0.00233031       -12.01%     15.86%
         275         280         0.012906497     0.00322399      0.010995539     0.00262191      0.015528484     0.00413275       -14.81%     20.32%
         280         285        0.0015216970     0.00139673     0.0011095332     0.00181187     0.0017864116     0.00115956       -27.09%     17.40%
         285         290        0.0054951199     0.00163633     0.0050255231     0.00136134     0.0059917225     0.00203735        -8.55%      9.04%
         290         295        0.0018870424     0.00264882     0.0010595932     0.00316486     0.0024236374     0.00228263       -43.85%     28.44%
         295         300        0.0052799452     0.00148268     0.0045857848     0.00116257     0.0062957947     0.00197348       -13.15%     19.24%
         300         305        0.0020770034     0.00168932     0.0018905238     0.00148270     0.0023471806     0.00205192        -8.98%     13.01%
         305         310        0.0078076601     0.00596158     0.0060124829     0.00429934      0.010638178     0.00856032       -22.99%     36.25%
         310         315       -0.0074191350     0.00770639     -0.012180813      0.0112334    -0.0044110342     0.00547423        64.18%    -40.55%
         315         320        0.0041727557     0.00150248     0.0034924324     0.00116956     0.0051509674     0.00200827       -16.30%     23.44%
         320         325      -0.00057271546     0.00231113    -0.0013771494     0.00321098   -0.00012252436     0.00173169       140.46%    -78.61%
         325         330         0.011915062     0.00917147      0.010797484     0.00782973      0.013568006      0.0111508        -9.38%     13.87%
         330         335       -0.0020823962     0.00256200    -0.0033542354     0.00316156    -0.0012198719     0.00214183        61.08%    -41.42%
         335         340        0.0033064568     0.00132482     0.0028222799     0.00110745     0.0039720593     0.00162898       -14.64%     20.13%
