#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.33539924      0.0238664       0.25921763      0.0184892       0.41678263      0.0296027       -22.71%     24.26%
          10          15           4.2228578      0.0188473        3.3172681      0.0149217        5.1737365      0.0229763       -21.44%     22.52%
          15          20           4.4689505      0.0169282        3.5688094      0.0137043        5.3971276      0.0202448       -20.14%     20.77%
          20          25           3.2781109      0.0154072        2.6535818      0.0125665        3.9123594      0.0182890       -19.05%     19.35%
          25          30           2.3686390      0.0138676        1.9386936      0.0113695        2.7997938      0.0163745       -18.15%     18.20%
          30          35           1.6716841      0.0136534        1.3823797      0.0113151        1.9585140      0.0159733       -17.31%     17.16%
          35          40           1.2758787      0.0116463        1.0642121     0.00973424        1.4836018      0.0135240       -16.59%     16.28%
          40          45          0.97957564      0.0152512       0.82386802      0.0127064        1.1309301      0.0177355       -15.90%     15.45%
          45          50          0.76736854      0.0161492       0.65125026      0.0134359       0.87912862      0.0187979       -15.13%     14.56%
          50          55          0.66346683      0.0119908       0.56674126      0.0101735       0.75575682      0.0137396       -14.58%     13.91%
          55          60          0.59679708     0.00898729       0.51312398     0.00768778       0.67598025      0.0102285       -14.02%     13.27%
          60          65          0.60480284     0.00833900       0.52328200     0.00723087       0.68129529     0.00939197       -13.48%     12.65%
          65          70          0.65136664      0.0103561       0.56564823     0.00887545       0.73134433      0.0117609       -13.16%     12.28%
          70          75          0.79037312      0.0103972       0.68978821     0.00895033       0.88356586      0.0117671       -12.73%     11.79%
          75          80           1.1774041      0.0107640        1.0283947     0.00935616        1.3152087      0.0120979       -12.66%     11.70%
          80          85           2.1908681      0.0141773        1.9162309      0.0123711        2.4443437      0.0158823       -12.54%     11.57%
          85          90           7.4424589      0.0585242        6.5139961      0.0518713        8.2986783      0.0646143       -12.48%     11.50%
          90          95           9.2279228      0.0621283        8.0785772      0.0550046        10.289246      0.0686635       -12.46%     11.50%
          95         100           1.5178217      0.0235703        1.3372533      0.0207756        1.6831384      0.0261440       -11.90%     10.89%
         100         105           1.0902310      0.0179311       0.96467983      0.0157041        1.2045459      0.0199794       -11.52%     10.49%
         105         110          0.90696406      0.0228149       0.80556744      0.0201862       0.99885904      0.0252132       -11.18%     10.13%
         110         115          0.77669867      0.0269799       0.69139145      0.0239138       0.85372176      0.0297660       -10.98%      9.92%
         115         120          0.63186491      0.0241249       0.56460655      0.0214314       0.69227724      0.0265712       -10.64%      9.56%
         120         125          0.48413044      0.0176497       0.43362875      0.0158530       0.52934819      0.0192626       -10.43%      9.34%
         125         130          0.44264871     0.00770724       0.39746377     0.00680653       0.48292465     0.00855455       -10.21%      9.10%
         130         135          0.37865637     0.00745153       0.34118036     0.00669135       0.41187588     0.00814448        -9.90%      8.77%
         135         140          0.33688835     0.00987297       0.30411591     0.00887244       0.36586696      0.0107632        -9.73%      8.60%
         140         145          0.30698774      0.0126370       0.27832238      0.0117007       0.33214620      0.0134288        -9.34%      8.20%
         145         150          0.23789882      0.0122201       0.21567149      0.0113340       0.25741793      0.0129655        -9.34%      8.20%
         150         155          0.25375183      0.0139271       0.23067312      0.0127212       0.27390899      0.0149762        -9.09%      7.94%
         155         160          0.21687849     0.00783804       0.19836147     0.00716739       0.23287476     0.00842943        -8.54%      7.38%
         160         165          0.20444976     0.00845289       0.18642130     0.00771021       0.22011071     0.00912241        -8.82%      7.66%
         165         170          0.19035485      0.0134725       0.17499491      0.0123110       0.20347363      0.0144946        -8.07%      6.89%
         170         175          0.20953056     0.00548545       0.19231235     0.00507922       0.22428924     0.00583233        -8.22%      7.04%
         175         180          0.22008027     0.00824290       0.20232489     0.00763452       0.23523385     0.00875718        -8.07%      6.89%
         180         185          0.27055712     0.00813686       0.24919584     0.00742622       0.28872675     0.00876327        -7.90%      6.72%
         185         190          0.33915660      0.0194103       0.31237702      0.0178816       0.36191825      0.0207215        -7.90%      6.71%
         190         195          0.30251460      0.0211080       0.27898648      0.0193948       0.32245275      0.0225844        -7.78%      6.59%
         195         200          0.30109284     0.00924361       0.27800162     0.00853365       0.32060603     0.00984834        -7.67%      6.48%
         200         205          0.27466341      0.0117920       0.25421145      0.0108041       0.29187820      0.0126478        -7.45%      6.27%
         205         210          0.33030578      0.0259807       0.30572508      0.0239076       0.35097993      0.0277492        -7.44%      6.26%
         210         215          0.23486822      0.0262999       0.21825841      0.0241869       0.24872222      0.0281079        -7.07%      5.90%
         215         220          0.24347113     0.00847415       0.22701270     0.00778301       0.25708728     0.00909551        -6.76%      5.59%
         220         225          0.29154808      0.0464467       0.27135538      0.0430101       0.30833518      0.0493530        -6.93%      5.76%
         225         230          0.14643807      0.0462413       0.13649802      0.0428200       0.15464338      0.0491346        -6.79%      5.60%
         230         235          0.19387135     0.00616930       0.18138359     0.00574294       0.20409695     0.00653584        -6.44%      5.27%
         235         240          0.17522507     0.00585688       0.16392933     0.00551863       0.18448828     0.00613503        -6.45%      5.29%
         240         245          0.17072697     0.00653632       0.15993437     0.00614470       0.17953108     0.00685521        -6.32%      5.16%
         245         250          0.16951452      0.0123157       0.15621156     0.00989859       0.18076894      0.0146677        -7.85%      6.64%
         250         255          0.13909948     0.00559842       0.13126281     0.00494655       0.14536045     0.00622756        -5.63%      4.50%
         255         260          0.14511580     0.00845248       0.13680367     0.00798660       0.15178066     0.00882557        -5.73%      4.59%
         260         265          0.11921714      0.0122497       0.11434369      0.0100519       0.12278379      0.0144149        -4.09%      2.99%
         265         270          0.11961574     0.00662817       0.11291748     0.00626014       0.12495973     0.00692294        -5.60%      4.47%
         270         275          0.12012365      0.0102465       0.11285150     0.00928357       0.12601857      0.0110955        -6.05%      4.91%
         275         280         0.099635013     0.00881327      0.094536217     0.00787151       0.10361401     0.00965486        -5.12%      3.99%
         280         285         0.096706412     0.00594070      0.091517836     0.00561377       0.10080804     0.00620087        -5.37%      4.24%
         285         290         0.087021585     0.00455678      0.082790310     0.00430798      0.090302954     0.00476085        -4.86%      3.77%
         290         295         0.088642716     0.00408538      0.084098343     0.00390624      0.092198025     0.00422215        -5.13%      4.01%
         295         300         0.091708128     0.00796527      0.087228554     0.00762652      0.095171088     0.00821768        -4.88%      3.78%
         300         305         0.077877611     0.00422224      0.074067405     0.00399271      0.080836785     0.00440780        -4.89%      3.80%
         305         310         0.076388071     0.00436339      0.072992773     0.00417503      0.078967626     0.00450595        -4.44%      3.38%
         310         315         0.067242411     0.00371831      0.064101087     0.00354616      0.069651704     0.00385317        -4.67%      3.58%
         315         320         0.066886022     0.00629613      0.063788173     0.00604872      0.069259466     0.00647858        -4.63%      3.55%
         320         325         0.044773645     0.00664717      0.042825108     0.00633059      0.046253411     0.00688939        -4.35%      3.30%
         325         330         0.054556201     0.00315539      0.052221092     0.00301306      0.056311803     0.00326527        -4.28%      3.22%
         330         335         0.056134988     0.00430465      0.053801393     0.00412595      0.057879559     0.00443677        -4.16%      3.11%
         335         340         0.051893622     0.00294293      0.049782003     0.00283730      0.053457903     0.00301814        -4.07%      3.01%
         340         345         0.056554672      0.0106147      0.054900140      0.0107530      0.057688587      0.0104287        -2.93%      2.00%
         345         350         0.046530942     0.00348003      0.044713374     0.00333731      0.047872539     0.00358749        -3.91%      2.88%
         350         355         0.039370813     0.00368073      0.037936969     0.00355094      0.040406121     0.00377317        -3.64%      2.63%
         355         360         0.041567606     0.00307435      0.040017148     0.00295386      0.042692382     0.00316402        -3.73%      2.71%
         360         365         0.039281639     0.00284656      0.037891319     0.00275177      0.040275199     0.00291479        -3.54%      2.53%
         365         370         0.034753788     0.00253336      0.033500304     0.00244262      0.035657749     0.00259827        -3.61%      2.60%
         370         375         0.035676829     0.00264414      0.034521641     0.00254678      0.036479017     0.00271495        -3.24%      2.25%
         375         380         0.034366194     0.00252185      0.033252683     0.00245220      0.035143993     0.00256749        -3.24%      2.26%
         380         385         0.039931580     0.00970306      0.038410652     0.00934720      0.041042582     0.00996188        -3.81%      2.78%
         385         390         0.034765171     0.00375659      0.033826145     0.00364616      0.035374727     0.00383528        -2.70%      1.75%
         390         395         0.022778902     0.00987362      0.022204911     0.00952957      0.023142576      0.0101192        -2.52%      1.60%
         395         400         0.022203636     0.00405533      0.021540736     0.00395689      0.022655601     0.00411595        -2.99%      2.04%
         400         405         0.027973284     0.00264168      0.027127610     0.00260231      0.028548450     0.00265992        -3.02%      2.06%
         405         410         0.024040963     0.00218752      0.023520715     0.00211962      0.024349103     0.00223754        -2.16%      1.28%
         410         415         0.023503300     0.00199487      0.022841743     0.00194567      0.023946261     0.00202641        -2.81%      1.88%
         415         420         0.019654827     0.00179876      0.019085414     0.00175405      0.020038296     0.00182708        -2.90%      1.95%
         420         425         0.022785621     0.00170256      0.022165666     0.00165872      0.023190846     0.00173130        -2.72%      1.78%
         425         430         0.023996598     0.00229145      0.023424424     0.00225463      0.024353081     0.00231096        -2.38%      1.49%
         430         435         0.020946933     0.00271752      0.020413745     0.00269084      0.021285653     0.00272374        -2.55%      1.62%
