#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           17.194097      0.0254706        14.441671      0.0215060        19.910535      0.0294822       -16.01%     15.80%
          10          20           6.8277539      0.0216850        6.0281428      0.0190915        7.5606710      0.0240814       -11.71%     10.73%
          20          30           2.4546366      0.0122978        2.2003520      0.0109514        2.6835733      0.0135344       -10.36%      9.33%
          30          40          0.86555459     0.00679098       0.79918219     0.00633401       0.92247892     0.00718155        -7.67%      6.58%
          40          50          0.48748081     0.00735741       0.45597674     0.00719185       0.51358453     0.00747958        -6.46%      5.35%
          50          60          0.32981866     0.00383528       0.31077591     0.00362354       0.34525318     0.00401046        -5.77%      4.68%
          60          70          0.22576180     0.00244707       0.21342521     0.00231299       0.23565197     0.00256170        -5.46%      4.38%
          70          80          0.15075420     0.00318393       0.14266337     0.00298503       0.15722874     0.00334928        -5.37%      4.29%
          80          90         0.081705224     0.00629245      0.078048160     0.00623296      0.084540802     0.00631818        -4.48%      3.47%
          90         100         0.019985132     0.00191205      0.019282876     0.00181181      0.020500827     0.00199135        -3.51%      2.58%
         100         110        0.0097795894    0.000741848     0.0096131018    0.000718866     0.0098739751    0.000758297        -1.70%      0.97%
         110         120        0.0057549348    0.000360151     0.0056475235    0.000359283     0.0058173920    0.000359340        -1.87%      1.09%
         120         130        0.0041317209    0.000256748     0.0040742517    0.000255744     0.0041591247    0.000256789        -1.39%      0.66%
         130         140        0.0029065577    0.000248133     0.0028785195    0.000247020     0.0029146292    0.000248043        -0.96%      0.28%
         140         150        0.0017410308    0.000155189     0.0017309559    0.000153044     0.0017415715    0.000156918        -0.58%      0.03%
         150         160        0.0016295168    0.000143229     0.0016164178    0.000141159     0.0016342588    0.000144882        -0.80%      0.29%
         160         170        0.0013118346    0.000151500     0.0012961121    0.000149979     0.0013220550    0.000152280        -1.20%      0.78%
         170         180        0.0010339560    0.000101691     0.0010168194    0.000101360     0.0010472088    0.000101464        -1.66%      1.28%
         180         190       0.00079438331    0.000113576    0.00077619849    0.000113323    0.00081108381    0.000113220        -2.29%      2.10%
         190         200       0.00058594362    8.65176e-05    0.00057111475    8.54656e-05    0.00059963962    8.71809e-05        -2.53%      2.34%
         200         210       0.00044651579    5.77689e-05    0.00043313436    5.61545e-05    0.00045949574    5.93605e-05        -3.00%      2.91%
         210         220       0.00023025454    1.80395e-05    0.00022173808    1.73651e-05    0.00023885569    1.87471e-05        -3.70%      3.74%
         220         230       0.00031054947    0.000127159    0.00029477164    0.000113509    0.00032836756    0.000144087        -5.08%      5.74%
         230         240       0.00043803285    0.000271583    0.00043521936    0.000274948    0.00043868073    0.000265883        -0.64%      0.15%
         240         250       0.00011460485    3.55238e-05    0.00011026729    3.41035e-05    0.00011912738    3.70148e-05        -3.78%      3.95%
         250         260       0.00021304092    6.44444e-05    0.00020897635    6.32928e-05    0.00021632134    6.55999e-05        -1.91%      1.54%
         260         270       0.00014086518    2.25585e-05    0.00013423846    2.18112e-05    0.00014809072    2.34330e-05        -4.70%      5.13%
         270         280       7.8520124e-05    1.77359e-05    7.5413486e-05    1.67721e-05    8.1717521e-05    1.87994e-05        -3.96%      4.07%
         280         290      -2.1554670e-05    0.000117295   -2.7631695e-05    0.000127644   -1.6640508e-05    0.000108302        28.19%    -22.80%
         290         300       0.00022640227    0.000117650    0.00021216590    0.000108636    0.00024238949    0.000128031        -6.29%      7.06%
         300         310       2.0036300e-05    5.15327e-06    1.8715359e-05    4.77313e-06    2.1541650e-05    5.59309e-06        -6.59%      7.51%
         310         320       2.9527720e-05    8.97330e-06    2.8323641e-05    8.48754e-06    3.0739888e-05    9.54011e-06        -4.08%      4.11%
