#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           89.813745       0.863112        86.698599       0.745630        90.846541       0.902399        -3.47%      1.15%
        0.15         0.3           91.257459        1.40138        87.998177        1.22115        92.446754        1.55232        -3.57%      1.30%
         0.3        0.45           89.917392        1.49940        86.684302        1.29928        91.010753        1.65803        -3.60%      1.22%
        0.45         0.6           88.110238        1.16920        85.147583        1.00641        89.137097        1.22543        -3.36%      1.17%
         0.6        0.75           89.789640       0.989534        86.548258       0.851068        90.977880        1.08572        -3.61%      1.32%
        0.75         0.9           87.670519        1.21318        84.720698        1.05119        88.700271        1.25985        -3.36%      1.17%
         0.9        1.05           88.589606        1.30942        85.418531        1.14422        89.772046        1.44510        -3.58%      1.33%
        1.05         1.2           86.522528        1.24010        83.451047        1.07894        87.603996        1.37215        -3.55%      1.25%
         1.2        1.35           87.101367        1.14343        83.790163       0.981919        88.366261        1.21056        -3.80%      1.45%
        1.35         1.5           82.011384       0.968192        79.445833       0.829217        82.832698        1.05145        -3.13%      1.00%
         1.5        1.65           84.517639       0.874215        81.281776       0.763492        85.755960       0.982036        -3.83%      1.47%
        1.65         1.8           83.227567        1.11268        80.150437       0.966453        84.335951        1.23139        -3.70%      1.33%
         1.8        1.95           79.970168        1.09815        76.978847       0.951457        81.128419        1.13893        -3.74%      1.45%
        1.95         2.1           78.159404       0.931135        75.303587       0.814322        79.191225        1.04397        -3.65%      1.32%
         2.1        2.25           75.519776        1.06616        72.730014       0.922409        76.530522        1.20912        -3.69%      1.34%
        2.25         2.4           73.648460        1.41821        70.857137        1.26593        74.725927        1.56188        -3.79%      1.46%
         2.4        2.55           72.214755        1.49807        69.334266        1.30743        73.445357        1.68390        -3.99%      1.70%
        2.55         2.7           67.263322        1.12398        64.751707       0.984142        68.311916        1.16797        -3.73%      1.56%
         2.7        2.85           68.195736        1.00878        65.221019       0.913373        69.666306        1.10078        -4.36%      2.16%
        2.85           3           61.645695       0.812313        59.184496       0.710947        62.761572       0.842327        -3.99%      1.81%
           3        3.15           61.693901       0.790903        58.840533       0.705149        63.184257       0.876252        -4.63%      2.42%
        3.15         3.3           56.368957       0.793455        53.865657       0.707153        57.597942       0.879777        -4.44%      2.18%
         3.3        3.45           50.592751       0.719555        48.354789       0.629404        51.700954       0.743784        -4.42%      2.19%
        3.45         3.6           45.713985       0.654848        43.685921       0.577607        46.767091       0.684081        -4.44%      2.30%
         3.6        3.75           43.163392       0.589521        41.017575       0.523134        44.337304       0.654747        -4.97%      2.72%
        3.75         3.9           36.358226       0.745555        34.637818       0.616664        37.262440       0.854368        -4.73%      2.49%
         3.9        4.05           31.767823       0.581343        30.274086       0.516215        32.546140       0.595341        -4.70%      2.45%
        4.05         4.2           26.386825       0.581839        25.020252       0.522552        27.230790       0.586388        -5.18%      3.20%
         4.2        4.35           22.136772       0.486026        21.020980       0.422412        22.751088       0.511941        -5.04%      2.78%
