#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           16.980908      0.0369694        15.835641      0.0396162        17.904176      0.0349240        -6.74%      5.44%
          10          20           7.5075176      0.0268660        6.7831012      0.0243612        8.2486089      0.0295196        -9.65%      9.87%
          20          30           2.8993377      0.0107965        2.6554977     0.00998769        3.1890930      0.0118959        -8.41%      9.99%
          30          40           1.4572036     0.00624177        1.3356970     0.00575618        1.6079264     0.00685498        -8.34%     10.34%
          40          50          0.82960443     0.00411508       0.75703592     0.00378004       0.91962202     0.00453653        -8.75%     10.85%
          50          60          0.52448373     0.00556017       0.47779196     0.00544177       0.58240253     0.00571937        -8.90%     11.04%
          60          70          0.35740269     0.00221955       0.32500376     0.00202781       0.39759193     0.00245948        -9.07%     11.24%
          70          80          0.24924958     0.00172443       0.22644403     0.00157251       0.27753872     0.00191418        -9.15%     11.35%
          80          90          0.17926161     0.00141766       0.16281301     0.00129477       0.19966526     0.00157139        -9.18%     11.38%
          90         100          0.13238290     0.00110600       0.12017347     0.00100544       0.14752807     0.00123122        -9.22%     11.44%
         100         110         0.098567839    0.000916632      0.089436597    0.000832417       0.10989469     0.00102140        -9.26%     11.49%
         110         120         0.076284514    0.000841523      0.069255034    0.000774329      0.085004229    0.000926189        -9.21%     11.43%
         120         130         0.059611892    0.000678760      0.054059405    0.000612051      0.066487546    0.000757391        -9.31%     11.53%
         130         140         0.047895666    0.000600414      0.043231341    0.000538140      0.053424854    0.000669640        -9.74%     11.54%
         140         150         0.038677887    0.000541890      0.034757772    0.000484235      0.043170964    0.000610549       -10.14%     11.62%
         150         160         0.030580038    0.000452836      0.027350358    0.000403255      0.034321174    0.000512494       -10.56%     12.23%
         160         170         0.026229341    0.000510956      0.023434640    0.000474557      0.029482381    0.000555975       -10.65%     12.40%
         170         180         0.020945606    0.000418464      0.018607331    0.000368604      0.023694238    0.000479207       -11.16%     13.12%
         180         190         0.017302277    0.000342071      0.015317578    0.000300501      0.019650498    0.000392728       -11.47%     13.57%
         190         200         0.014041348    0.000334747      0.012394364    0.000290925      0.016001839    0.000389286       -11.73%     13.96%
         200         210         0.011736921    0.000270582      0.010312043    0.000236400      0.013447491    0.000312662       -12.14%     14.57%
         210         220         0.010128533    0.000259399     0.0088872930    0.000228904      0.011624914    0.000297264       -12.25%     14.77%
         220         230        0.0082473751    0.000224582     0.0071938672    0.000194090     0.0095325538    0.000263205       -12.77%     15.58%
         230         240        0.0070969635    0.000200864     0.0061908789    0.000174222     0.0081989832    0.000233854       -12.77%     15.53%
         240         250        0.0067333481    0.000218819     0.0058342078    0.000186446     0.0078416452    0.000260740       -13.35%     16.46%
         250         260        0.0053252585    0.000177772     0.0046135169    0.000152819     0.0062023053    0.000209595       -13.37%     16.47%
         260         270        0.0048344294    0.000161013     0.0041855066    0.000138720     0.0056352544    0.000188998       -13.42%     16.57%
         270         280        0.0041260068    0.000155368     0.0035447110    0.000131579     0.0048538944    0.000186256       -14.09%     17.64%
         280         290        0.0037063626    0.000144087     0.0031853239    0.000123407     0.0043580132    0.000170302       -14.06%     17.58%
         290         300        0.0030669240    0.000119350     0.0026289444    0.000101763     0.0036167847    0.000141889       -14.28%     17.93%
         300         310        0.0027921841    0.000131315     0.0023935849    0.000111971     0.0032923992    0.000156011       -14.28%     17.91%
         310         320        0.0026405698    0.000125964     0.0022559596    0.000107152     0.0031266465    0.000150175       -14.57%     18.41%
         320         330        0.0020401228    9.89629e-05     0.0017429244    8.41948e-05     0.0024156113    0.000117964       -14.57%     18.41%
         330         340        0.0018203902    9.23634e-05     0.0015468876    7.77882e-05     0.0021690939    0.000111419       -15.02%     19.16%
         340         350        0.0017729611    0.000105132     0.0015045356    8.86750e-05     0.0021152154    0.000126473       -15.14%     19.30%
