#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           8.9550794      0.0568754        8.4593659      0.0667886        9.2955727      0.0533919        -5.54%      3.80%
           5          10           9.1241740      0.0708617        8.5928826      0.0624925        9.4418621      0.0720155        -5.82%      3.48%
          10          15           6.0988136      0.0793502        5.7211256      0.0713809        6.3556131      0.0865603        -6.19%      4.21%
          15          20           5.5558087      0.0898553        5.2588043      0.0798333        5.7586624      0.0990069        -5.35%      3.65%
          20          25           5.3097803       0.115812        5.0730821       0.102962        5.4584552       0.127521        -4.46%      2.80%
          25          30           5.5144167       0.130064        5.2843121       0.115807        5.6554513       0.143026        -4.17%      2.56%
          30          35           5.3422105       0.112150        5.1459183       0.100053        5.4514619       0.123153        -3.67%      2.05%
          35          40           4.5912101      0.0928801        4.4545250      0.0833124        4.6662173      0.0928819        -2.98%      1.63%
          40          45           3.4939803      0.0721791        3.3706122      0.0653997        3.5850707      0.0792835        -3.53%      2.61%
          45          50           2.1067406      0.0360293        2.0127580      0.0336974        2.2036487      0.0395232        -4.46%      4.60%
          50          55           1.4693349      0.0257766        1.3996013      0.0236347        1.5558359      0.0284661        -4.75%      5.89%
          55          60           1.0009207      0.0244281       0.95698954      0.0222850        1.0554151      0.0271058        -4.39%      5.44%
          60          65          0.80439728      0.0235069       0.77072635      0.0214057       0.84616437      0.0261276        -4.19%      5.19%
          65          70          0.71524890      0.0220029       0.68595251      0.0202785       0.75158959      0.0241790        -4.10%      5.08%
          70          75          0.54910047      0.0225370       0.53009828      0.0210646       0.57267172      0.0244216        -3.46%      4.29%
          75          80          0.50153106      0.0202090       0.48174201      0.0188342       0.52607839      0.0219634        -3.95%      4.89%
          80          85          0.40756830      0.0176479       0.39310887      0.0161395       0.42550448      0.0195371        -3.55%      4.40%
          85          90          0.32570416      0.0201283       0.31294105      0.0187729       0.34153615      0.0218594        -3.92%      4.86%
          90          95          0.25526059      0.0154863       0.24300908      0.0141576       0.27045796      0.0171499        -4.80%      5.95%
          95         100          0.19237600      0.0120666       0.18257619      0.0109662       0.20453218      0.0134364        -5.09%      6.32%
         100         105          0.15897287      0.0129626       0.14942259      0.0117942       0.17081951      0.0144188        -6.01%      7.45%
         105         110          0.11108129      0.0117249       0.10462433      0.0106458       0.11909083      0.0130671        -5.81%      7.21%
         110         115         0.079714849     0.00816253      0.075260581     0.00742546      0.085240144     0.00908099        -5.59%      6.93%
         115         120          0.10298143      0.0123558      0.095884081      0.0111955       0.11178534      0.0137962        -6.89%      8.55%
         120         125         0.058701974      0.0112510      0.054866420      0.0106839      0.063331427      0.0118224        -6.53%      7.89%
         125         130         0.050817933     0.00436478      0.047458043     0.00401513      0.054821804     0.00477983        -6.61%      7.88%
         130         135         0.041732589     0.00525159      0.038897504     0.00475905      0.045111367     0.00583168        -6.79%      8.10%
         135         140         0.041210737     0.00467298      0.038394144     0.00422373      0.044570245     0.00520502        -6.83%      8.15%
         140         145         0.032864966     0.00282867      0.030551145     0.00259039      0.035618294     0.00310554        -7.04%      8.38%
         145         150         0.035313479     0.00292444      0.032791754     0.00276692      0.038339829     0.00311332        -7.14%      8.57%
         150         155         0.022082855     0.00260516      0.020227319     0.00248986      0.024333902     0.00274912        -8.40%     10.19%
