#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           43.055433      0.0330548        40.869862      0.0272978        44.435822      0.0374888        -5.08%      3.21%
           6           8           20.351935      0.0224575        19.281806      0.0187879        20.998126      0.0252615        -5.26%      3.18%
           8          10           11.573291      0.0164623        10.962695      0.0139218        11.932431      0.0183632        -5.28%      3.10%
          10          12           7.3639656      0.0126160        6.9729533      0.0107436        7.5911933      0.0140074        -5.31%      3.09%
          12          14           5.0155189      0.0101973        4.7521876     0.00873313        5.1653357      0.0112638        -5.25%      2.99%
          14          16           3.5964135     0.00825892        3.4069829     0.00711936        3.7040000     0.00909187        -5.27%      2.99%
          16          18           2.6927140     0.00696877        2.5521098     0.00603115        2.7708519     0.00763317        -5.22%      2.90%
          18          20           2.0696035     0.00578899        1.9632278     0.00502903        2.1278333     0.00634356        -5.14%      2.81%
          20          22           1.6560599     0.00506628        1.5705278     0.00441518        1.7041346     0.00589194        -5.16%      2.90%
          22          24           1.3569291     0.00441357        1.2883490     0.00386504        1.3954631     0.00511773        -5.05%      2.84%
          24          26           1.1444893     0.00396443        1.0859442     0.00348264        1.1786356     0.00458592        -5.12%      2.98%
          26          28           1.0001094     0.00364038       0.94941558     0.00321815        1.0300430     0.00419374        -5.07%      2.99%
          28          30          0.88799176     0.00331945       0.84427451     0.00293501       0.91354262     0.00383455        -4.92%      2.88%
          30          32          0.81562877     0.00319500       0.77637319     0.00284142       0.83871849     0.00367286        -4.81%      2.83%
          32          34          0.76449970     0.00299658       0.72730408     0.00267316       0.78697871     0.00344462        -4.87%      2.94%
          34          36          0.73560647     0.00294092       0.70009938     0.00263187       0.75718106     0.00337324        -4.83%      2.93%
          36          38          0.72383026     0.00297031       0.68929657     0.00267768       0.74486816     0.00338999        -4.77%      2.91%
          38          40          0.72733806     0.00294608       0.69283020     0.00266157       0.74844828     0.00336477        -4.74%      2.90%
          40          42          0.74557380     0.00304246       0.70998991     0.00274612       0.76764520     0.00347491        -4.77%      2.96%
          42          44          0.76260773     0.00298566       0.72600397     0.00268654       0.78557091     0.00342913        -4.80%      3.01%
          44          46          0.79793297     0.00312323       0.75966062     0.00281754       0.82197379     0.00358007        -4.80%      3.01%
          46          48          0.83323702     0.00323428       0.79491734     0.00291517       0.85662477     0.00372138        -4.60%      2.81%
          48          50          0.88588047     0.00337138       0.84431413     0.00303782       0.91154063     0.00387401        -4.69%      2.90%
          50          52          0.93303149     0.00347680       0.88922456     0.00314717       0.96035020     0.00398286        -4.70%      2.93%
          52          54          0.99583782     0.00362696       0.94884496     0.00327674        1.0251870     0.00416720        -4.72%      2.95%
          54          56           1.0641438     0.00385155        1.0131162     0.00348915        1.0965975     0.00440210        -4.80%      3.05%
          56          58           1.1422918     0.00404935        1.0894136     0.00368339        1.1750984     0.00462543        -4.63%      2.87%
          58          60           1.2210435     0.00415280        1.1637106     0.00375042        1.2567099     0.00477175        -4.70%      2.92%
          60          62           1.3101351     0.00434342        1.2488402     0.00392123        1.3483646     0.00498852        -4.68%      2.92%
          62          64           1.4035543     0.00454028        1.3388759     0.00410572        1.4434701     0.00522187        -4.61%      2.84%
          64          66           1.5027575     0.00473804        1.4339317     0.00428807        1.5449716     0.00543903        -4.58%      2.81%
          66          68           1.5990035     0.00486927        1.5244556     0.00440522        1.6453263     0.00558731        -4.66%      2.90%
          68          70           1.7085699     0.00505478        1.6299411     0.00457830        1.7573591     0.00579667        -4.60%      2.86%
          70          72           1.8133485     0.00515190        1.7277642     0.00466069        1.8670443     0.00591418        -4.72%      2.96%
          72          74           1.9208565     0.00524934        1.8305179     0.00475998        1.9777812     0.00600876        -4.70%      2.96%
          74          76           2.0025534     0.00528227        1.9110991     0.00479962        2.0592920     0.00604323        -4.57%      2.83%
          76          78           2.0633060     0.00519147        1.9682376     0.00472519        2.1229922     0.00592091        -4.61%      2.89%
          78          80           2.0788154     0.00498615        1.9839160     0.00454126        2.1385267     0.00567445        -4.57%      2.87%
          80          82           2.0270749     0.00463981        1.9378604     0.00424004        2.0824003     0.00524325        -4.40%      2.73%
          82          84           1.8686236     0.00410832        1.7885633     0.00378480        1.9189447     0.00458911        -4.28%      2.69%
          84          86           1.6357887     0.00365111        1.5714138     0.00345157        1.6768750     0.00395940        -3.94%      2.51%
          86          88           1.7476115     0.00433720        1.6932351     0.00424151        1.7888722     0.00471057        -3.11%      2.36%
          88          90           4.2776960     0.00881113        4.1634127     0.00874285        4.3910808     0.00960555        -2.67%      2.65%
          90          92           12.832450      0.0190788        12.510988      0.0189409        13.178258      0.0207553        -2.51%      2.69%
          92          94           5.6896255      0.0137137        5.5421747      0.0136290        5.8405652      0.0149088        -2.59%      2.65%
          94          96           1.7177005     0.00857735        1.6742529     0.00867903        1.7629964     0.00937352        -2.53%      2.64%
          96          98          0.79706899     0.00514376       0.77535919     0.00511942       0.81722094     0.00557066        -2.72%      2.53%
          98         100          0.48317533     0.00387374       0.47197150     0.00381823       0.49601266     0.00419107        -2.32%      2.66%
         100         102          0.32252213     0.00314873       0.31356837     0.00309490       0.33049685     0.00340811        -2.78%      2.47%
         102         104          0.23737957     0.00263075       0.23122118     0.00257467       0.24321164     0.00284872        -2.59%      2.46%
         104         106          0.18628619     0.00223035       0.18145867     0.00219725       0.19096072     0.00241014        -2.59%      2.51%
         106         108          0.14569149     0.00202319       0.14190859     0.00198722       0.14931491     0.00219430        -2.60%      2.49%
         108         110          0.12328367     0.00171353       0.11955989     0.00168172       0.12626471     0.00184825        -3.02%      2.42%
         110         112          0.10188916     0.00182154      0.099384916     0.00180751       0.10431088     0.00198634        -2.46%      2.38%
         112         114         0.092994210     0.00147560      0.090325839     0.00144460      0.095296630     0.00159124        -2.87%      2.48%
         114         116         0.075857663     0.00121264      0.074094633     0.00118038      0.077468023     0.00129679        -2.32%      2.12%
         116         118         0.071396313     0.00133058      0.069834718     0.00134183      0.073238282     0.00144233        -2.19%      2.58%
         118         120         0.062956473     0.00134797      0.061307526     0.00133931      0.064440918     0.00146753        -2.62%      2.36%
         120         122         0.056666305     0.00110547      0.055049265     0.00106170      0.058017565     0.00119348        -2.85%      2.38%
         122         124         0.051120275     0.00106263      0.049789030     0.00104411      0.052410727     0.00114941        -2.60%      2.52%
         124         126         0.047033610     0.00109992      0.045940959     0.00109588      0.048226344     0.00119580        -2.32%      2.54%
         126         128         0.043006049    0.000869991      0.041835928    0.000844763      0.044025269    0.000934746        -2.72%      2.37%
         128         130         0.044107267     0.00496445      0.042884204     0.00450024      0.045624414     0.00554094        -2.77%      3.44%
         130         132         0.036133719    0.000811863      0.035263951    0.000787698      0.036973301    0.000873910        -2.41%      2.32%
         132         134         0.034493690     0.00133344      0.033718440     0.00134435      0.035373762     0.00147095        -2.25%      2.55%
         134         136         0.032319146    0.000716537      0.031486839    0.000698067      0.033088945    0.000765624        -2.58%      2.38%
         136         138         0.029790294    0.000681418      0.029170391    0.000643051      0.030559253    0.000731010        -2.08%      2.58%
         138         140         0.026555805    0.000595738      0.025991396    0.000586665      0.027194137    0.000635518        -2.13%      2.40%
         140         142         0.026061146    0.000712251      0.025432668    0.000710255      0.026729562    0.000768832        -2.41%      2.56%
         142         144         0.023642241    0.000621716      0.023184435    0.000585614      0.024210126    0.000668291        -1.94%      2.40%
         144         146         0.022310793    0.000667536      0.021813710    0.000622236      0.022927398    0.000725356        -2.23%      2.76%
         146         148         0.020735396    0.000593791      0.020282318    0.000577028      0.021171867    0.000638662        -2.19%      2.10%
         148         150         0.019556579    0.000650917      0.019226014    0.000607263      0.019966627    0.000706684        -1.69%      2.10%
         150         152         0.019338971    0.000863383      0.018894633    0.000792991      0.019890151    0.000951920        -2.30%      2.85%
         152         154         0.018275144    0.000521864      0.017929683    0.000492180      0.018703670    0.000560208        -1.89%      2.34%
         154         156         0.017535141    0.000571210      0.017174444    0.000534634      0.017982567    0.000618090        -2.06%      2.55%
         156         158         0.015586418    0.000406529      0.015274442    0.000402956      0.015938949    0.000430214        -2.00%      2.26%
         158         160         0.017269221    0.000574324      0.016866364    0.000535911      0.017768945    0.000623405        -2.33%      2.89%
         160         162         0.015664194    0.000447769      0.015351154    0.000424908      0.016052506    0.000477492        -2.00%      2.48%
         162         164         0.013918802    0.000396312      0.013665240    0.000393704      0.014222609    0.000422047        -1.82%      2.18%
         164         166         0.013281679    0.000457748      0.013014974    0.000428462      0.013612513    0.000495285        -2.01%      2.49%
         166         168         0.013535991    0.000544097      0.013238648    0.000503587      0.013904831    0.000595436        -2.20%      2.72%
         168         170         0.012761601    0.000412872      0.012474076    0.000386332      0.013118260    0.000446879        -2.25%      2.79%
