#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           39.732728      0.0876662        37.784786      0.0790369        40.946792      0.0946038        -4.90%      3.06%
           6           8           19.044394      0.0493360        18.073564      0.0453173        19.623318      0.0522891        -5.10%      3.04%
           8          10           10.808625      0.0428360        10.251170      0.0395764        11.134345      0.0451659        -5.16%      3.01%
          10          12           6.8885042      0.0350185        6.5378911      0.0329584        7.0881016      0.0363642        -5.09%      2.90%
          12          14           4.6974101      0.0317160        4.4563992      0.0295960        4.8337317      0.0331410        -5.13%      2.90%
          14          16           3.4258813      0.0235978        3.2511012      0.0217617        3.5229909      0.0248787        -5.10%      2.83%
          16          18           2.5593084      0.0217239        2.4314504      0.0202578        2.6283138      0.0226855        -5.00%      2.70%
          18          20           1.9811039      0.0226741        1.8809939      0.0209083        2.0356633      0.0240080        -5.05%      2.75%
          20          22           1.7217916      0.0746590        1.6338968      0.0669298        1.7712142      0.0804860        -5.10%      2.87%
          22          24           1.2496420      0.0735835        1.1917279      0.0657710        1.2809934      0.0795835        -4.63%      2.51%
          24          26           1.1603935      0.0143223        1.1050859      0.0135527        1.1915488      0.0148946        -4.77%      2.68%
          26          28           1.0168337      0.0132951       0.96866070      0.0125043        1.0439014      0.0138961        -4.74%      2.66%
          28          30          0.94451870      0.0124574       0.90211032      0.0118316       0.96812293      0.0129233        -4.49%      2.50%
          30          32          0.88251019      0.0201125       0.84065374      0.0193784       0.90735307      0.0205301        -4.74%      2.82%
          32          34          0.86043774      0.0148870       0.82091791      0.0140115       0.88392102      0.0155491        -4.59%      2.73%
          34          36          0.78934396      0.0201058       0.75418944      0.0193198       0.80962832      0.0205858        -4.45%      2.57%
          36          38          0.83901069      0.0135740       0.80340563      0.0128226       0.85901597      0.0141578        -4.24%      2.38%
          38          40          0.82255895      0.0160372       0.78566717      0.0150587       0.84494689      0.0167832        -4.49%      2.72%
          40          42          0.87615259      0.0283348       0.83791767      0.0272236       0.89918595      0.0289959        -4.36%      2.63%
          42          44          0.86755168      0.0232218       0.82786338      0.0222845       0.89215167      0.0238168        -4.57%      2.84%
          44          46          0.90282339      0.0185072       0.86221663      0.0177981       0.92759190      0.0189642        -4.50%      2.74%
          46          48          0.97406604      0.0348805       0.93530081      0.0368863       0.99662439      0.0331098        -3.98%      2.32%
          48          50           1.0121916      0.0191492       0.96878229      0.0184814        1.0380402      0.0195888        -4.29%      2.55%
          50          52           1.1457808      0.0775994        1.0948438      0.0738896        1.1767790      0.0798899        -4.45%      2.71%
          52          54           1.1796792      0.0284939        1.1264463      0.0272177        1.2129861      0.0293515        -4.51%      2.82%
          54          56           1.0937688      0.0803382        1.0441351      0.0764236        1.1247735      0.0828099        -4.54%      2.83%
          56          58           1.2678868      0.0190834        1.2099754      0.0182052        1.3039767      0.0197447        -4.57%      2.85%
          58          60           1.3722488      0.0223398        1.3121992      0.0213737        1.4096014      0.0230645        -4.38%      2.72%
          60          62           1.4484469      0.0245403        1.3843809      0.0234875        1.4875317      0.0253617        -4.42%      2.70%
          62          64           1.4600829      0.0275873        1.3992530      0.0263603        1.4962891      0.0284857        -4.17%      2.48%
          64          66           1.6967709      0.0395554        1.6214391      0.0372361        1.7428503      0.0413755        -4.44%      2.72%
          66          68           1.6829582      0.0546378        1.6109232      0.0510909        1.7274517      0.0573223        -4.28%      2.64%
          68          70           1.7030451      0.0483361        1.6300713      0.0457799        1.7478530      0.0500980        -4.28%      2.63%
          70          72           1.8797489      0.0561962        1.7992818      0.0538975        1.9290950      0.0576081        -4.28%      2.63%
          72          74           1.8940554      0.0648999        1.8161061      0.0623385        1.9408057      0.0664499        -4.12%      2.47%
          74          76           1.9878941      0.0330129        1.9054523      0.0314223        2.0375738      0.0341772        -4.15%      2.50%
          76          78           1.9410132      0.0444382        1.8694684      0.0420297        1.9815459      0.0461436        -3.69%      2.09%
          78          80           1.9415826      0.0395858        1.8702562      0.0375687        1.9825257      0.0409774        -3.67%      2.11%
          80          82           1.9463734      0.0291776        1.8794605      0.0281743        1.9838350      0.0298322        -3.44%      1.92%
          82          84           1.8500249      0.0318642        1.7956229      0.0309296        1.8822037      0.0324449        -2.94%      1.74%
          84          86           1.8901011      0.0575899        1.8454347      0.0551647        1.9269908      0.0587339        -2.36%      1.95%
          86          88           2.3597989      0.0481990        2.3047511      0.0471587        2.4166001      0.0494079        -2.33%      2.41%
          88          90           4.6862322       0.132830        4.5560098       0.128134        4.8097630       0.136375        -2.78%      2.64%
          90          92           8.7306406       0.176150        8.4989102       0.169011        8.9650930       0.180943        -2.65%      2.69%
          92          94           3.4379999      0.0986522        3.3509304      0.0936492        3.5291729       0.101307        -2.53%      2.65%
          94          96           1.2553424      0.0380984        1.2202119      0.0369529        1.2875313      0.0391244        -2.80%      2.56%
          96          98          0.56753648      0.0215222       0.55322995      0.0209804       0.58267522      0.0221655        -2.52%      2.67%
          98         100          0.33534485      0.0192871       0.32608000      0.0185523       0.34408683      0.0198232        -2.76%      2.61%
         100         102          0.24630415      0.0197789       0.24012517      0.0189096       0.25300821      0.0203355        -2.51%      2.72%
         102         104          0.16698864      0.0123812       0.16263056      0.0117002       0.17119525      0.0127055        -2.61%      2.52%
         104         106          0.15926153      0.0234789       0.15568016      0.0219399       0.16334529      0.0240928        -2.25%      2.56%
         106         108          0.11612466      0.0114498       0.11334250      0.0111926       0.11892074      0.0117353        -2.40%      2.41%
         108         110          0.10247030     0.00394890      0.099641481     0.00383997       0.10498733     0.00407449        -2.76%      2.46%
         110         112         0.091351616     0.00969932      0.088750407     0.00967608      0.093295605     0.00992322        -2.85%      2.13%
         112         114         0.064420450     0.00992740      0.062317111     0.00975636      0.066041295      0.0101901        -3.27%      2.52%
         114         116         0.065163249     0.00971842      0.063586343     0.00943928      0.066790516     0.00996849        -2.42%      2.50%
         116         118         0.071869688     0.00739141      0.070232876     0.00757490      0.073667148     0.00759244        -2.28%      2.50%
         118         120         0.038690201      0.0101170      0.038006229     0.00993649      0.039538635      0.0103412        -1.77%      2.19%
         120         122         0.047188934     0.00569735      0.045534026     0.00564547      0.048492374     0.00573084        -3.51%      2.76%
         122         124         0.028108413      0.0150143      0.027518592      0.0146985      0.028866250      0.0143973        -2.10%      2.70%
         124         126         0.043542701     0.00636702      0.042621549     0.00623779      0.044562902     0.00652572        -2.12%      2.34%
         126         128         0.032936455     0.00232686      0.032247202     0.00226492      0.033791439     0.00240523        -2.09%      2.60%
         128         130         0.028827986     0.00603079      0.027966603     0.00586068      0.029491734     0.00615730        -2.99%      2.30%
         130         132         0.032220110     0.00220205      0.031381189     0.00214686      0.032986413     0.00226445        -2.60%      2.38%
         132         134         0.028050913     0.00245413      0.027504446     0.00239687      0.028728778     0.00252633        -1.95%      2.42%
         134         136         0.023440810     0.00209561      0.022982254     0.00205011      0.024009625     0.00215272        -1.96%      2.43%
         136         138         0.016518719     0.00761491      0.016164472     0.00725546      0.016890613     0.00778726        -2.14%      2.25%
         138         140         0.023430005     0.00223114      0.022745423     0.00220892      0.024014830     0.00229654        -2.92%      2.50%
         140         142         0.018872161     0.00502437      0.018499076     0.00492365      0.019334955     0.00514952        -1.98%      2.45%
         142         144         0.020262455     0.00203688      0.019757604     0.00196420      0.020771341     0.00209735        -2.49%      2.51%
         144         146         0.021793415     0.00205559      0.021279331     0.00204460      0.022264770     0.00211205        -2.36%      2.16%
         146         148         0.017614312     0.00290726      0.017107900     0.00287427      0.018069007     0.00298544        -2.88%      2.58%
         148         150         0.021021968     0.00450010      0.020641189     0.00441613      0.021494306     0.00460459        -1.81%      2.25%
         150         152         0.015279546     0.00131473      0.014973493     0.00128268      0.015659189     0.00135523        -2.00%      2.48%
         152         154        0.0095559147     0.00438216     0.0092180417     0.00438112     0.0098344666     0.00451199        -3.54%      2.91%
         154         156         0.016349301     0.00171647      0.016005257     0.00167531      0.016776070     0.00176818        -2.10%      2.61%
         156         158         0.014482359     0.00173533      0.014057882     0.00167637      0.014845862     0.00178735        -2.93%      2.51%
         158         160         0.013607078     0.00186472      0.013256403     0.00179127      0.013892646     0.00192818        -2.58%      2.10%
         160         162         0.011194398     0.00189052      0.010945869     0.00182976      0.011476550     0.00194008        -2.22%      2.52%
         162         164         0.011479249     0.00158817      0.011225234     0.00157178      0.011712169     0.00162669        -2.21%      2.03%
         164         166         0.013357009     0.00145493      0.013106325     0.00142445      0.013667970     0.00149321        -1.88%      2.33%
         166         168         0.012897579     0.00154406      0.012626054     0.00150516      0.013234392     0.00159306        -2.11%      2.61%
         168         170         0.013022568     0.00106902      0.012780959     0.00104443      0.013322272     0.00110016        -1.86%      2.30%
