#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           3.3076643      0.0709596        3.2219998      0.0702012        3.3727912      0.0865509        -2.59%      1.97%
          10          20           3.9574891      0.0762240        3.9199328      0.0708994        3.9914532      0.0938692        -0.95%      0.86%
          20          30           2.1891052      0.0348485        2.1395110      0.0299232        2.2220762      0.0423340        -2.27%      1.51%
          30          40           1.5996068      0.0266374        1.5493551      0.0234801        1.6340535      0.0324344        -3.14%      2.15%
          40          50           1.6304487      0.0386611        1.5824690      0.0340104        1.6624430      0.0430448        -2.94%      1.96%
          50          60           2.6014547      0.0461775        2.5315127      0.0408575        2.6484514      0.0511823        -2.69%      1.81%
          60          70           3.6478452      0.0448083        3.6118265      0.0401931        3.6784780      0.0416913        -0.99%      0.84%
          70          80           4.1044794      0.0468162        4.0754100      0.0513152        4.1443593      0.0521901        -0.71%      0.97%
          80          90           3.1625295      0.0405471        3.1379064      0.0383785        3.2021186      0.0439938        -0.78%      1.25%
          90         100           2.8059969      0.0451575        2.7298527      0.0415016        2.9103899      0.0510661        -2.71%      3.72%
         100         110          0.47860188      0.0174325       0.47413016      0.0151026       0.48473799      0.0197723        -0.93%      1.28%
         110         120          0.40114650      0.0146479       0.39415536      0.0126697       0.41022463      0.0167544        -1.74%      2.26%
         120         130          0.35227941      0.0131771       0.34456513      0.0112834       0.36107203      0.0160025        -2.19%      2.50%
         130         140          0.30152027      0.0115539       0.29669228     0.00974958       0.30756256      0.0137136        -1.60%      2.00%
         140         150          0.24548996      0.0111605       0.24347194     0.00989405       0.24978775      0.0131059        -0.82%      1.75%
         150         160          0.20965554      0.0112990       0.20814843     0.00952545       0.21034758      0.0138925        -0.72%      0.33%
         160         170          0.19950187     0.00930540       0.19562654     0.00782114       0.20404519      0.0113112        -1.94%      2.28%
         170         180          0.17884481     0.00866810       0.17562805     0.00719455       0.18215336      0.0108103        -1.80%      1.85%
         180         190          0.15909925     0.00897951       0.15557370     0.00797879       0.16441226      0.0104715        -2.22%      3.34%
