#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           21.902471       0.230378        21.477341       0.204176        22.067940       0.217112        -1.94%      0.76%
           5          10           12.296114       0.177610        12.011925       0.156793        12.463840       0.207367        -2.31%      1.36%
          10          15           6.3919363       0.140752        6.2887744       0.125517        6.4443265       0.162795        -1.61%      0.82%
          15          20           4.6716588      0.0955466        4.6053909      0.0857988        4.7211733       0.112730        -1.42%      1.06%
          20          25           3.8562131       0.126775        3.8386831       0.113372        3.8775642       0.130532        -0.45%      0.55%
          25          30           3.9186535       0.132395        3.8601699       0.120109        3.9644823       0.153824        -1.49%      1.17%
          30          35           3.6615272      0.0999859        3.6071135      0.0921667        3.6925683       0.107102        -1.49%      0.85%
          35          40           3.3098970      0.0834570        3.2760356      0.0759060        3.3369624      0.0983473        -1.02%      0.82%
          40          45           2.5282668      0.0666324        2.5133555      0.0797427        2.5403416      0.0616348        -0.59%      0.48%
          45          50           1.8136459      0.0448627        1.7763018      0.0384575        1.8508630      0.0538351        -2.06%      2.05%
          50          55           1.1282400      0.0352961        1.1071374      0.0300404        1.1471539      0.0426985        -1.87%      1.68%
          55          60          0.80632197      0.0282808       0.78829343      0.0240553       0.82424991      0.0342692        -2.24%      2.22%
          60          65          0.55948554      0.0245420       0.55530492      0.0238277       0.56316192      0.0252300        -0.75%      0.66%
          65          70          0.48279533      0.0264415       0.47158640      0.0229557       0.49389033      0.0312700        -2.32%      2.30%
          70          75          0.41277415      0.0269072       0.39740774      0.0233445       0.43054266      0.0318041        -3.72%      4.30%
          75          80          0.29853781      0.0177749       0.28916795      0.0152376       0.31177886      0.0210818        -3.14%      4.44%
          80          85          0.23739028      0.0171012       0.23168057      0.0147034       0.24416653      0.0200820        -2.41%      2.85%
          85          90          0.18362970      0.0170414       0.17940436      0.0150096       0.18977295      0.0198052        -2.30%      3.35%
          90          95          0.15661757      0.0141566       0.15209115      0.0124015       0.16265138      0.0165835        -2.89%      3.85%
          95         100          0.12503220      0.0110035       0.12154560     0.00936426       0.13052304      0.0133326        -2.79%      4.39%
         100         105          0.12694623     0.00943372       0.12040971     0.00796216       0.13565979      0.0115631        -5.15%      6.86%
         105         110          0.10682404     0.00862289       0.10158223     0.00726607       0.11370556      0.0105979        -4.91%      6.44%
         110         115         0.074931176     0.00911682      0.072497109     0.00788848      0.078198385      0.0108242        -3.25%      4.36%
         115         120         0.052758071     0.00962773      0.052296784     0.00829237      0.053455718      0.0113979        -0.87%      1.32%
         120         125         0.046922597      0.0105189      0.045872386      0.0127381      0.047616091      0.0105466        -2.24%      1.48%
         125         130         0.063127249     0.00959347      0.058884297     0.00800238      0.068611404      0.0118251        -6.72%      8.69%
         130         135         0.048789689     0.00626277      0.043747590     0.00544399      0.055794758     0.00744831       -10.33%     14.36%
         135         140         0.037010390     0.00630403      0.035439931     0.00548136      0.038986171     0.00743109        -4.24%      5.34%
         140         145         0.028940803     0.00519811      0.028529741     0.00445174      0.029226889     0.00515082        -1.42%      0.99%
         145         150         0.030952371     0.00497206      0.028374795     0.00419954      0.034381129     0.00615160        -8.33%     11.08%
         150         155         0.023791692     0.00418296      0.022779023     0.00343439      0.025011969     0.00528045        -4.26%      5.13%
         155         160         0.013061140     0.00480935      0.011132173     0.00615887      0.014242644     0.00390637       -14.77%      9.05%
         160         165         0.025583743     0.00563060      0.023653482     0.00497033      0.028172087     0.00652556        -7.54%     10.12%
         165         170         0.011011730     0.00511214      0.010082947     0.00599019      0.011551181     0.00447295        -8.43%      4.90%
         170         175         0.017516071     0.00277863      0.016605496     0.00225910      0.018741188     0.00353052        -5.20%      6.99%
         175         180         0.019295947     0.00342916      0.017775664     0.00290775      0.021288117     0.00418657        -7.88%     10.32%
         180         185        0.0091938228     0.00339069     0.0088164423     0.00346237     0.0095085820     0.00335437        -4.10%      3.42%
         185         190        0.0072670801     0.00236044     0.0071154486     0.00293616     0.0075539362     0.00241647        -2.09%      3.95%
         190         195         0.011480143     0.00317508      0.010713750     0.00263719      0.012431961     0.00394546        -6.68%      8.29%
         195         200        0.0074601715     0.00268647     0.0070710241     0.00227933     0.0079528359     0.00325840        -5.22%      6.60%
         200         205        0.0079335713     0.00216168     0.0073365021     0.00181441     0.0086656627     0.00264750        -7.53%      9.23%
         205         210        0.0034538278     0.00263407     0.0021821514     0.00329743     0.0042016062     0.00218012       -36.82%     21.65%
         210         215        0.0064025354     0.00207961     0.0060061227     0.00167099     0.0068551199     0.00269072        -6.19%      7.07%
         215         220        0.0088060807     0.00220420     0.0077831301     0.00174774      0.010212013     0.00289293       -11.62%     15.97%
         220         225       0.00031252882     0.00224285   -0.00091365025     0.00291642     0.0010607553     0.00180701      -392.34%    239.41%
         225         230        0.0042734959     0.00284139     0.0040644424     0.00248205     0.0045452854     0.00332161        -4.89%      6.36%
         230         235        0.0073847396     0.00302740     0.0066698482     0.00265514     0.0083396506     0.00350307        -9.68%     12.93%
         235         240        0.0013898089     0.00184171   -5.7194887e-05     0.00236251     0.0023215450     0.00148039      -104.12%     67.04%
         240         245        0.0036989066     0.00111529     0.0034972332    0.000882126     0.0039766539     0.00146614        -5.45%      7.51%
         245         250        0.0015745503     0.00133121     0.0013449430     0.00143138     0.0017373908     0.00126563       -14.58%     10.34%
         250         255        0.0036035572     0.00132564     0.0034931716     0.00113719     0.0037112327     0.00159023        -3.06%      2.99%
         255         260        0.0020559768     0.00122633     0.0019328956     0.00120153     0.0022464993     0.00125953        -5.99%      9.27%
         260         265        0.0021161432     0.00120621     0.0020261060     0.00154873     0.0021577348    0.000972105        -4.25%      1.97%
         265         270        0.0011613212     0.00144614     0.0011121163     0.00177725     0.0012333547     0.00151276        -4.24%      6.20%
         270         275        0.0013525248     0.00126799     0.0012504987     0.00149901     0.0014602664     0.00131505        -7.54%      7.97%
         275         280        0.0030874991     0.00191902     0.0030165311     0.00243821     0.0031534176     0.00195142        -2.30%      2.14%
         280         285        0.0012046307     0.00109169     0.0010608474     0.00134686     0.0012903139    0.000910974       -11.94%      7.11%
         285         290        0.0028962763    0.000947973     0.0026766861    0.000733355     0.0031584693     0.00126985        -7.58%      9.05%
         290         295       0.00049288968    0.000798131    0.00027357982     0.00101370    0.00063912405    0.000647716       -44.49%     29.67%
         295         300       0.00060691716    0.000732313    0.00049420696    0.000914242    0.00071186516    0.000777921       -18.57%     17.29%
         300         305      -0.00074875612     0.00142540    -0.0017070127     0.00204878   -0.00015265246     0.00104500       127.98%    -79.61%
         305         310        0.0013849193    0.000597734     0.0012419208    0.000477297     0.0015793820    0.000777581       -10.33%     14.04%
         310         315      -0.00080976640    0.000767461    -0.0014548569     0.00104754   -0.00037744354    0.000579001        79.66%    -53.39%
         315         320      -0.00016462645     0.00107444   -0.00074059722     0.00138261    0.00019310046    0.000877151       349.87%   -217.30%
         320         325        0.0010827738     0.00104428    0.00085856250     0.00134551     0.0011836597    0.000889127       -20.71%      9.32%
         325         330        0.0015349373    0.000465230     0.0013842449    0.000388227     0.0017357938    0.000574960        -9.82%     13.09%
         330         335       0.00073220239    0.000592697    0.00061477041    0.000459608    0.00089323576    0.000790457       -16.04%     21.99%
         335         340       0.00037996408    0.000664425    0.00020557753    0.000868287    0.00049483770    0.000528716       -45.90%     30.23%
         340         345       0.00038415038    0.000796419    0.00031343778     0.00100714    0.00043311069    0.000837997       -18.41%     12.75%
         345         350      -0.00018415232     0.00116883   -0.00020700128     0.00133439   -0.00016053126     0.00104170        12.41%    -12.83%
         350         355        0.0024876679     0.00112938     0.0021097270     0.00100100     0.0030039056     0.00129299       -15.19%     20.75%
         355         360        0.0010290271    0.000423407    0.00089534916    0.000339060     0.0012089896    0.000546710       -12.99%     17.49%
         360         365        0.0018275420     0.00165057     0.0017228888     0.00135397     0.0019420175     0.00182292        -5.73%      6.26%
         365         370      -0.00092422241     0.00164253    -0.0011615893     0.00203665   -0.00074747652     0.00135173        25.68%    -19.12%
         370         375       0.00060369966    0.000569237    0.00053625748    0.000442950    0.00068776925    0.000756818       -11.17%     13.93%
         375         380       0.00091829103    0.000539655    0.00084607339    0.000462144     0.0010091434    0.000646071        -7.86%      9.89%
         380         385      -0.00012371027    0.000774274   -0.00016895387     0.00103379   -8.3750872e-05    0.000598895        36.57%    -32.30%
         385         390        0.0013890839    0.000771465     0.0011281009    0.000576809     0.0017698924     0.00106453       -18.79%     27.41%
         390         395       3.1397514e-05    0.000469546   -3.9451588e-05    0.000654076    8.3667208e-05    0.000352563      -225.65%    166.48%
         395         400        0.0014345262     0.00101507     0.0012932474    0.000875370     0.0016192570     0.00120152        -9.85%     12.88%
         400         405      -0.00042797616     0.00100223   -0.00049161459     0.00113159   -0.00037622741    0.000901279        14.87%    -12.09%
         405         410      -3.6207172e-05    0.000504984   -0.00013468094    0.000722681    3.0383226e-05    0.000361724       271.97%   -183.91%
         410         415       0.00038345430    0.000215790    0.00033808879    0.000163698    0.00044602322    0.000294799       -11.83%     16.32%
         415         420       1.8605970e-05    0.000335702   -0.00012156448    0.000476272    0.00011208022    0.000242122      -753.36%    502.39%
         420         425       1.6465047e-06    0.000513777   -1.6592157e-05    0.000647642    1.5728142e-05    0.000419763     -1107.72%    855.24%
         425         430        0.0012540759    0.000482229     0.0010271250    0.000365320     0.0015675482    0.000658835       -18.10%     25.00%
         430         435       0.00048402070    0.000267034    0.00042549147    0.000309821    0.00052582341    0.000293952       -12.09%      8.64%
         435         440       0.00030232066    0.000194550    0.00026826533    0.000247661    0.00032637483    0.000192947       -11.26%      7.96%
         440         445       0.00024721222    0.000171427    0.00023858204    0.000122852    0.00025186598    0.000188558        -3.49%      1.88%
         445         450       6.0326266e-05    0.000330124    4.1487103e-05    0.000361055    8.7394953e-05    0.000390701       -31.23%     44.87%
         450         455       0.00028490394    0.000192303    0.00023120842    0.000252098    0.00031660573    0.000157100       -18.85%     11.13%
         455         460       0.00034111653    0.000396615    0.00029701215    0.000332675    0.00040146598    0.000486587       -12.93%     17.69%
         460         465       0.00028633808    0.000155961    0.00023083204    0.000116725    0.00037615603    0.000215816       -19.38%     31.37%
         465         470       0.00043833261    0.000238013    0.00036292982    0.000179477    0.00054766338    0.000329857       -17.20%     24.94%
         470         475       0.00051344149    0.000184696    0.00044660644    0.000146116    0.00060214546    0.000246072       -13.02%     17.28%
         475         480       0.00017510788    0.000206456    0.00014290820    0.000214130    0.00019626671    0.000226461       -18.39%     12.08%
         480         485       0.00024399574    0.000182296    0.00019517089    0.000138677    0.00031361785    0.000247332       -20.01%     28.53%
         485         490       0.00023906612    0.000112842    0.00019946543    8.62881e-05    0.00029316106    0.000152522       -16.56%     22.63%
