#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           41.259074       0.386721        40.416884       0.336012        41.683655       0.475223        -2.04%      1.03%
           6           8           19.900799       0.240394        19.493873       0.206673        20.123048       0.296780        -2.04%      1.12%
           8          10           11.420942       0.187123        11.164768       0.169609        11.562004       0.231516        -2.24%      1.24%
          10          12           7.0482344       0.132973        6.9347341       0.116213        7.0988459       0.163619        -1.61%      0.72%
          12          14           5.1280893       0.252295        5.0285837       0.241618        5.2133091       0.313945        -1.94%      1.66%
          14          16           3.6663715      0.0879888        3.5931007      0.0774968        3.7198118       0.107863        -2.00%      1.46%
          16          18           2.7152976      0.0769347        2.6658121      0.0686955        2.7511635      0.0942344        -1.82%      1.32%
          18          20           2.0236898      0.0774046        1.9977475      0.0695110        2.0422009      0.0756538        -1.28%      0.91%
          20          22           1.6331034      0.0731300        1.6130719      0.0661317        1.6495115      0.0833247        -1.23%      1.00%
          22          24           1.3368792      0.0547036        1.3303075      0.0493289        1.3428195      0.0588558        -0.49%      0.44%
          24          26           1.1530357      0.0440944        1.1407641      0.0394075        1.1581812      0.0544268        -1.06%      0.45%
          26          28           1.1621851       0.119007        1.1479173       0.116707        1.1734895       0.124512        -1.23%      0.97%
          28          30          0.83336752       0.116419       0.82675809       0.115116       0.83599525       0.115296        -0.79%      0.32%
          30          32          0.91305035      0.0424009       0.90659218      0.0462176       0.92016001      0.0466774        -0.71%      0.78%
          32          34          0.79318699      0.0384548       0.78071636      0.0475296       0.80121579      0.0351189        -1.57%      1.01%
          34          36          0.84280262      0.0394549       0.82848648      0.0355153       0.85141541      0.0482176        -1.70%      1.02%
          36          38          0.88085862      0.0463394       0.87187401      0.0424950       0.88862440      0.0560568        -1.02%      0.88%
          38          40          0.85093379      0.0412435       0.84058870      0.0372829       0.85631673      0.0375550        -1.22%      0.63%
          40          42          0.84089807      0.0432578       0.83419217      0.0375075       0.85217435      0.0474840        -0.80%      1.34%
          42          44          0.91577347      0.0458118       0.91345505      0.0496157       0.92350074      0.0511533        -0.25%      0.84%
          44          46          0.92909218      0.0461227       0.91943786      0.0421069       0.93824989      0.0567447        -1.04%      0.99%
          46          48          0.94427864      0.0499746       0.94019260      0.0538805       0.94979173      0.0557665        -0.43%      0.58%
          48          50          0.97729620      0.0483690       0.97222780      0.0440874       0.98273932      0.0438742        -0.52%      0.56%
          50          52          0.98784768      0.0518880       0.97684872      0.0638178       0.99688100      0.0472476        -1.11%      0.91%
          52          54           1.1794214      0.0564253        1.1758101      0.0613842        1.1856594      0.0631647        -0.31%      0.53%
          54          56           1.2815527      0.0634080        1.2617244      0.0585127        1.2931446      0.0681166        -1.55%      0.90%
          56          58           1.1794393      0.0592710        1.1648842      0.0655332        1.1958522      0.0546235        -1.23%      1.39%
          58          60           1.3693935      0.0638666        1.3569020      0.0536014        1.3904256      0.0718335        -0.91%      1.54%
          60          62           1.4939198       0.103345        1.4728738      0.0990633        1.5049398      0.0995785        -1.41%      0.74%
          62          64           1.4404430       0.102598        1.4279238       0.105647        1.4523309       0.107530        -0.87%      0.83%
          64          66           1.6055734      0.0672264        1.5864141      0.0614018        1.6186216      0.0615030        -1.19%      0.81%
          66          68           1.6945282      0.0753501        1.6820952      0.0660482        1.7160705      0.0828042        -0.73%      1.27%
          68          70           1.8030980      0.0734410        1.7924527      0.0633723        1.8220371      0.0814926        -0.59%      1.05%
          70          72           1.8107772      0.0759553        1.7949378      0.0705995        1.8174392      0.0908199        -0.87%      0.37%
          72          74           1.9909004      0.0820738        1.9746860      0.0747449        1.9987336      0.0777188        -0.81%      0.39%
          74          76           1.9395389      0.0822419        1.9254662      0.0871542        1.9519262      0.0897351        -0.73%      0.64%
          76          78           1.9157184      0.0782615        1.8852361      0.0923620        1.9320077      0.0690672        -1.59%      0.85%
          78          80           2.1229843      0.0754549        2.0983131      0.0653718        2.1506797      0.0904810        -1.16%      1.30%
          80          82           1.9093100      0.0688614        1.8974858      0.0598753        1.9214594      0.0764440        -0.62%      0.64%
          82          84           1.7437938      0.0771219        1.7011174      0.0895339        1.7695178      0.0690092        -2.45%      1.48%
          84          86           1.9235094      0.0764424        1.8967341      0.0711068        1.9660955      0.0842700        -1.39%      2.21%
          86          88           2.5682085       0.100511        2.5303939      0.0948941        2.6242992       0.109170        -1.47%      2.18%
          88          90           4.9139226       0.124051        4.8447518       0.113580        4.9836906       0.140080        -1.41%      1.42%
          90          92           9.2274763       0.175516        9.1105485       0.161877        9.3596339       0.193383        -1.27%      1.43%
          92          94           3.6979441       0.110852        3.6584157       0.101128        3.7328915       0.125857        -1.07%      0.95%
          94          96           1.2940997      0.0557428        1.2627698      0.0488308        1.3311584      0.0661134        -2.42%      2.86%
          96          98          0.55701285      0.0502891       0.55306056      0.0574941       0.56078186      0.0468914        -0.71%      0.68%
          98         100          0.29181059      0.0437453       0.28955324      0.0417005       0.29478554      0.0459769        -0.77%      1.02%
         100         102          0.25836943      0.0241324       0.25253584      0.0231257       0.26280209      0.0251463        -2.26%      1.72%
         102         104          0.21749345      0.0232973       0.21069484      0.0203074       0.22588962      0.0277641        -3.13%      3.86%
         104         106          0.20753141      0.0534142       0.20186619      0.0508070       0.21456408      0.0572211        -2.73%      3.39%
         106         108         0.076351560      0.0516483      0.073412874      0.0529293      0.079517603      0.0502092        -3.85%      4.15%
         108         110         0.083362528      0.0158250      0.080451623      0.0195442      0.085752977      0.0139041        -3.49%      2.87%
         110         112          0.14240741      0.0646023       0.14091773      0.0663231       0.14329919      0.0627513        -1.05%      0.63%
         112         114         0.022181834      0.0663251      0.019254589      0.0672921      0.024727741      0.0651956       -13.20%     11.48%
         114         116         0.095733263      0.0133180      0.090631934      0.0113344       0.10242791      0.0162102        -5.33%      6.99%
         116         118         0.048251610      0.0109894      0.045410036      0.0134110      0.050268874     0.00971420        -5.89%      4.18%
         118         120         0.060973492      0.0109387      0.059575356     0.00950859      0.063188145      0.0124629        -2.29%      3.63%
         120         122         0.034625275     0.00898428      0.029109282      0.0111370      0.038305677     0.00757291       -15.93%     10.63%
         122         124         0.048603800     0.00825592      0.047093793     0.00704236      0.050415993      0.0100634        -3.11%      3.73%
         124         126         0.044927809     0.00932278      0.044476501     0.00761173      0.046168734      0.0112069        -1.00%      2.76%
         126         128         0.039648938     0.00825327      0.038278003     0.00681169      0.041479268      0.0103789        -3.46%      4.62%
         128         130         0.030741271     0.00985294      0.030085598     0.00932568      0.031997781      0.0107626        -2.13%      4.09%
         130         132         0.026280254     0.00717131      0.024254973     0.00873979      0.027744654     0.00694758        -7.71%      5.57%
         132         134         0.036075455     0.00749770      0.034694940     0.00642452      0.037825977     0.00908975        -3.83%      4.85%
         134         136         0.043417335     0.00680184      0.039720393     0.00574514      0.048500628     0.00835558        -8.51%     11.71%
         136         138         0.019391701     0.00714151      0.016845534     0.00896856      0.021397688     0.00606574       -13.13%     10.34%
         138         140         0.029645599      0.0101078      0.027849398     0.00921336      0.032026308      0.0114098        -6.06%      8.03%
         140         142         0.024685287     0.00764898      0.024235943     0.00687336      0.025138004     0.00882645        -1.82%      1.83%
         142         144         0.016435618     0.00554928      0.015363942     0.00556089      0.017655276     0.00562951        -6.52%      7.42%
         144         146         0.017564489     0.00598749      0.016943556     0.00616247      0.018664261     0.00699194        -3.54%      6.26%
         146         148         0.018310439     0.00470291      0.017475922     0.00416163      0.019397099     0.00551648        -4.56%      5.93%
         148         150         0.022612106     0.00496102      0.022260505     0.00419014      0.023218721     0.00604219        -1.55%      2.68%
         150         152         0.016797099     0.00438545      0.016083838     0.00517410      0.017379358     0.00469313        -4.25%      3.47%
         152         154        0.0087326841     0.00607507     0.0043683213     0.00736049      0.011734895     0.00546474       -49.98%     34.38%
         154         156         0.017967597     0.00461398      0.017367343     0.00395132      0.018790117     0.00554481        -3.34%      4.58%
         156         158        0.0072868937     0.00629342     0.0070088288     0.00598175     0.0076602421     0.00674175        -3.82%      5.12%
         158         160         0.019808729     0.00468291      0.019091671     0.00392041      0.020817149     0.00558786        -3.62%      5.09%
         160         162        0.0071522722     0.00351163     0.0055134205     0.00442174     0.0082734808     0.00290501       -22.91%     15.68%
         162         164         0.011082899     0.00389907     0.0093166986     0.00520110      0.011916728     0.00327853       -15.94%      7.52%
         164         166         0.010080543     0.00361212     0.0097588748     0.00444594      0.010211062     0.00292828        -3.19%      1.29%
         166         168         0.014557368     0.00840430      0.013306329     0.00760921      0.016263908     0.00951328        -8.59%     11.72%
         168         170         0.011878732     0.00293593      0.011556981     0.00278842      0.012202501     0.00308490        -2.71%      2.73%
