#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           20.385469       0.202599        20.044926       0.180165        20.503634       0.249456        -1.67%      0.58%
           5          10           11.534686       0.115215        11.291948       0.101530        11.659507       0.129164        -2.10%      1.08%
          10          15           6.1078217       0.128091        6.0360743       0.114249        6.1389983       0.148429        -1.17%      0.51%
          15          20           4.6642935       0.132543        4.5824468       0.118064        4.7161238       0.152005        -1.75%      1.11%
          20          25           4.0859130      0.0968422        4.0219049      0.0877971        4.1483057       0.112085        -1.57%      1.53%
          25          30           3.4598202      0.0872498        3.4297505      0.0799083        3.4776723       0.101222        -0.87%      0.52%
          30          35           3.3223314      0.0896321        3.2860461      0.0833202        3.3401221      0.0855572        -1.09%      0.54%
          35          40           3.0354067       0.131085        3.0059216       0.126401        3.0508439       0.129419        -0.97%      0.51%
          40          45           2.1267011       0.111663        2.1204955       0.108557        2.1324873       0.110462        -0.29%      0.27%
          45          50           1.6188310      0.0432945        1.5892527      0.0378372        1.6460795      0.0509853        -1.83%      1.68%
          50          55           1.0600482      0.0335908        1.0342176      0.0290964        1.0864294      0.0400152        -2.44%      2.49%
          55          60          0.71457811      0.0266851       0.70446700      0.0230473       0.72187979      0.0318964        -1.41%      1.02%
          60          65          0.56622612      0.0227168       0.54942473      0.0196531       0.58466357      0.0270995        -2.97%      3.26%
          65          70          0.45788859      0.0214840       0.44335604      0.0186590       0.47404269      0.0254986        -3.17%      3.53%
          70          75          0.35105376      0.0213899       0.33983882      0.0189756       0.36386784      0.0244301        -3.19%      3.65%
          75          80          0.29998918      0.0200373       0.28840437      0.0176814       0.31338178      0.0233068        -3.86%      4.46%
          80          85          0.24163924      0.0230017       0.23158521      0.0208508       0.25348327      0.0259318        -4.16%      4.90%
          85          90          0.15966028      0.0140867       0.15701897      0.0124062       0.16282765      0.0162115        -1.65%      1.98%
          90          95          0.12718259      0.0130908       0.12234586      0.0116186       0.13337464      0.0149736        -3.80%      4.87%
          95         100          0.10832714      0.0113384       0.10656885      0.0111717       0.11015481      0.0115086        -1.62%      1.69%
         100         105          0.10672878     0.00972480       0.10223724     0.00841589       0.11200012      0.0115785        -4.21%      4.94%
         105         110         0.078580042     0.00958574      0.076201536     0.00824588      0.081623585      0.0114154        -3.03%      3.87%
         110         115         0.068899855     0.00828468      0.066519890     0.00728538      0.072137380     0.00965649        -3.45%      4.70%
         115         120         0.054454805     0.00628175      0.052962902     0.00540639      0.056492652     0.00749926        -2.74%      3.74%
         120         125         0.052849739     0.00772121      0.050355652     0.00675524      0.056201756     0.00903700        -4.72%      6.34%
         125         130         0.035187445     0.00692899      0.033954082     0.00612510      0.036610461     0.00803016        -3.51%      4.04%
         130         135         0.043469661     0.00622260      0.040240200     0.00542104      0.047751992     0.00733822        -7.43%      9.85%
         135         140         0.039983221     0.00539205      0.036926089     0.00462673      0.044060489     0.00647852        -7.65%     10.20%
         140         145         0.031072735     0.00576790      0.029817528     0.00509571      0.032526253     0.00673570        -4.04%      4.68%
         145         150         0.026327382     0.00413901      0.025002951     0.00357184      0.027889977     0.00497672        -5.03%      5.94%
         150         155         0.025855237     0.00448130      0.024410672     0.00386375      0.027872748     0.00538131        -5.59%      7.80%
         155         160         0.017244169     0.00382048      0.016722665     0.00314519      0.017801552     0.00492751        -3.02%      3.23%
         160         165        0.0096530382     0.00443386     0.0079498552     0.00508823      0.010676777     0.00412502       -17.64%     10.61%
         165         170        0.0082792905     0.00463808     0.0070440613     0.00467061     0.0099257995     0.00476151       -14.92%     19.89%
         170         175         0.010145135     0.00313832     0.0094509071     0.00271181      0.011152517     0.00372316        -6.84%      9.93%
         175         180         0.011405942     0.00401696      0.010929876     0.00342492      0.011992616     0.00482286        -4.17%      5.14%
         180         185        0.0093493165     0.00315625     0.0091531393     0.00372740     0.0095559764     0.00328007        -2.10%      2.21%
         185         190        0.0059379721     0.00261026     0.0055860216     0.00232757     0.0063577443     0.00300176        -5.93%      7.07%
         190         195        0.0082608554     0.00261864     0.0078307060     0.00229771     0.0087752366     0.00307256        -5.21%      6.23%
         195         200        0.0040034572     0.00161920     0.0037746307     0.00140341     0.0043575090     0.00196557        -5.72%      8.84%
         200         205        0.0070977155     0.00215256     0.0068663935     0.00184757     0.0073322689     0.00259042        -3.26%      3.30%
         205         210        0.0053998964     0.00187748     0.0047203359     0.00228365     0.0057939518     0.00159597       -12.58%      7.30%
         210         215        0.0043029282     0.00180261     0.0041959364     0.00148398     0.0044040407     0.00226480        -2.49%      2.35%
         215         220        0.0077178545     0.00170526     0.0068520012     0.00144157     0.0088510761     0.00208741       -11.22%     14.68%
         220         225        0.0035683595     0.00195696     0.0034495544     0.00239490     0.0036596081     0.00189870        -3.33%      2.56%
         225         230        0.0039861152     0.00161730     0.0038218588     0.00138651     0.0041889418     0.00195800        -4.12%      5.09%
