#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           38.138499       0.188589        31.904862       0.149332        44.327721       0.229762       -16.34%     16.23%
           6           8           17.563143      0.0620702        14.823668      0.0506402        20.251040      0.0738075       -15.60%     15.30%
           8          10           9.7335591      0.0456182        8.2582820      0.0377055        11.170784      0.0535933       -15.16%     14.77%
          10          12           6.1648212      0.0329195        5.2498119      0.0274039        7.0516209      0.0384665       -14.84%     14.38%
          12          14           4.1650701      0.0239686        3.5594910      0.0203648        4.7488565      0.0275185       -14.54%     14.02%
          14          16           3.0239650      0.0360528        2.5902648      0.0301648        3.4407154      0.0419051       -14.34%     13.78%
          16          18           2.2723474      0.0779353        1.9483872      0.0629586        2.5829559      0.0930935       -14.26%     13.67%
          18          20           1.6746341      0.0721441        1.4458473      0.0580301        1.8920241      0.0864451       -13.66%     12.98%
          20          22           1.3886921      0.0180689        1.2006210      0.0155754        1.5671078      0.0204715       -13.54%     12.85%
          22          24           1.1363933      0.0166047       0.98309969      0.0143669        1.2815333      0.0187558       -13.49%     12.77%
          24          26          0.97345062      0.0135081       0.84486701      0.0114749        1.0946398      0.0155020       -13.21%     12.45%
          26          28          0.91316547      0.0439798       0.79409073      0.0374025        1.0250130      0.0503053       -13.04%     12.25%
          28          30          0.80316283      0.0148781       0.70030623      0.0128180       0.89938075      0.0168496       -12.81%     11.98%
          30          32          0.68390617      0.0446601       0.59956407      0.0380106       0.76218311      0.0510494       -12.33%     11.45%
          32          34          0.68637716      0.0140982       0.60118556      0.0122960       0.76550315      0.0157977       -12.41%     11.53%
          34          36          0.67775916      0.0145001       0.59468144      0.0128443       0.75466371      0.0160323       -12.26%     11.35%
          36          38          0.69575644      0.0166564       0.61058882      0.0146964       0.77446259      0.0184604       -12.24%     11.31%
          38          40          0.68022364      0.0238167       0.59799622      0.0210408       0.75604414      0.0263471       -12.09%     11.15%
          40          42          0.70410254      0.0227422       0.61990721      0.0200600       0.78149773      0.0252099       -11.96%     10.99%
          42          44          0.70791433      0.0187494       0.62273389      0.0166101       0.78624671      0.0207100       -12.03%     11.07%
          44          46          0.80274873      0.0146896       0.70655453      0.0129901       0.89116086      0.0162660       -11.98%     11.01%
          46          48          0.81959917      0.0402018       0.71734540      0.0335955       0.91414695      0.0469364       -12.48%     11.54%
          48          50          0.80854193      0.0433556       0.71664314      0.0364612       0.89215908      0.0503186       -11.37%     10.34%
          50          52          0.85948972      0.0239331       0.75712703      0.0210088       0.95339677      0.0266401       -11.91%     10.93%
          52          54          0.96877864      0.0221197       0.85391706      0.0195352        1.0740415      0.0245176       -11.86%     10.87%
          54          56          0.97430644      0.0195165       0.85948468      0.0171515        1.0794193      0.0217228       -11.78%     10.79%
          56          58           1.1458293      0.0782874        1.0117333      0.0698164        1.2684775      0.0859363       -11.70%     10.70%
          58          60           1.0307391      0.0793400       0.90834471      0.0707136        1.1429543      0.0871339       -11.87%     10.89%
          60          62           1.1869370      0.0362975        1.0456212      0.0321342        1.3164908      0.0401016       -11.91%     10.91%
          62          64           1.2105012      0.0367148        1.0696770      0.0325366        1.3391503      0.0405364       -11.63%     10.63%
          64          66           1.3445153      0.0280506        1.1846023      0.0248832        1.4910784      0.0309828       -11.89%     10.90%
          66          68           1.4450567      0.0432917        1.2780891      0.0384229        1.5974490      0.0477313       -11.55%     10.55%
          68          70           1.4175766      0.0432635        1.2546920      0.0386340        1.5662125      0.0474477       -11.49%     10.49%
          70          72           1.5326979      0.0414011        1.3548065      0.0368122        1.6952895      0.0456250       -11.61%     10.61%
          72          74           1.6865045      0.0615727        1.4910533      0.0542122        1.8649343      0.0683733       -11.59%     10.58%
          74          76           1.5687124      0.0661738        1.3917519      0.0589721        1.7300000      0.0728034       -11.28%     10.28%
          76          78           1.6497176      0.0386956        1.4647305      0.0344658        1.8180151      0.0425491       -11.21%     10.20%
          78          80           1.5876120      0.0341936        1.4151626      0.0307094        1.7440109      0.0374446       -10.86%      9.85%
          80          82           1.5696666      0.0377794        1.4022926      0.0339944        1.7208417      0.0411869       -10.66%      9.63%
          82          84           1.5249398      0.0406940        1.3707913      0.0371119        1.6633396      0.0438815       -10.11%      9.08%
          84          86           1.4167471      0.0324151        1.2881547      0.0298578        1.5302090      0.0346741        -9.08%      8.01%
          86          88           1.7658674      0.0419488        1.6257172      0.0387897        1.8866875      0.0446611        -7.94%      6.84%
          88          90           3.4264649      0.0994892        3.1686637      0.0888383        3.6462502       0.108632        -7.52%      6.41%
          90          92           7.3895162       0.780174        6.8760861       0.732307        7.8229649       0.818447        -6.95%      5.87%
          92          94           1.6692599       0.774071        1.5337189       0.727169        1.7880610       0.811465        -8.12%      7.12%
          94          96          0.84344048      0.0507584       0.78086307      0.0471152       0.89688098      0.0538526        -7.42%      6.34%
          96          98          0.41193117      0.0206418       0.38167537      0.0196613       0.43775564      0.0214421        -7.34%      6.27%
          98         100          0.25898546      0.0143913       0.23859590      0.0138224       0.27651212      0.0148495        -7.87%      6.77%
         100         102          0.19755440      0.0106952       0.18285912     0.00969029       0.21010969      0.0115927        -7.44%      6.36%
         102         104          0.14464478     0.00994447       0.13423750     0.00901459       0.15349907      0.0107773        -7.20%      6.12%
         104         106          0.10898125     0.00649622       0.10107791     0.00603001       0.11572345     0.00690084        -7.25%      6.19%
         106         108         0.094853127      0.0101718      0.088633239      0.0100945       0.10007626      0.0101919        -6.56%      5.51%
         108         110         0.071136247     0.00992106      0.065334917     0.00988516      0.076123533     0.00989712        -8.16%      7.01%
         110         112         0.077921082     0.00567967      0.072217931     0.00525954      0.082781782     0.00603980        -7.32%      6.24%
         112         114         0.044081715     0.00728586      0.040869071     0.00671564      0.046823236     0.00778434        -7.29%      6.22%
         114         116         0.051482466     0.00685896      0.047468340     0.00619476      0.054935411     0.00745243        -7.80%      6.71%
         116         118         0.044268197     0.00316595      0.041079506     0.00291015      0.046975528     0.00338795        -7.20%      6.12%
         118         120         0.037965914     0.00385249      0.035441776     0.00348422      0.040079724     0.00417929        -6.65%      5.57%
         120         122         0.029052676     0.00685099      0.027110422     0.00617254      0.030678622     0.00745739        -6.69%      5.60%
         122         124         0.033193381     0.00227307      0.030918492     0.00206906      0.035106896     0.00245405        -6.85%      5.76%
         124         126         0.030804511     0.00284222      0.028659430     0.00265280      0.032618257     0.00300114        -6.96%      5.89%
         126         128         0.023867710     0.00293108      0.022250937     0.00272305      0.025222742     0.00310638        -6.77%      5.68%
         128         130         0.026990056     0.00292421      0.024908064     0.00266043      0.028775691     0.00315498        -7.71%      6.62%
         130         132         0.020873814     0.00297898      0.019616816     0.00275296      0.021905675     0.00317379        -6.02%      4.94%
         132         134         0.023228850     0.00213496      0.021772374     0.00200250      0.024446828     0.00224479        -6.27%      5.24%
         134         136         0.020067591     0.00174220      0.018840705     0.00161508      0.021083491     0.00185193        -6.11%      5.06%
         136         138         0.019765981     0.00205426      0.018330184     0.00189009      0.020978090     0.00219726        -7.26%      6.13%
         138         140         0.018540395     0.00141280      0.017391101     0.00131941      0.019489852     0.00149243        -6.20%      5.12%
         140         142         0.013459215     0.00183399      0.012612428     0.00168724      0.014160929     0.00196131        -6.29%      5.21%
         142         144         0.022238942     0.00319976      0.020779259     0.00294048      0.023456019     0.00342342        -6.56%      5.47%
         144         146         0.013606826     0.00255024      0.012874633     0.00234669      0.014199052     0.00272787        -5.38%      4.35%
         146         148         0.010196156     0.00205161     0.0095358884     0.00191681      0.010748381     0.00216407        -6.48%      5.42%
         148         150         0.014127797     0.00106900      0.013194625     0.00102502      0.014904005     0.00110418        -6.61%      5.49%
         150         152         0.011992581     0.00222025      0.011101915     0.00221682      0.012767435     0.00218993        -7.43%      6.46%
         152         154         0.011840694     0.00148465      0.011089663     0.00137171      0.012458291     0.00158140        -6.34%      5.22%
         154         156         0.011472782    0.000890002      0.010712435    0.000832745      0.012106416    0.000938741        -6.63%      5.52%
         156         158         0.010380262    0.000900173     0.0097124682    0.000855845      0.010938247    0.000936622        -6.43%      5.38%
         158         160         0.014462311     0.00234098      0.013547240     0.00221673      0.015216162     0.00244110        -6.33%      5.21%
         160         162        0.0068679527     0.00218331     0.0065405872     0.00206985     0.0071296301     0.00227356        -4.77%      3.81%
         162         164        0.0085118287     0.00185724     0.0080255774     0.00175226     0.0089113284     0.00194345        -5.71%      4.69%
         164         166        0.0091715545     0.00133857     0.0086084649     0.00128644     0.0096366062     0.00137868        -6.14%      5.07%
         166         168         0.010025422     0.00114732     0.0094226618     0.00108662      0.010520461     0.00119533        -6.01%      4.94%
         168         170        0.0063474334     0.00205035     0.0060766739     0.00188052     0.0065537257     0.00219719        -4.27%      3.25%
