#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           37.896932       0.191923        36.458384       0.152128        38.573787       0.233376        -3.80%      1.79%
           6           8           18.168270      0.0507992        17.394234      0.0431034        18.548729      0.0580816        -4.26%      2.09%
           8          10           10.399725      0.0422514        9.9363983      0.0363797        10.629033      0.0477404        -4.46%      2.20%
          10          12           6.6032688      0.0305602        6.3115633      0.0261851        6.7442343      0.0346329        -4.42%      2.13%
          12          14           4.5648397      0.0298734        4.3553221      0.0250094        4.6689723      0.0346239        -4.59%      2.28%
          14          16           3.2784050      0.0237331        3.1283511      0.0202475        3.3511120      0.0270340        -4.58%      2.22%
          16          18           2.5056694      0.0247430        2.3860298      0.0208826        2.5671880      0.0284570        -4.77%      2.46%
          18          20           1.9432374      0.0256122        1.8527407      0.0216299        1.9890812      0.0295566        -4.66%      2.36%
          20          22           1.5255461      0.0197815        1.4550778      0.0168110        1.5616478      0.0227368        -4.62%      2.37%
          22          24           1.3044884      0.0178435        1.2402798      0.0152071        1.3410772      0.0204528        -4.92%      2.80%
          24          26           1.1145587      0.0176177        1.0595222      0.0154053        1.1469010      0.0197640        -4.94%      2.90%
          26          28          0.94901715      0.0159238       0.90350210      0.0140135       0.97535196      0.0177664        -4.80%      2.77%
          28          30          0.87277897      0.0139047       0.83064106      0.0120430       0.89789624      0.0157240        -4.83%      2.88%
          30          32          0.84397424      0.0149343       0.80021970      0.0129388       0.87222581      0.0168696        -5.18%      3.35%
          32          34          0.79811968      0.0182287       0.75675188      0.0159830       0.82525434      0.0203590        -5.18%      3.40%
          34          36          0.78608627      0.0188827       0.74518274      0.0166092       0.81317577      0.0210261        -5.20%      3.45%
          36          38          0.79344188      0.0251577       0.75174692      0.0220936       0.82145971      0.0280184        -5.25%      3.53%
          38          40          0.73291863      0.0211541       0.69639151      0.0186981       0.75698715      0.0234345        -4.98%      3.28%
          40          42          0.81483352      0.0158225       0.76972933      0.0141109       0.84684121      0.0174183        -5.54%      3.93%
          42          44          0.84539997      0.0222180       0.79878697      0.0196481       0.87847966      0.0246446        -5.51%      3.91%
          44          46          0.88895723      0.0318658       0.84049585      0.0281373       0.92301120      0.0353000        -5.45%      3.83%
          46          48          0.88786603      0.0322953       0.83930956      0.0281531       0.92204734      0.0362015        -5.47%      3.85%
          48          50          0.90932494      0.0254698       0.86580518      0.0221351       0.93769825      0.0286583        -4.79%      3.12%
          50          52           1.0359857      0.0330965       0.98092960      0.0291485        1.0742630      0.0367404        -5.31%      3.69%
          52          54           1.0387838      0.0472297       0.98531345      0.0414521        1.0756851      0.0525593        -5.15%      3.55%
          54          56           1.1062736      0.0406831        1.0512710      0.0358163        1.1433644      0.0451845        -4.97%      3.35%
          56          58           1.2249997      0.0221134        1.1612792      0.0196239        1.2689805      0.0244348        -5.20%      3.59%
          58          60           1.3012502      0.0246447        1.2331132      0.0221272        1.3488031      0.0269617        -5.24%      3.65%
          60          62           1.3522779      0.0296644        1.2830727      0.0247141        1.3995231      0.0347485        -5.12%      3.49%
          62          64           1.4390396      0.0451334        1.3731505      0.0388231        1.4811688      0.0512872        -4.58%      2.93%
          64          66           1.4836306      0.0374170        1.4172544      0.0331370        1.5250979      0.0413412        -4.47%      2.79%
          66          68           1.5796769      0.0342941        1.5069801      0.0303767        1.6267204      0.0379172        -4.60%      2.98%
          68          70           1.7448496      0.0629366        1.6670825      0.0599749        1.7945136      0.0654315        -4.46%      2.85%
          70          72           1.7159488      0.0301476        1.6436188      0.0267616        1.7598646      0.0333056        -4.22%      2.56%
          72          74           1.8515559      0.0382131        1.7738442      0.0336829        1.8986682      0.0424714        -4.20%      2.54%
          74          76           1.8838378      0.0468435        1.8096562      0.0415081        1.9264902      0.0517421        -3.94%      2.26%
          76          78           1.8918983      0.0450801        1.8258608      0.0399360        1.9261985      0.0498224        -3.49%      1.81%
          78          80           1.8701811      0.0333996        1.8066434      0.0302553        1.9024507      0.0362735        -3.40%      1.73%
          80          82           1.8608017      0.0487461        1.7972563      0.0433060        1.8940754      0.0537394        -3.41%      1.79%
          82          84           1.7838633      0.0432361        1.7317502      0.0392493        1.8148755      0.0432651        -2.92%      1.74%
          84          86           1.7530497      0.0357055        1.6925632      0.0330970        1.7902481      0.0380220        -3.45%      2.12%
          86          88           2.1260300      0.0385789        2.0471308      0.0355829        2.1829978      0.0412114        -3.71%      2.68%
          88          90           4.4112638       0.128021        4.2776336       0.116275        4.5166528       0.128078        -3.03%      2.39%
          90          92           9.6892111       0.427678        9.4285392       0.427612        10.012561       0.427770        -2.69%      3.34%
          92          94           3.3278090       0.406342        3.1911681       0.432939        3.5113702       0.375118        -4.11%      5.52%
          94          96           1.1034342      0.0829776        1.0700312      0.0829285        1.1448689      0.0830453        -3.03%      3.76%
          96          98          0.56314259      0.0258292       0.54608844      0.0256902       0.58429739      0.0260194        -3.03%      3.76%
          98         100          0.35089555      0.0164465       0.34136413      0.0163462       0.36271880      0.0165838        -2.72%      3.37%
         100         102          0.25117653     0.00937668       0.24474124     0.00930549       0.25915918     0.00947392        -2.56%      3.18%
         102         104          0.18875812     0.00864057       0.18410926     0.00859430       0.19452480     0.00870395        -2.46%      3.06%
         104         106          0.13807938     0.00757179       0.13461643     0.00751578       0.14237499     0.00764831        -2.51%      3.11%
         106         108          0.10216626      0.0121070      0.099433964      0.0120879       0.10555553      0.0121332        -2.67%      3.32%
         108         110          0.10220687     0.00680800       0.10008597     0.00677906       0.10483774     0.00684768        -2.08%      2.57%
         110         112         0.076996018     0.00591373      0.075185862     0.00587398      0.079241426     0.00596810        -2.35%      2.92%
         112         114         0.080730601     0.00584401      0.078858169     0.00547717      0.082889172     0.00591521        -2.32%      2.67%
         114         116         0.071158205     0.00475462      0.069775866     0.00473177      0.072872928     0.00478594        -1.94%      2.41%
         116         118         0.053381658     0.00846370      0.052056592     0.00845064      0.055025336     0.00848166        -2.48%      3.08%
         118         120         0.046769019     0.00785983      0.045623233     0.00784384      0.048190308     0.00788183        -2.45%      3.04%
         120         122         0.045727299     0.00511111      0.044722624     0.00509965      0.046973547     0.00512686        -2.20%      2.73%
         122         124         0.047412888     0.00463935      0.046438464     0.00461928      0.048621612     0.00466687        -2.06%      2.55%
         124         126         0.033948524     0.00490997      0.032866731     0.00494510      0.035064662     0.00492806        -3.19%      3.29%
         126         128         0.052253843      0.0135197      0.050292560      0.0124348      0.053810191      0.0144518        -3.75%      2.98%
         128         130         0.012068691      0.0137955      0.010119051      0.0147428      0.014528886      0.0126972       -16.15%     20.38%
         130         132         0.035293827     0.00216631      0.034451763     0.00206403      0.036252725     0.00219355        -2.39%      2.72%
         132         134         0.028139691     0.00220399      0.027510587     0.00218646      0.028920062     0.00222793        -2.24%      2.77%
         134         136         0.022924083     0.00256956      0.022333934     0.00255814      0.023656134     0.00258521        -2.57%      3.19%
         136         138         0.025687660     0.00226029      0.024956184     0.00207978      0.026258252     0.00241749        -2.85%      2.22%
         138         140         0.024379517     0.00177052      0.023864271     0.00175445      0.025018652     0.00179244        -2.11%      2.62%
         140         142         0.020224569     0.00205123      0.019778636     0.00203689      0.020777727     0.00207084        -2.20%      2.74%
         142         144         0.019643302     0.00302576      0.019140698     0.00301649      0.020266758     0.00303850        -2.56%      3.17%
         144         146         0.014282940     0.00159396      0.013929211     0.00167893      0.014819284     0.00150219        -2.48%      3.76%
         146         148         0.018392921     0.00198892      0.018030997     0.00197925      0.018841870     0.00200217        -1.97%      2.44%
         148         150       0.00056068014      0.0156299   -0.00064531283      0.0166522     0.0020850964      0.0144248      -215.09%    271.89%
         150         152         0.015082569     0.00173590      0.014646464     0.00179499      0.015709641     0.00168448        -2.89%      4.16%
         152         154         0.014877795     0.00140800      0.014521682     0.00139824      0.015335442     0.00133053        -2.39%      3.08%
         154         156         0.015323674     0.00128174      0.014922723     0.00119721      0.015748401     0.00129487        -2.62%      2.77%
         156         158         0.013736364     0.00135978      0.013385557     0.00125709      0.014099721     0.00137121        -2.55%      2.65%
         158         160         0.011746100     0.00129523      0.011529807     0.00128810      0.012014400     0.00130499        -1.84%      2.28%
         160         162         0.012388544     0.00142149      0.012168100     0.00141032      0.012661993     0.00143674        -1.78%      2.21%
         162         164         0.011766382     0.00194893      0.011516787     0.00194496      0.012077249     0.00195535        -2.12%      2.64%
         164         166         0.014572465     0.00170624      0.014200901     0.00161482      0.014872627     0.00178049        -2.55%      2.06%
         166         168         0.010239477     0.00139730      0.010017014     0.00138980      0.010515431     0.00140756        -2.17%      2.70%
         168         170         0.010149877     0.00178583     0.0098813636     0.00177795      0.010482955     0.00179664        -2.65%      3.28%
