#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           43.147563       0.380391        42.245755       0.323016        43.649035       0.471426        -2.09%      1.16%
           6           8           20.792329       0.249359        20.270008       0.213323        21.125261       0.310133        -2.51%      1.60%
           8          10           11.504364       0.188626        11.292510       0.162717        11.600878       0.234637        -1.84%      0.84%
          10          12           7.2427874       0.135608        7.1180692       0.118016        7.3227048       0.169109        -1.72%      1.10%
          12          14           4.9045913       0.107644        4.8230111      0.0935797        4.9382017       0.134235        -1.66%      0.69%
          14          16           3.5457951      0.0892875        3.4805844      0.0784901        3.5746557       0.100406        -1.84%      0.81%
          16          18           2.7312748      0.0782842        2.6805892      0.0693564        2.7737042      0.0975420        -1.86%      1.55%
          18          20           1.9907018      0.0604588        1.9681193      0.0530621        2.0029190      0.0560977        -1.13%      0.61%
          20          22           1.5788054      0.0537655        1.5578359      0.0480354        1.5934532      0.0492885        -1.33%      0.93%
          22          24           1.3036634      0.0452793        1.2879376      0.0400761        1.3169512      0.0568206        -1.21%      1.02%
          24          26           1.0680181      0.0514988        1.0544645      0.0475110        1.0811598      0.0454651        -1.27%      1.23%
          26          28          0.92992440      0.0370763       0.92280210      0.0470535       0.93639668      0.0336035        -0.77%      0.70%
          28          30          0.85829985      0.0349686       0.85242654      0.0285540       0.86531759      0.0396896        -0.68%      0.82%
          30          32          0.73843661      0.0325850       0.72945800      0.0414024       0.74337643      0.0264858        -1.22%      0.67%
          32          34          0.73752890      0.0316653       0.73195525      0.0281613       0.74065972      0.0284498        -0.76%      0.42%
          34          36          0.72959499      0.0310369       0.71708965      0.0276437       0.73563049      0.0344036        -1.71%      0.83%
          36          38          0.66443680      0.0320316       0.66015174      0.0353329       0.66631708      0.0365660        -0.64%      0.28%
          38          40          0.66450651      0.0332437       0.64907924      0.0379304       0.68080312      0.0295480        -2.32%      2.45%
          40          42          0.72375006      0.0330489       0.71210062      0.0296044       0.73130944      0.0421289        -1.61%      1.04%
          42          44          0.74998712      0.0339888       0.73291399      0.0303683       0.76030927      0.0434626        -2.28%      1.38%
          44          46          0.70600393      0.0373885       0.69011934      0.0476929       0.71990274      0.0331038        -2.25%      1.97%
          46          48          0.85524840      0.0366400       0.83716102      0.0296691       0.87832577      0.0467526        -2.11%      2.70%
          48          50          0.92751081      0.0391083       0.90843156      0.0351585       0.94724351      0.0498021        -2.06%      2.13%
          50          52          0.89175240      0.0413342       0.88191330      0.0371744       0.89961336      0.0367866        -1.10%      0.88%
          52          54          0.89530027      0.0438891       0.86862604      0.0558887       0.91850930      0.0390805        -2.98%      2.59%
          54          56           1.0206800      0.0450336        1.0057126      0.0405257        1.0299147      0.0399556        -1.47%      0.90%
          56          58           1.1572073      0.0472075        1.1367912      0.0425241        1.1724784      0.0601067        -1.76%      1.32%
          58          60           1.2443730      0.0504435        1.2256430      0.0451711        1.2550274      0.0555170        -1.51%      0.86%
          60          62           1.2133979      0.0529491        1.2015765      0.0474914        1.2219779      0.0468793        -0.97%      0.71%
          62          64           1.3221153      0.0541701        1.3052334      0.0487933        1.3291027      0.0482468        -1.28%      0.53%
          64          66           1.4099209      0.0555171        1.3863886      0.0499594        1.4301904      0.0493774        -1.67%      1.44%
          66          68           1.5218197      0.0593555        1.5029146      0.0535758        1.5366129      0.0527763        -1.24%      0.97%
          68          70           1.5929200      0.0614316        1.5796794      0.0779142        1.6064475      0.0547313        -0.83%      0.85%
          70          72           1.7033655      0.0649517        1.6776611      0.0594085        1.7268392      0.0573618        -1.51%      1.38%
          72          74           1.9515483      0.0648945        1.9077546      0.0584667        1.9823753      0.0710780        -2.24%      1.58%
          74          76           1.8616216      0.0672986        1.8376667      0.0608519        1.8885226      0.0600826        -1.29%      1.45%
          76          78           1.9773804      0.0684606        1.9664836      0.0622883        1.9871132      0.0783098        -0.55%      0.49%
          78          80           1.9752830      0.0661850        1.9559571      0.0601660        1.9858056      0.0591104        -0.98%      0.53%
          80          82           2.0108164      0.0657324        1.9769672      0.0601707        2.0298565      0.0711565        -1.68%      0.95%
          82          84           1.7795307      0.0588292        1.7660888      0.0538063        1.7904883      0.0527843        -0.76%      0.62%
          84          86           1.5049175      0.0510582        1.4939420      0.0631001        1.5173121      0.0456048        -0.73%      0.82%
          86          88           1.6965021      0.0443851        1.6796363      0.0422901        1.7115309      0.0552825        -0.99%      0.89%
          88          90           4.1310553      0.0776532        4.1033890      0.0637684        4.1566923      0.0961148        -0.67%      0.62%
          90          92           12.878661       0.157357        12.708415       0.128881        13.044647       0.193310        -1.32%      1.29%
          92          94           5.8154409       0.118268        5.7289108      0.0966594        5.9035637       0.149496        -1.49%      1.52%
          94          96           1.7306740      0.0678267        1.7103689      0.0556081        1.7605203      0.0828711        -1.17%      1.72%
          96          98          0.86406722      0.0495645       0.83718276      0.0406670       0.89774993      0.0623307        -3.11%      3.90%
          98         100          0.43287245      0.0364910       0.42447033      0.0465809       0.43844721      0.0305377        -1.94%      1.29%
         100         102          0.29080218      0.0272257       0.28745797      0.0330347       0.29257975      0.0232229        -1.15%      0.61%
         102         104          0.25835355      0.0246109       0.25055186      0.0199301       0.26810664      0.0313807        -3.02%      3.78%
         104         106          0.19776599      0.0194476       0.19120818      0.0158672       0.20740428      0.0233997        -3.32%      4.87%
         106         108          0.16523873      0.0175636       0.15991178      0.0142810       0.17382829      0.0212038        -3.22%      5.20%
         108         110          0.12963624      0.0171172       0.12363061      0.0145504       0.13862466      0.0206293        -4.63%      6.93%
         110         112         0.080555814      0.0160420      0.076541964      0.0208313      0.083600188      0.0154111        -4.98%      3.78%
         112         114         0.091540497      0.0140474      0.090390718      0.0169361      0.092685527      0.0119887        -1.26%      1.25%
         114         116         0.073181939      0.0117576      0.070148835     0.00956816      0.077430117      0.0149341        -4.14%      5.80%
         116         118         0.059510820      0.0112273      0.057585193      0.0141787      0.060686088     0.00919365        -3.24%      1.97%
         118         120         0.060653234      0.0108913      0.059319744     0.00890802      0.062321301      0.0137474        -2.20%      2.75%
         120         122         0.077278331     0.00950928      0.071768267     0.00758245      0.084756405      0.0123205        -7.13%      9.68%
         122         124         0.056769522     0.00850461      0.053777447     0.00681651      0.060862226      0.0109674        -5.27%      7.21%
         124         126         0.030083353      0.0104198      0.026135944      0.0128750      0.033003743     0.00861082       -13.12%      9.71%
         126         128         0.043218527     0.00793172      0.042014314     0.00652984      0.044809263     0.00941487        -2.79%      3.68%
         128         130         0.024187982     0.00859279      0.018413222      0.0108414      0.027617873     0.00717169       -23.87%     14.18%
         130         132         0.034814730     0.00784786      0.034105273     0.00656944      0.035857143     0.00958761        -2.04%      2.99%
         132         134         0.024683091     0.00759107      0.023016520     0.00985489      0.025768574     0.00604078        -6.75%      4.40%
         134         136         0.026946967     0.00799021      0.025715652      0.0103691      0.027713147     0.00668126        -4.57%      2.84%
         136         138         0.010828800     0.00642362     0.0062934552     0.00840946      0.013984758     0.00507146       -41.88%     29.14%
         138         140         0.027086569     0.00604592      0.026891681     0.00571341      0.027352529     0.00635581        -0.72%      0.98%
         140         142         0.024246178     0.00537543      0.023082168     0.00460002      0.026523362     0.00657200        -4.80%      9.39%
         142         144         0.032363815     0.00549553      0.030936150     0.00452167      0.034168317     0.00691224        -4.41%      5.58%
         144         146         0.023234271     0.00650223      0.022654768     0.00507829      0.023943005     0.00856751        -2.49%      3.05%
         146         148         0.016279935     0.00448725      0.015214026     0.00471868      0.017887190     0.00550719        -6.55%      9.87%
         148         150         0.023711269     0.00540267      0.023517937     0.00436070      0.023867252     0.00670734        -0.82%      0.66%
         150         152         0.018701932     0.00495908      0.018051652     0.00399718      0.019559514     0.00635928        -3.48%      4.59%
         152         154         0.019628822     0.00476797      0.018784621     0.00402123      0.020583825     0.00610754        -4.30%      4.87%
         154         156         0.019311582     0.00450515      0.018653921     0.00364944      0.020146006     0.00575561        -3.41%      4.32%
         156         158         0.021837717     0.00895896      0.020196561     0.00721425      0.024037764      0.0113332        -7.52%     10.07%
         158         160         0.012536262     0.00428906      0.012363533     0.00562076      0.012732628     0.00409190        -1.38%      1.57%
         160         162         0.013091170     0.00414285      0.012841139     0.00437910      0.013433353     0.00390299        -1.91%      2.61%
         162         164         0.020924921     0.00504525      0.019153281     0.00420423      0.023317446     0.00624406        -8.47%     11.43%
         164         166        0.0073253872     0.00416319     0.0055370503     0.00526304     0.0085454261     0.00340533       -24.41%     16.65%
         166         168         0.010909422     0.00343502      0.010624463     0.00281667      0.011321898     0.00432096        -2.61%      3.78%
         168         170         0.010356665     0.00366286     0.0097061315     0.00480230      0.010762825     0.00289270        -6.28%      3.92%
